代號,名稱,按盤價,成交金額,市值,市盈率,股息率
128,安寧控股,0.415,459960.0,685020000.0,28.23,
129,泛海集團,0.194,1830.0,275600000.0,,
130,慕詩國際,0.230,240530.0,66220000.0,,
131,卓能（集團）,1.3500,,881110000.0,,3.70
132,興業控股,0.2000,10000.0,342460000.0,28.57,2.90
133,招商局中國基金,25.300,23110000.0,3850000000.0,2.60,10.17
135,昆侖能源,7.500,107110000.0,64940000000.0,10.79,4.63
136,中國儒意,1.400,101460000.0,23520000000.0,10.94,
137,金輝集團,0.6600,,349990000.0,12.02,
138,中建富通,0.5200,46810.0,83180000.0,,
139,小魚盈通,0.113,130570.0,138820000.0,,2.04
142,第一太平,5.750,22320000.0,24500000000.0,4.75,4.70
144,招商局港口,15.910,30830000.0,66790000000.00001,10.34,4.64
145,信能低碳,0.194,49960.0,71040000.0,,
146,TAI PING CARPET,1.5800,,335250000.0,7.66,7.59
147,國際商業結算,0.062,615580.0,1430000000.0,,
148,建滔集團,48.620,739540000.0,53880000000.0,12.24,4.52
149,中國農產品交易,0.067,,666850000.0,83.75,
150,HYPEBEAST,0.1650,58570.0,334630000.0,,3.94
151,中國旺旺,4.3700,31910000.0,51570000000.0,11.02,3.64
152,深圳國際,7.380,56970000.0,18030000000.0,7.97,6.23
154,北京控股環境集團,0.550,160320.0,825190000.0,3.17,
156,力寶華潤,1.0000,54060.0,918690000.0,,
157,自然美,0.465,150400.0,930970000.0,87.74,
158,萬邦投資,62.0000,,1550000000.0,,5.32
159,布萊克萬礦業,0.074,76820.0,686730000.0,,
160,漢國置業,0.980,32500.0,706020000.0,,3.06
162,世紀金花,0.039,12160.0,44830000.0,,
163,英皇國際,0.190,106350.0,1040000000.0,,
164,中國寶力科技,0.480,259470.00000000003,158150000.0,,
165,中國光大控股,6.630,23520000.0,11170000000.0,,1.51
166,新時代集團控股,0.040,22340.0,349670000.0,,
167,IDT INT'L,5.9200,1390000.0,3070000000.0,30.63,
168,青島啤酒股份,52.650,202760000.0,34480000000.0,13.97,5.00
169,萬達酒店發展,0.084,192830.0,394570000.0,0.22,550.00
171,銀建國際,0.0650,22570.0,149810000.0,,
