,no,indno
290,00218.HK,5041
291,00227.HK,5041
292,00231.HK,5041
293,00245.HK,5041
294,00263.HK,5041
295,00279.HK,5041
296,00290.HK,5041
297,00510.HK,5041
298,00585.HK,5041
299,00619.HK,5041
300,00622.HK,5041
301,00665.HK,5041
302,00717.HK,5041
303,00804.HK,5041
304,00812.HK,5041
305,00821.HK,5041
306,00952.HK,5041
307,01031.HK,5041
308,01073.HK,5041
309,01141.HK,5041
310,01375.HK,5041
311,01428.HK,5041
312,01456.HK,5041
313,01461.HK,5041
314,01469.HK,5041
315,00232.HK,7012
316,01045.HK,7012
317,02357.HK,7012
318,00107.HK,3043
319,00152.HK,3043
320,00177.HK,3043
321,00269.HK,3043
322,00548.HK,3043
323,00576.HK,3043
324,00737.HK,3043
325,00995.HK,3043
326,01052.HK,3043
327,01576.HK,3043
328,01785.HK,3043
329,01823.HK,3043
330,02169.HK,3043
331,80737.HK,3043
332,00223.HK,3011
333,02322.HK,3011
334,08310.HK,3011
335,09878.HK,3011
336,00052.HK,3022
337,00126.HK,3022
338,00156.HK,3022
339,00226.HK,3022
340,00341.HK,3022
341,00520.HK,3022
342,00538.HK,3022
343,00573.HK,3022
344,00657.HK,3022
345,00703.HK,3022
346,01181.HK,3022
347,01314.HK,3022
348,01443.HK,3022
349,01483.HK,3022
350,01488.HK,3022
351,01632.HK,3022
352,01703.HK,3022
353,01843.HK,3022
354,01869.HK,3022
355,01978.HK,3022
356,02108.HK,3022
357,02217.HK,3022
358,02942.HK,3022
359,03666.HK,3022
360,06811.HK,3022
361,06862.HK,3022
362,08056.HK,3022
363,08096.HK,3022
364,08213.HK,3022
365,08232.HK,3022
366,00405.HK,6013
367,00435.HK,6013
368,00778.HK,6013
369,00808.HK,6013
370,00823.HK,6013
371,01426.HK,6013
372,01503.HK,6013
373,01881.HK,6013
374,02191.HK,6013
375,02778.HK,6013
376,87001.HK,6013
377,00018.HK,3033
378,00072.HK,3033
379,00282.HK,3033
380,00343.HK,3033
381,00423.HK,3033
382,00426.HK,3033
383,00685.HK,3033
384,00811.HK,3033
385,01105.HK,3033
386,02383.HK,3033
387,08006.HK,3033
388,08317.HK,3033
389,08579.HK,3033
390,00062.HK,3044
391,00066.HK,3044
392,00077.HK,3044
393,00254.HK,3044
394,00306.HK,3044
395,00525.HK,3044
396,00108.HK,6012
397,00352.HK,6012
398,00459.HK,6012
399,00606.HK,6012
400,00733.HK,6012
401,00816.HK,6012
402,00873.HK,6012
403,00982.HK,6012
404,01153.HK,6012
405,01200.HK,6012
406,01209.HK,6012
407,01417.HK,6012
408,01502.HK,6012
409,01516.HK,6012
410,01538.HK,6012
411,01730.HK,6012
412,01755.HK,6012
413,01778.HK,6012
414,01895.HK,6012
415,01922.HK,6012
416,01941.HK,6012
417,01965.HK,6012
418,01971.HK,6012
419,01995.HK,6012
420,02048.HK,6012
421,02080.HK,6012
422,02107.HK,6012
423,02146.HK,6012
424,02156.HK,6012
425,02165.HK,6012
426,00010.HK,6014
427,00014.HK,6014
428,00016.HK,6014
429,00026.HK,6014
430,00029.HK,6014
431,00036.HK,6014
432,00037.HK,6014
433,00041.HK,6014
434,00063.HK,6014
435,00075.HK,6014
436,00089.HK,6014
437,00093.HK,6014
438,00101.HK,6014
439,00105.HK,6014
440,00127.HK,6014
441,00131.HK,6014
442,00141.HK,6014
443,00149.HK,6014
444,00158.HK,6014
445,00163.HK,6014
446,00171.HK,6014
447,00191.HK,6014
448,00207.HK,6014
449,00212.HK,6014
450,00224.HK,6014
451,00225.HK,6014
452,00237.HK,6014
453,00247.HK,6014
454,00251.HK,6014
455,00266.HK,6014
456,00009.HK,6011
457,00012.HK,6011
458,00017.HK,6011
459,00021.HK,6011
460,00028.HK,6011
461,00034.HK,6011
462,00035.HK,6011
463,00050.HK,6011
464,00051.HK,6011
465,00059.HK,6011
466,00081.HK,6011
467,00083.HK,6011
468,00088.HK,6011
469,00095.HK,6011
470,00106.HK,6011
471,00112.HK,6011
472,00115.HK,6011
473,00119.HK,6011
474,00120.HK,6011
475,00123.HK,6011
476,00124.HK,6011
477,00147.HK,6011
478,00160.HK,6011
479,00169.HK,6011
480,00173.HK,6011
481,00183.HK,6011
482,00185.HK,6011
483,00194.HK,6011
484,00199.HK,6011
485,00216.HK,6011
486,00055.HK,1004
487,00252.HK,1004
488,00377.HK,1004
489,00403.HK,1004
490,00450.HK,1004
491,00468.HK,1004
492,00906.HK,1004
493,01008.HK,1004
494,01127.HK,1004
495,01239.HK,1004
496,01332.HK,1004
497,01335.HK,1004
498,01412.HK,1004
499,01433.HK,1004
500,01439.HK,1004
501,01481.HK,1004
502,01540.HK,1004
503,01626.HK,1004
504,01629.HK,1004
505,01631.HK,1004
506,01689.HK,1004
507,01820.HK,1004
508,01841.HK,1004
509,01884.HK,1004
510,01975.HK,1004
511,03363.HK,1004
512,03626.HK,1004
513,06898.HK,1004
514,08291.HK,1004
515,08383.HK,1004
516,00274.HK,0512
517,00340.HK,0512
518,00621.HK,0512
519,00663.HK,0512
520,00815.HK,0512
521,01194.HK,0512
522,01712.HK,0512
523,01787.HK,0512
524,01818.HK,0512
525,02099.HK,0512
526,02899.HK,0512
527,03330.HK,0512
528,08162.HK,0512
529,08299.HK,0512
530,00196.HK,0012
531,00206.HK,0012
532,00554.HK,0012
533,00568.HK,0012
534,00600.HK,0012
535,00934.HK,0012
536,01033.HK,0012
537,01080.HK,0012
538,01156.HK,0012
539,01251.HK,0012
540,01623.HK,0012
541,01921.HK,0012
542,01938.HK,0012
543,02178.HK,0012
544,02236.HK,0012
545,02883.HK,0012
546,03303.HK,0012
547,03337.HK,0012
548,00007.HK,0011
549,00091.HK,0011
550,00228.HK,0011
551,00332.HK,0011
552,00338.HK,0011
553,00342.HK,0011
554,00346.HK,0011
555,00353.HK,0011
556,00386.HK,0011
557,00467.HK,0011
558,00632.HK,0011
