,no,indno
1247,01072.HK,1007
1248,01133.HK,1007
1249,01185.HK,1007
1250,01597.HK,1007
1251,01685.HK,1007
1252,02208.HK,1007
1253,00082.HK,7022
1254,00136.HK,7022
1255,00302.HK,7022
1256,00327.HK,7022
1257,00395.HK,7022
1258,00400.HK,7022
1259,00434.HK,7022
1260,00484.HK,7022
1261,00536.HK,7022
1262,00543.HK,7022
1263,00700.HK,7022
1264,00772.HK,7022
1265,00777.HK,7022
1266,00797.HK,7022
1267,00799.HK,7022
1268,00802.HK,7022
1269,01020.HK,7022
1270,01024.HK,7022
1271,01039.HK,7022
1272,01094.HK,7022
1273,01119.HK,7022
1274,01137.HK,7022
1275,01357.HK,7022
1276,01736.HK,7022
1277,01745.HK,7022
1278,01792.HK,7022
1279,01849.HK,7022
1280,01909.HK,7022
1281,01961.HK,7022
1282,01980.HK,7022
1283,00071.HK,3024
1284,00151.HK,2044
1285,00220.HK,2044
1286,00345.HK,2044
1287,00039.HK,3014
1288,00097.HK,3014
1289,00162.HK,3014
1290,00244.HK,3014
1291,00289.HK,3014
1292,00312.HK,3014
1293,00493.HK,3014
1294,00602.HK,3014
1295,00759.HK,3014
1296,00814.HK,3014
1297,00825.HK,3014
1298,00831.HK,3014
1299,00848.HK,3014
1300,00974.HK,3014
1301,00980.HK,3014
1302,00984.HK,3014
1303,01212.HK,3014
1304,02136.HK,3014
1305,02360.HK,3014
1306,03308.HK,3014
1307,03368.HK,3014
1308,06808.HK,3014
1309,00462.HK,2045
1310,01112.HK,2045
1311,01117.HK,2045
1312,01230.HK,2045
1313,01431.HK,2045
1314,01432.HK,2045
1315,01533.HK,2045
1316,01717.HK,2045
1317,02319.HK,2045
1318,06186.HK,2045
1319,09858.HK,2045
1320,00157.HK,3016
1321,00178.HK,3016
1322,00399.HK,3016
1323,00653.HK,3016
1324,00919.HK,3016
1325,00973.HK,3016
1326,01044.HK,3016
1327,01161.HK,3016
1328,01173.HK,3016
1329,01178.HK,3016
1330,01259.HK,3016
1331,01338.HK,3016
1332,01827.HK,3016
1333,01962.HK,3016
1334,02700.HK,3016
1335,03331.HK,3016
1336,03828.HK,3016
1337,08176.HK,3016
1338,08200.HK,3016
1339,08281.HK,3016
1340,08436.HK,3016
1341,08451.HK,3016
1342,08473.HK,3016
1343,08603.HK,3016
1344,00040.HK,2071
1345,00164.HK,2071
1346,00167.HK,2071
1347,00176.HK,2071
1348,00186.HK,2071
1349,00213.HK,2071
1350,00303.HK,2071
1351,00328.HK,2071
1352,00370.HK,2071
1353,00439.HK,2071
1354,00482.HK,2071
1355,00912.HK,2071
1356,00927.HK,2071
1357,01070.HK,2071
1358,01123.HK,2071
1359,01143.HK,2071
1360,01747.HK,2071
1361,02038.HK,2071
1362,02358.HK,2071
1363,03882.HK,2071
1364,06969.HK,2071
1365,08005.HK,2071
1366,08136.HK,2071
1367,08147.HK,2071
1368,00058.HK,6022
1369,00366.HK,6022
1370,00380.HK,6022
1371,00691.HK,6022
1372,00695.HK,6022
1373,00713.HK,6022
1374,00726.HK,6022
1375,00743.HK,6022
1376,00914.HK,6022
1377,01001.HK,6022
1378,01102.HK,6022
1379,01118.HK,6022
1380,01252.HK,6022
1381,01312.HK,6022
1382,01313.HK,6022
1383,01592.HK,6022
1384,01653.HK,6022
1385,01847.HK,6022
1386,01937.HK,6022
1387,02009.HK,6022
1388,02060.HK,6022
1389,02128.HK,6022
1390,02187.HK,6022
1391,02233.HK,6022
1392,03323.HK,6022
1393,06193.HK,6022
1394,06655.HK,6022
1395,08349.HK,6022
1396,08427.HK,6022
1397,00153.HK,6021
1398,00368.HK,6021
1399,00385.HK,6021
1400,00406.HK,6021
1401,00577.HK,6021
1402,00589.HK,6021
1403,00630.HK,6021
1404,00687.HK,6021
1405,00711.HK,6021
1406,00747.HK,6021
1407,00750.HK,6021
1408,00784.HK,6021
1409,00830.HK,6021
1410,00896.HK,6021
1411,00924.HK,6021
1412,00983.HK,6021
1413,00994.HK,6021
1414,01162.HK,6021
1415,01183.HK,6021
1416,01220.HK,6021
1417,01253.HK,6021
1418,01271.HK,6021
1419,01283.HK,6021
1420,01315.HK,6021
1421,01376.HK,6021
1422,01408.HK,6021
1423,01413.HK,6021
1424,01416.HK,6021
1425,01420.HK,6021
1426,01427.HK,6021
1427,00001.HK,8001
1428,00004.HK,8001
1429,00019.HK,8001
1430,00025.HK,8001
1431,00087.HK,8001
1432,00132.HK,8001
1433,00202.HK,8001
1434,00222.HK,8001
1435,00242.HK,8001
1436,00267.HK,8001
1437,00273.HK,8001
1438,00331.HK,8001
1439,00363.HK,8001
1440,00498.HK,8001
1441,00567.HK,8001
1442,00607.HK,8001
1443,00620.HK,8001
1444,00656.HK,8001
1445,00659.HK,8001
1446,00882.HK,8001
1447,01038.HK,8001
1448,01282.HK,8001
1449,01323.HK,8001
1450,01468.HK,8001
1451,02327.HK,8001
1452,02722.HK,8001
1453,08120.HK,8001
1454,00317.HK,3046
1455,00651.HK,3046
1456,00716.HK,3046
1457,01122.HK,3046
1458,01766.HK,3046
1459,01839.HK,3046
1460,03808.HK,3046
1461,03898.HK,3046
1462,00061.HK,0021
1463,00065.HK,0021
1464,00276.HK,0021
1465,00578.HK,0021
1466,00639.HK,0021
1467,00645.HK,0021
1468,00702.HK,0021
1469,00704.HK,0021
1470,00866.HK,0021
1471,00975.HK,0021
1472,01088.HK,0021
1473,01171.HK,0021
1474,01229.HK,0021
1475,01277.HK,0021
1476,01303.HK,0021
1477,01393.HK,0021
1478,01733.HK,0021
1479,01738.HK,0021
1480,01878.HK,0021
1481,01898.HK,0021
1482,02798.HK,0021
1483,03668.HK,0021
1484,03948.HK,0021
1485,06885.HK,0021
1486,08250.HK,0021
1487,00189.HK,0532
1488,00301.HK,0532
1489,00362.HK,0532
1490,00408.HK,0532
1491,00609.HK,0532
1492,00640.HK,0532
1493,00660.HK,0532
1494,00701.HK,0532
1495,00746.HK,0532
1496,00990.HK,0532
1497,01047.HK,0532
1498,01561.HK,0532
1499,01863.HK,0532
1500,01907.HK,0532
1501,01950.HK,0532
1502,01986.HK,0532
1503,02116.HK,0532
1504,02198.HK,0532
1505,02341.HK,0532
1506,06616.HK,0532
1507,08139.HK,0532
1508,09933.HK,0532
1509,09936.HK,0532
1510,00013.HK,2081
1511,00690.HK,2081
1512,01167.HK,2081
1513,01228.HK,2081
1514,01349.HK,2081
1515,01477.HK,2081
1516,01521.HK,2081
1517,01548.HK,2081
1518,01672.HK,2081
1519,01801.HK,2081
1520,01873.HK,2081
1521,01875.HK,2081
1522,01877.HK,2081
1523,01952.HK,2081
1524,02126.HK,2081
1525,02137.HK,2081
1526,02142.HK,2081
1527,02157.HK,2081
1528,02162.HK,2081
1529,02170.HK,2081
1530,02171.HK,2081
1531,02179.HK,2081
1532,02181.HK,2081
1533,02197.HK,2081
1534,02256.HK,2081
1535,02257.HK,2081
1536,02269.HK,2081
1537,02359.HK,2081
1538,02552.HK,2081
1539,02616.HK,2081
1540,00005.HK,5011
1541,00011.HK,5011
1542,00023.HK,5011
1543,00416.HK,5011
1544,00440.HK,5011
1545,00626.HK,5011
1546,00939.HK,5011
1547,00998.HK,5011
1548,01216.HK,5011
1549,01288.HK,5011
1550,01398.HK,5011
1551,01551.HK,5011
1552,01578.HK,5011
1553,01658.HK,5011
1554,01916.HK,5011
1555,01963.HK,5011
1556,01983.HK,5011
1557,01988.HK,5011
1558,02016.HK,5011
1559,02066.HK,5011
1560,02139.HK,5011
1561,02356.HK,5011
1562,02388.HK,5011
1563,02558.HK,5011
1564,02888.HK,5011
1565,03328.HK,5011
1566,03618.HK,5011
1567,03698.HK,5011
1568,03866.HK,5011
1569,03968.HK,5011
1570,00048.HK,2011
1571,00175.HK,2011
1572,00179.HK,2011
1573,00305.HK,2011
1574,00422.HK,2011
1575,00425.HK,2011
1576,00476.HK,2011
1577,00489.HK,2011
1578,01057.HK,2011
1579,01114.HK,2011
1580,01130.HK,2011
1581,01148.HK,2011
1582,01188.HK,2011
1583,01211.HK,2011
1584,01241.HK,2011
1585,01269.HK,2011
1586,01316.HK,2011
1587,01571.HK,2011
1588,01585.HK,2011
1589,01760.HK,2011
1590,01809.HK,2011
1591,01958.HK,2011
1592,02015.HK,2011
1593,02025.HK,2011
1594,02238.HK,2011
1595,02333.HK,2011
1596,02338.HK,2011
1597,02339.HK,2011
1598,02488.HK,2011
1599,03606.HK,2011
1600,00138.HK,3019
1601,00360.HK,3019
1602,00693.HK,3019
1603,00720.HK,3019
1604,00872.HK,3019
1605,00881.HK,3019
1606,00970.HK,3019
1607,01268.HK,3019
1608,01293.HK,3019
1609,01365.HK,3019
1610,01728.HK,3019
1611,01771.HK,3019
1612,01861.HK,3019
1613,01872.HK,3019
1614,01959.HK,3019
1615,03669.HK,3019
1616,03836.HK,3019
1617,06909.HK,3019
1618,08123.HK,3019
1619,08126.HK,3019
1620,08135.HK,3019
1621,08283.HK,3019
1622,08418.HK,3019
1623,00113.HK,3012
1624,00122.HK,3012
1625,00128.HK,3012
1626,00130.HK,3012
1627,00294.HK,3012
1628,00311.HK,3012
1629,00330.HK,3012
1630,00333.HK,3012
1631,00375.HK,3012
1632,00393.HK,3012
1633,00458.HK,3012
1634,00483.HK,3012
1635,00518.HK,3012
1636,00533.HK,3012
1637,00540.HK,3012
1638,00592.HK,3012
1639,00608.HK,3012
1640,00709.HK,3012
1641,00787.HK,3012
1642,00844.HK,3012
1643,00891.HK,3012
1644,00915.HK,3012
1645,00918.HK,3012
1646,01025.HK,3012
1647,01146.HK,3012
1648,01223.HK,3012
1649,01234.HK,3012
1650,01247.HK,3012
1651,01346.HK,3012
1652,01361.HK,3012
1653,00182.HK,0013
1654,00295.HK,0013
1655,00451.HK,0013
1656,00527.HK,0013
1657,00611.HK,0013
1658,00686.HK,0013
1659,00987.HK,0013
1660,01004.HK,0013
1661,01165.HK,0013
1662,01250.HK,0013
1663,01281.HK,0013
1664,01798.HK,0013
1665,01799.HK,0013
1666,01811.HK,0013
1667,03868.HK,0013
1668,08128.HK,0013
1669,08246.HK,0013
1670,08326.HK,0013
1671,00168.HK,2041
1672,00236.HK,2041
1673,00291.HK,2041
1674,00389.HK,2041
1675,00472.HK,2041
1676,00828.HK,2041
1677,00886.HK,2041
1678,01389.HK,2041
1679,01876.HK,2041
1680,06055.HK,2041
1681,08146.HK,2041
1682,08179.HK,2041
1683,08509.HK,2041
1684,00357.HK,3042
1685,01848.HK,3042
1686,00293.HK,3041
1687,00670.HK,3041
1688,00694.HK,3041
1689,00753.HK,3041
1690,01055.HK,3041
1691,02588.HK,3041
1692,00073.HK,2061
1693,00288.HK,2061
1694,00411.HK,2061
1695,00677.HK,2061
1696,00682.HK,2061
1697,00875.HK,2061
1698,00926.HK,2061
1699,00969.HK,2061
1700,01068.HK,2061
1701,01340.HK,2061
1702,01610.HK,2061
1703,01699.HK,2061
1704,01854.HK,2061
1705,01936.HK,2061
1706,03838.HK,2061
1707,03889.HK,2061
1708,03999.HK,2061
1709,08609.HK,2061
1710,09977.HK,2061
1711,00150.HK,3031
1712,00205.HK,3031
1713,00550.HK,3031
1714,00623.HK,3031
1715,00745.HK,3031
1716,00888.HK,3031
1717,01000.HK,3031
1718,01163.HK,3031
1719,01351.HK,3031
1720,01490.HK,3031
1721,01640.HK,3031
1722,01716.HK,3031
1723,01753.HK,3031
1724,01761.HK,3031
1725,01762.HK,3031
1726,01831.HK,3031
1727,01860.HK,3031
1728,01917.HK,3031
1729,01948.HK,3031
1730,01993.HK,3031
1731,02013.HK,3031
1732,02131.HK,3031
1733,06113.HK,3031
1734,06988.HK,3031
1735,08003.HK,3031
1736,08087.HK,3031
1737,08091.HK,3031
1738,08112.HK,3031
1739,08121.HK,3031
1740,08130.HK,3031
1741,00125.HK,2033
1742,00264.HK,2033
1743,00907.HK,2033
1744,01023.HK,2033
1745,01058.HK,2033
1746,01100.HK,2033
1747,01120.HK,2033
1748,01134.HK,2033
1749,01150.HK,2033
1750,01731.HK,2033
1751,01842.HK,2033
1752,01910.HK,2033
1753,01913.HK,2033
1754,01942.HK,2033
1755,02011.HK,2033
1756,02276.HK,2033
1757,02683.HK,2033
1758,06838.HK,2033
1759,08285.HK,2033
