代號,名稱,按盤價,成交金額,市值,市盈率,股息率
0118,大同機械企業有限公司,N/A,0,0,N/A,N/A
0119,保利置業集團有限公司,N/A,0,0,N/A,N/A
0120,四海國際集團有限公司,N/A,0,0,N/A,N/A
0122,鱷魚恤有限公司,N/A,0,0,N/A,N/A
0123,越秀地產股份有限公司,N/A,0,0,N/A,N/A
0124,粤海置地控股有限公司,N/A,0,0,N/A,N/A
0125,新興光學集團控股有限公司,N/A,0,0,N/A,N/A
0126,佳寧娜集團控股有限公司,N/A,0,0,N/A,N/A
0127,華人置業集團,N/A,0,0,N/A,N/A
0128,安寧控股有限公司,N/A,0,0,N/A,N/A
0129,泛海國際集團有限公司,N/A,0,0,N/A,N/A
0130,慕詩國際集團有限公司,N/A,0,0,N/A,N/A
0131,卓能(集團)有限公司,N/A,0,0,N/A,N/A
0132,興業控股有限公司,N/A,0,0,N/A,N/A
0133,招商局中國基金有限公司,N/A,0,0,N/A,N/A
0135,昆侖能源有限公司,N/A,0,0,N/A,N/A
0136,中國儒意控股有限公司,N/A,0,0,N/A,N/A
0137,金輝集團有限公司,N/A,0,0,N/A,N/A
0138,中建富通集團有限公司,N/A,0,0,N/A,N/A
0139,小魚盈通控股有限公司,N/A,0,0,N/A,N/A
0142,第一太平有限公司,N/A,0,0,N/A,N/A
0144,招商局港口控股有限公司,N/A,0,0,N/A,N/A
0145,信能低碳有限公司,N/A,0,0,N/A,N/A
0146,太平地氈國際有限公司,N/A,0,0,N/A,N/A
0147,國際商業結算控股有限公司,N/A,0,0,N/A,N/A
0148,建滔集團有限公司,N/A,0,0,N/A,N/A
0149,中國農產品交易有限公司,N/A,0,0,N/A,N/A
0150,Hypebeast Limited,N/A,0,0,N/A,N/A
0151,中國旺旺控股有限公司,N/A,0,0,N/A,N/A
0152,深圳國際控股有限公司,N/A,0,0,N/A,N/A
0154,北京控股環境集團有限公司,N/A,0,0,N/A,N/A
0156,力寶華潤有限公司,N/A,0,0,N/A,N/A
