Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,BOSSB,BOSSTP1,BOSSTP2,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,BOSS2,T1_150,BOSS_STATUS,buy_price,tp1_price,tp2_price,SNO
2025-10-10,1033.HK,0.7900000214576721,0.800000011920929,0.7699999809265137,0.7900000214576721,0.7900000214576721,40707000,0.0,0.0,0.7768569869714456,0.7791783674707512,0.7778359681196805,0.7552091069141103,0.695937865796346,False,False,LH,LHLLHH,0.7200000286102295,2025-10-17,0.8399999737739563,2025-10-21,0.9200000166893004,0.75,False,False,False,False,False,True,1.0,2,0,2.0,0.0,False,False,,,,,1033.HK
2025-09-30,1055.HK,3.9800000190734863,4.179999828338623,3.9800000190734863,4.159999847412109,4.159999847412109,27959755,0.0,0.0,3.9884806474990873,3.9385287396461743,3.8782679289772855,3.81086608437656,3.67230362867274,True,True,LH,LHLLHH,3.759999990463257,2025-10-08,4.670000076293945,2025-10-20,4.739999771118164,3.7799999713897705,False,False,False,False,False,True,0.75,6,3,2.0,1.0,True,False,SB1-2025/09/30,4.25,4.739999771118164,5.229999542236328,1055.HK
2025-09-18,1066.HK,5.920000076293945,6.059999942779541,5.849999904632568,5.980000019073486,5.867303848266602,27817814,0.0,0.0,5.778107152887225,5.933768799137603,6.087571015638386,5.95477996482988,5.580191376825828,False,False,LH,LHLLHH,5.519999980926514,2025-09-26,6.28000020980835,2025-10-08,6.300000190734863,5.53000020980835,False,False,False,False,False,True,0.83,5,3,2.0,0.0,True,False,SB1-2025/09/18,5.91,6.300000190734863,6.690000381469726,1066.HK
2025-09-11,0107.HK,4.579999923706055,4.639999866485596,4.519999980926514,4.610000133514404,4.610000133514404,3092000,0.0,0.0,4.632018279615302,4.709044790550669,4.73699344433313,4.542685841658602,3.9253070105842,False,False,LH,LHLLHH,4.389999866485596,2025-09-22,5.039999961853027,2025-10-20,5.119999885559082,4.409999847412109,False,False,False,False,False,True,0.89,16,7,4.0,5.0,True,False,SB1-2025/09/11,4.75,5.119999885559082,5.489999771118164,107.HK
2025-09-12,1072.HK,17.190000534057617,17.399999618530273,17.110000610351562,17.280000686645508,17.280000686645508,8049928,0.0,0.0,17.087058835787154,17.28994924703607,16.79202306239916,15.232034558638214,12.66959835510297,False,False,LH,LHLLHH,15.65999984741211,2025-09-23,19.34000015258789,2025-10-09,19.57999992370605,16.15999984741211,False,False,False,False,False,True,0.8,8,3,3.0,2.0,True,False,SB1-2025/09/12,17.62,19.57999992370605,21.5399998474121,1072.HK
2025-10-15,1072.HK,17.889999389648438,18.07999992370605,17.3799991607666,18.0,18.0,11969400,0.0,0.0,17.946568084263948,17.5464876688804,17.11738735698389,15.932549406744256,13.373597311617017,True,True,,,0.0,,0.0,,0.0,0.0,True,False,False,False,False,False,0.0,0,0,,,False,False,BY1-2025/09/12,,,,1072.HK
2025-10-27,1072.HK,18.75,20.440000534057617,18.6299991607666,20.059999465942383,20.059999465942383,43202900,0.0,0.0,18.44672509192007,18.000411546965296,17.456995305622023,16.287275622695905,13.680024256173189,True,True,HH,HHHHHL,21.18000030517578,2025-11-04,20.39999961853028,2025-11-10,18.799999237060547,17.280000686645508,False,True,False,False,False,False,0.0,0,0,,,False,False,TP1-2025/09/12,,,,1072.HK
2025-09-18,1083.HK,3.890000104904175,3.890000104904175,3.819999933242798,3.849999904632568,3.849999904632568,3036641,0.0,0.0,3.9070531575777823,3.947151249811309,3.93467558980461,3.781427939068888,3.42887895677668,False,False,,,0.0,,0.0,,0.0,0.0,False,False,False,True,False,False,0.0,0,0,,,False,False,CL1-2025/07/29,,,,1083.HK
2025-10-24,1121.HK,1.309999942779541,1.350000023841858,1.2599999904632568,1.2899999618530271,1.2899999618530271,1234000,0.0,0.0,1.356981765205056,1.413942273671088,1.4824236353908755,1.5627012521763373,2.041065388852939,False,False,,,0.0,,0.0,,0.0,0.0,False,False,False,True,False,False,0.0,0,0,,,False,False,CL1-2025/08/19,,,,1121.HK
2025-09-17,1133.HK,9.399999618530272,11.199999809265137,9.399999618530272,11.100000381469728,11.100000381469728,25470310,0.0,0.0,9.489259532617016,8.758924471919979,7.843169233001322,6.776025004038996,5.081826316397415,True,True,,,0.0,,0.0,,0.0,0.0,False,False,True,False,False,False,0.0,0,0,,,False,False,TP2-2025/07/08,,,,1133.HK
2025-09-12,1140.HK,0.0989999994635582,0.1209999993443489,0.0979999974370002,0.1080000028014183,0.1080000028014183,64668000,0.0,0.0,0.0991235206359731,0.0968511615332755,0.0943231966272561,0.0917899007163597,0.1033230365419415,False,True,,,0.0,,0.0,,0.0,0.0,False,True,False,False,False,False,0.0,0,0,,,False,False,TP1-2025/04/15,,,,1140.HK
2025-09-15,1140.HK,0.1150000020861625,0.1270000040531158,0.1089999973773956,0.1260000020265579,0.1260000020265579,29120000,0.0,0.0,0.1040101536160794,0.0993858433153,0.0955654242899738,0.0924673284650765,0.1035037294940102,False,True,,,0.0,,0.0,,0.0,0.0,False,False,True,False,False,False,0.0,0,0,,,False,False,TP2-2025/04/15,,,,1140.HK
