index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,LLLow,HHClose,HHHigh,VOLATILITY,22DLow,33DLow,BOSS_STATUS,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSSTU2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,WLow,WHigh,HHHL,ADX,DIplus,DIminus,RSI,KC_middle,KC_upper,KC_lower,KC_Width,Price_zscore,Volume_zscore,Anomaly_Score,MA_50,MA_20,Price_Above_MA50,Price_Increase_50D,Price_Increase_30D,Resistance,Above_Resistance,Breakout_Percentage,Volatility_Decrease,Volatility_Decrease_Pct,Contraction_Structure,Contraction_Count,Valid_Contractions,KC_Contraction,Volume_Contraction,Volume_Spike,Breakout_Detected,ADX_Strength,DI_Bullish,RSI_Value,Anomaly_Free,Uptrend_Requirement,Contraction_Pattern,Volume_Signature,Momentum_Confirmation,VCP,classification,BOSS_PATTERN,LLDate,HHDate,HHHL_PATTERN,WLDate,WHDate,medium_bullish,weak_bullish,buy_price,tp1_price,tp2_price,tp3_price,SNO
2026-01-23,1055.HK,6.019999980926514,6.059999942779541,5.880000114440918,5.949999809265137,5.949999809265137,12296000,0.0,0.0,5.93085741835187,5.800311047625825,5.496192213095386,5.052258416525406,4.398394202010084,True,True,True,False,0.179999828338623,0.2158822732813218,0.3238234099219827,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2026/01/07,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,26.060471957064237,16.850837389523914,22.92819462549041,50.82872171315696,5.821604247532916,6.32360410257442,5.319604392491412,17.24610034267588,0.4899666409298792,0.9625949933709204,1,5.542399978637695,5.844499969482422,True,20.202020980450445,11.007456362951356,6.25,False,-4.8000030517578125,3.3%,3.258374820962051,False,1,False,False,False,False,False,True,False,50.8,True,True,False,False,False,False,,,,,,,,,,,,,,1055.HK
2026-02-04,1055.HK,6.110000133514404,6.519999980926514,6.110000133514404,6.440000057220459,6.440000057220459,50400633,0.0,0.0,5.977117057477657,5.873927774826769,5.613254468675658,5.180066933715697,4.492268934986606,True,True,True,False,0.4099998474121094,0.244999885559082,0.367499828338623,0.0,0.0,0.0,0.0,0.0,0.0,TP1-2026/01/07,False,False,False,False,True,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,17.952501680025737,31.64253416700778,11.352667743658696,66.53060914674768,5.890304231910018,6.4453041079323565,5.335304355887679,18.84452327659727,2.2716480820482667,2.535663003635381,1,5.632799987792969,5.883499979972839,True,18.600373127283472,15.619387051106411,6.25,True,3.040000915527344,1.6%,1.5806439516209414,False,1,False,False,False,True,True,False,True,66.5,True,False,False,True,False,False,,,,,,,,,,,,,,1055.HK
2026-01-30,1179.HK,38.119998931884766,38.77999877929688,38.0,38.27999877929688,38.27999877929688,2036328,0.0,0.0,38.79424061054335,38.50345016322231,37.06468539269331,34.64444335791949,31.297965526690174,False,False,False,False,0.7799987792968821,0.7700004577636723,1.1550006866455085,36.380001068115234,41.5,41.77999877929688,0.15,37.29999923706055,36.5,SB1-2026/01/30,True,True,True,False,False,False,False,False,False,False,False,True,1.0,6,4,True,39.59999847412109,37.29999923706055,False,21.01364732534724,17.351536664507716,23.74429210488046,43.22765794417804,38.57651867365608,40.58651890253792,36.566518444774246,10.420848215391016,0.7589506620935738,0.0217332627497908,1,37.41599998474121,38.79500026702881,True,9.496566881487109,1.5384562456762316,40.08000183105469,False,-4.491025373065556,5.7%,5.747157447915874,True,2,True,True,False,False,False,True,False,43.2,True,False,True,False,False,False,LH,LHLLHH,2026-02-02,2026-02-10,LHHLHHLLLH,2026-01-28,2026-01-29,2.0,0.0,39.08,41.77999877929688,44.479997558593766,47.17999633789065,1179.HK
2026-01-23,0012.HK,30.65999984741211,30.979999542236328,30.0,30.200000762939453,30.200000762939453,9563811,0.0,0.0,30.62359803418512,30.21204801601933,29.59883075624931,28.763256905352364,26.96565245278429,False,False,False,False,0.979999542236328,0.705000042915344,1.057500064373016,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2025/12/22,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,33.264583407399186,28.469741287837103,15.836288394513046,64.10256645383225,30.27224069219389,31.804240470941448,28.74024091344633,10.12148254451878,0.1778620480696173,0.6051629974924739,1,29.73119998931885,29.989000129699708,True,2.861035882580099,3.071677642709716,32.0,False,-5.624997615814209,-8.4%,-8.350579459876206,True,2,False,True,False,True,False,True,True,64.1,True,False,False,True,True,False,,,,,,,,,,,,,,12.HK
2026-01-29,0012.HK,31.0,32.099998474121094,31.0,31.739999771118164,31.739999771118164,16861036,0.0,0.0,30.851263158807395,30.440726838022982,29.795245623651613,28.928582463245704,27.089729326433247,True,True,True,False,1.0999984741210938,0.7788232915541701,1.168234937331255,30.520000457763672,32.7400016784668,33.279998779296875,0.09,29.100000381469727,28.18000030517578,TP1-2025/12/22,True,True,True,False,True,False,False,False,False,False,False,False,0.0,0,0,False,31.959999084472656,29.100000381469727,False,35.71142480871276,34.78938073636774,20.904830414037647,65.77380766538735,30.50175480359318,32.183754200871014,28.81975540631535,11.028869703455156,1.2420115408956345,1.7803361752729814,1,29.807199974060055,30.41500005722046,True,3.590079645502056,8.773130360414372,32.0,False,-0.8125007152557373,-14.2%,-14.178231942387786,True,2,False,True,True,True,True,True,True,65.8,True,False,False,True,True,False,HH,HHHLHH,2026-02-02,2026-02-12,HHHLLHLLHH,2026-01-16,2026-01-26,,,,,,,12.HK
2026-02-05,0020.HK,2.3399999141693115,2.380000114440918,2.289999961853028,2.359999895095825,2.359999895095825,416481562,0.0,0.0,2.42052211233791,2.4025844774063274,2.335213217398566,2.240167311823822,1.9882153879536515,False,False,False,False,0.0900001525878901,0.0956249833106993,0.143437474966049,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2025/12/12,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,35.934245110538,15.267158900865038,27.48092242133507,38.59647508399035,2.408459700297949,2.6174596917148807,2.1994597088810184,17.355490016384817,1.592039130440696,0.5355880436326411,1,2.265200009346008,2.4640000224113465,True,10.798111187673692,24.867720262343692,2.720000028610229,False,-13.2352988870498,-17.5%,-17.485875109915717,False,1,False,False,False,False,False,True,False,38.6,True,False,False,False,False,False,,,,,,,,,,,,,,20.HK
2026-02-12,0020.HK,2.5299999713897705,2.740000009536743,2.509999990463257,2.680000066757202,2.680000066757202,1391443943,0.0,0.0,2.4727853522704786,2.432671211169838,2.360830836901357,2.262348803302606,2.007157416517173,True,True,True,False,0.2300000190734863,0.0900000035762786,0.1350000053644179,2.509999990463257,2.680000066757202,2.740000009536743,0.09,2.2699999809265137,2.2699999809265137,TP1-2025/12/12,True,True,True,False,True,False,False,False,False,False,False,False,0.0,0,0,False,2.5999999046325684,2.2699999809265137,False,22.16590962339448,33.333328139029504,16.993461098663836,64.28571671855676,2.439152667104426,2.6441526861779123,2.2341526480309395,16.809117513488538,2.9189892909770885,3.75354022879029,1,2.301400017738342,2.4520000219345093,True,27.01422748817201,22.935779114161264,2.640000104904175,True,1.5151500099837776,-10.9%,-10.881566055840477,False,1,False,False,False,True,True,True,True,64.3,True,True,False,True,True,False,HH,HHHLLH,2026-02-13,2026-02-14,HHHLLHLLHH,2026-01-29,2026-02-06,,,,,,,20.HK
2026-02-02,2268.HK,62.79999923706055,62.79999923706055,59.29999923706055,60.09999847412109,60.09999847412109,6005520,0.0,0.0,65.14995275593427,66.69343414178985,67.4171387727617,65.69409818816219,55.47259341320618,False,False,False,False,3.5,2.822222391764323,5.644444783528646,0.0,0.0,0.0,0.0,0.0,0.0,CL1-2025/12/19,False,False,False,False,False,False,False,True,False,False,False,False,0.0,0,0,False,0.0,0.0,False,27.18498573236051,9.936292113537077,43.69428961576028,14.634146341463406,66.55909939699676,72.42409878664519,60.69410000734832,17.623433738687496,2.1030099363588506,0.9080048797648526,1,67.32900024414063,68.20000057220459,False,-12.898552936056396,-12.645354929841742,76.8499984741211,False,-21.79570635338464,1.3%,1.2793115727836255,False,1,False,False,False,True,False,True,False,14.6,True,False,False,True,False,False,,,,,,,,,,,,,,2268.HK
2026-02-02,2269.HK,36.59999847412109,36.70000076293945,35.400001525878906,35.86000061035156,35.86000061035156,43744105,0.0,0.0,37.578988026761294,37.07701940292247,35.88476595529037,34.59882509839671,30.680703251791037,False,False,False,False,1.2999992370605469,1.2694118724149817,1.9041178086224724,44.0,41.34000015258789,40.65999984741211,-0.08,35.400001525878906,35.400001525878906,BY1-2025/12/19,True,True,True,True,False,False,False,False,False,False,False,False,0.0,0,0,False,36.68000030517578,39.5,False,41.372897319905626,11.354170060820584,33.74998311201461,28.695672725674456,37.19993777583216,40.14193721125696,34.25793834040735,15.81722772308585,1.3108600919597622,0.0556078241092457,1,34.57719997406006,37.89599990844727,True,10.815821798471765,10.54254663508762,40.400001525878906,False,-11.237625604096005,-7.7%,-7.716301638319544,True,2,True,True,True,False,False,True,False,28.7,True,False,True,True,False,False,LL,LLHHHL,2026-02-12,2026-02-13,LLHHHLLHLL,2026-01-20,2026-01-23,,,,,,,2269.HK
2026-02-10,2269.HK,38.5,40.560001373291016,38.27999877929688,40.02000045776367,40.02000045776367,45654646,0.0,0.0,38.00460661328589,37.46169872062104,36.31526254797314,34.96846108918044,31.016560640879646,True,True,True,False,2.280002593994133,1.2211112976074214,1.831666946411132,0.0,0.0,0.0,0.0,0.0,0.0,TP1-2025/12/19,False,False,False,False,True,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,27.83812799998835,28.70968059496157,20.32255524030749,58.31622136380602,37.56459829927762,40.35459807039578,34.77459852815946,14.854410255582655,1.5196634307726522,0.0980314222747866,1,35.31240005493164,38.192000198364255,True,25.61205176110658,21.93784530739928,40.400001525878906,False,-0.9405966677298718,-4.3%,-4.251179863531451,False,1,False,False,False,False,False,True,True,58.3,True,True,False,False,True,False,,,,,,,,,,,,,,2269.HK
