volatility_threshold,bullish_ratio_threshold,strong_bullish_min,bullish_count_min,stop_loss_buffer,avg_score,stocks_count
0.18,0.6,2,3,0.99,0.6879487886637887,79
0.14,0.5,1,3,0.98,0.6878504562502965,79
0.14,0.5,1,3,0.99,0.6878504562502965,79
0.14,0.5,1,3,0.97,0.6878504562502965,79
0.16,0.5,2,3,0.97,0.6853747261573937,79
0.16,0.5,2,3,0.98,0.6853747261573937,79
0.16,0.5,2,3,0.99,0.6853747261573937,79
0.18,0.65,2,3,0.98,0.6850797428296999,79
0.18,0.65,2,3,0.97,0.6850797428296999,79
0.18,0.65,2,3,0.99,0.6850797428296999,79
0.16,0.55,2,3,0.99,0.6831022001490972,79
0.16,0.55,2,3,0.97,0.6831022001490972,79
0.16,0.55,2,3,0.98,0.6831022001490972,79
0.18,0.7,2,3,0.98,0.6820758658551818,79
0.18,0.7,2,3,0.99,0.6820758658551818,79
0.18,0.7,2,3,0.97,0.6820758658551818,79
0.12,0.7,1,3,0.99,0.681085559067399,79
0.12,0.7,1,3,0.98,0.681085559067399,79
0.12,0.7,1,3,0.97,0.681085559067399,79
0.16,0.6,2,3,0.97,0.6803176101079575,79
0.16,0.6,2,3,0.99,0.6803176101079575,79
0.16,0.6,2,3,0.98,0.6803176101079575,79
0.18,0.5,1,4,0.99,0.6789320562075729,79
0.18,0.5,1,4,0.98,0.6789320562075729,79
0.18,0.5,1,4,0.97,0.6789320562075729,79
0.12,0.65,1,3,0.97,0.678008973359118,79
0.12,0.65,1,3,0.98,0.678008973359118,79
0.12,0.65,1,3,0.99,0.678008973359118,79
0.16,0.65,2,3,0.97,0.6774032187883627,79
0.16,0.65,2,3,0.98,0.6774032187883627,79
0.16,0.65,2,3,0.99,0.6774032187883627,79
0.18,0.55,1,4,0.98,0.676339177771133,79
0.18,0.55,1,4,0.99,0.676339177771133,79
0.18,0.55,1,4,0.97,0.676339177771133,79
0.12,0.6,1,3,0.98,0.6746691183295197,79
0.12,0.6,1,3,0.99,0.6746691183295197,79
0.12,0.6,1,3,0.97,0.6746691183295197,79
