Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,LLLow,HHClose,HHHigh,22DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,classification,PATTERN,LLDate,HHDate,bullish_count,strong_bullish,medium_bullish,weak_bullish,buy_price,tp1_price,tp2_price
2025-09-23,6969.HK,18.040000915527344,18.040000915527344,17.25,17.59000015258789,17.59000015258789,15398966,0.0,0.0,18.331373988638067,18.87826119808072,19.22354325935607,18.37883827852252,15.451480153093582,False,False,0.0,0.0,0.0,0.0,CL2-2025/06/17,False,False,False,False,True,False,0.0,,,,,,,,,,,
2025-09-08,1898.HK,9.390000343322754,9.670000076293944,9.270000457763672,9.539999961853027,9.539999961853027,20705246,0.0,0.0,9.404031782582404,9.490223689064512,9.370132856352996,9.032699983180024,8.494114238185212,False,False,9.140000343322754,11.100000381469728,11.170000076293944,9.210000038146973,SB1-2025/09/08,False,False,False,False,False,True,0.73,LH,LHLLHH,2025-10-02,2025-10-20,8.0,5.0,1.0,2.0,10.16,11.170000076293944,12.180000152587889
2025-09-03,1876.HK,8.899999618530273,9.100000381469728,8.600000381469727,8.619999885559082,8.619999885559082,22161623,0.0,0.0,8.572789593358868,8.511449768368015,8.414438293820128,8.289457922009428,8.58455395941272,False,True,8.0,8.170000076293945,7.690000057220459,8.149999618530273,TP2-2025/06/25,False,False,True,False,False,False,0.0,HH,HHLLLL,2025-09-15,2025-09-29,,,,,,,
2025-09-11,1816.HK,2.9600000381469727,3.0,2.940000057220459,2.9600000381469727,2.9600000381469727,40681253,0.0,0.0,2.9475266692081883,2.9782530359960524,2.9362352803646936,2.825604881686941,2.685302579901859,False,False,2.740000009536743,3.240000009536743,3.299999952316284,2.7699999809265137,SB1-2025/09/11,False,False,False,False,False,True,0.62,LH,LHLLHH,2025-09-22,2025-10-16,10.0,3.0,4.0,3.0,3.02,3.299999952316284,3.5799999046325683
2025-08-28,1787.HK,29.299999237060547,30.059999465942383,28.68000030517578,29.5,29.348852157592773,12761990,0.0,0.0,27.837871508906552,27.361942747634984,26.560626869069814,24.69013309560246,20.919024621310207,True,True,0.0,0.0,0.0,0.0,TP1-2025/07/22,False,True,False,False,False,False,0.0,,,,,,,,,,,
2025-09-03,1787.HK,32.0,33.439998626708984,30.540000915527344,31.520000457763672,31.35850143432617,41359228,0.0,0.0,29.45757142158574,28.379575050519385,27.16705645486217,25.14813309811064,21.225115034827912,True,True,0.0,0.0,0.0,0.0,TP2-2025/07/22,False,False,True,False,False,False,0.0,,,,,,,,,,,
2025-08-26,1658.HK,5.670000076293945,5.710000038146973,5.550000190734863,5.550000190734863,5.550000190734863,50191554,0.0,0.0,5.596859641610836,5.615779366359507,5.550563763764495,5.344492454535002,4.874669370936648,False,False,5.409999847412109,5.840000152587891,5.880000114440918,5.420000076293945,SB1-2025/08/26,False,False,False,False,False,True,0.6,LH,LHLLHH,2025-08-29,2025-09-12,6.0,4.0,1.0,1.0,5.64,5.880000114440918,6.120000228881836
2025-09-19,1658.HK,5.75,5.75,5.599999904632568,5.619999885559082,5.619999885559082,50308676,0.0,0.0,5.722762322966336,5.6951902130760645,5.626712616872574,5.4492621382791455,4.983459112538217,True,True,0.0,0.0,0.0,0.0,BY1-2025/08/26,True,False,False,False,False,False,0.0,,,,,,,,,,,
2025-09-25,1658.HK,5.46999979019165,5.46999979019165,5.329999923706055,5.329999923706055,5.329999923706055,38980013,0.0,0.0,5.565227956099205,5.619085610453119,5.600511654597904,5.449397252816323,4.998212277832402,False,False,0.0,0.0,0.0,0.0,CL1-2025/08/26,False,False,False,True,False,False,0.0,,,,,,,,,,,
2025-09-19,1548.HK,17.309999465942383,17.559999465942383,16.860000610351562,17.059999465942383,17.059999465942383,11608334,0.0,0.0,17.207091023038473,17.32048650235097,16.925662780657095,15.776849174369849,14.27942489404975,False,False,15.359999656677246,17.65999984741211,17.65999984741211,15.699999809265137,SB1-2025/09/19,False,False,False,False,False,True,0.83,LH,LHLLHH,2025-09-26,2025-10-08,5.0,3.0,2.0,0.0,16.51,17.65999984741211,18.809999694824217
2025-09-29,1288.HK,5.210000038146973,5.309999942779541,5.179999828338623,5.260000228881836,5.260000228881836,162764386,0.0,0.0,5.273491548870376,5.332165726173521,5.34326081788731,5.214508199298035,4.67436392218378,False,False,5.050000190734863,5.960000038146973,5.96999979019165,5.059999942779541,SB1-2025/09/29,False,False,False,False,False,True,0.82,LH,LHLLHH,2025-10-08,2025-10-23,9.0,4.0,4.0,1.0,5.51,5.96999979019165,6.429999580383301
2025-08-25,1209.HK,40.70000076293945,42.59999847412109,40.70000076293945,41.93999862670898,40.9465217590332,3054007,0.0,0.0,38.94562184870743,38.22707314810196,37.39758008395062,35.92297183497489,32.489070394659386,True,True,43.34000015258789,38.31999969482422,37.91999816894531,36.880001068115234,TP1-2025/05/21,False,True,False,False,False,False,0.0,HH,HHHHLL,2025-09-12,2025-10-08,,,,,,,
2025-08-27,1209.HK,41.060001373291016,41.47999954223633,37.79999923706055,37.84000015258789,36.943641662597656,14427997,0.0,0.0,38.83280429702987,38.30657666017928,37.50172365020478,36.03462550144431,32.588948498976265,True,True,0.0,0.0,0.0,0.0,TP1-2025/07/25,True,True,False,False,False,False,0.0,,,,,,,,,,,
2025-09-12,1209.HK,42.59999847412109,43.34000015258789,42.459999084472656,42.880001068115234,42.880001068115234,3049450,0.0,0.0,40.68305779618116,39.509274132309976,38.3549740961333,36.79348687952251,33.22177212580409,True,True,37.91999816894531,41.400001525878906,42.560001373291016,38.81999969482422,TP2-2025/07/25,False,False,True,False,False,False,0.0,HH,HHLLLH,2025-10-08,2025-10-20,,,,,,,
2025-09-12,914.HK,24.559999465942383,24.940000534057617,23.63999938964844,23.84000015258789,23.84000015258789,11914306,0.0,0.0,24.011849972949616,23.866646675823347,23.212402715661806,22.28088800842868,20.86973233860593,True,True,22.420000076293945,25.0,25.89999961853028,22.68000030517578,SB1-2025/09/12,False,False,False,False,False,True,0.72,LH,LHLLHH,2025-09-18,2025-10-16,13.0,4.0,6.0,3.0,24.16,25.89999961853028,27.63999923706056
2025-10-17,914.HK,25.0,25.100000381469727,23.8799991607666,24.040000915527344,24.040000915527344,8562586,0.0,0.0,24.41667435983548,24.06538220791158,23.61242349560757,22.83657956143856,21.351187941070247,True,True,0.0,0.0,0.0,0.0,BY1-2025/09/12,True,False,False,False,False,False,0.0,,,,,,,,,,,
2025-09-29,883.HK,19.190000534057617,19.299999237060547,19.1299991607666,19.280000686645508,19.280000686645508,55799995,0.0,0.0,19.149663515247056,19.050750074349192,18.650020574069263,18.115544317557724,17.31398449412095,True,True,18.420000076293945,19.920000076293945,20.15999984741211,18.450000762939453,SB1-2025/09/29,False,False,False,False,False,True,0.62,LH,LHLLHH,2025-10-13,2025-10-23,5.0,3.0,2.0,0.0,19.29,20.15999984741211,21.02999969482422
2025-09-29,857.HK,7.159999847412109,7.329999923706055,7.119999885559082,7.28000020980835,7.28000020980835,151161198,0.0,0.0,7.197708277707919,7.249346280361754,7.175617972505192,6.881710530015074,6.336091446513287,False,False,6.989999771118164,8.010000228881836,8.149999618530273,7.03000020980835,SB1-2025/09/29,False,False,False,False,False,True,0.67,LH,LHLLHH,2025-09-30,2025-10-23,10.0,3.0,6.0,1.0,7.57,8.149999618530273,8.729999237060547
2025-09-26,293.HK,10.5,10.649999618530272,10.380000114440918,10.56999969482422,10.56999969482422,5894287,0.0,0.0,10.552602340560307,10.579897377392832,10.631587961231812,10.464567737536802,9.687491708319143,False,False,10.350000381469728,11.170000076293944,11.18000030517578,10.380000114440918,SB1-2025/09/26,False,False,False,False,False,True,0.62,LH,LHLLHH,2025-10-13,2025-10-23,5.0,3.0,1.0,1.0,10.77,11.18000030517578,11.59000061035156
