Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,LLLow,HHClose,HHHigh,22DLow,33DLow,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,T1_100,SNO
2025-11-07,0002.HK,67.5,67.80000305175781,67.5,67.69999694824219,67.69999694824219,3848476,0.0,0.0,66.79293117700624,66.31150513824988,65.99239449547933,65.90281400461646,65.61608996182802,True,True,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,0.0,0,0,False,True,2.HK
2025-11-10,0002.HK,67.69999694824219,68.0999984741211,67.55000305175781,67.94999694824219,67.94999694824219,3822445,0.0,0.0,67.00330677177641,66.45398268694487,66.0691632191171,65.94335228072785,65.63468683024567,True,True,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,0.0,0,0,False,True,2.HK
2025-11-11,0002.HK,67.94999694824219,68.30000305175781,67.9000015258789,68.19999694824219,68.19999694824219,4871269,0.0,0.0,67.22088680386109,66.6058100140142,66.15272532614162,65.98803831374794,65.65512754831737,True,True,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,0.0,0,0,False,True,2.HK
2025-11-12,0002.HK,68.30000305175781,68.8499984741211,68.30000305175781,68.8499984741211,68.8499984741211,6560613,0.0,0.0,67.51708892572654,66.8009568366322,66.25850074370945,66.04471079217117,65.68058468716839,True,True,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,0.0,0,0,False,True,2.HK
2025-11-07,0006.HK,50.650001525878906,51.0,50.650001525878906,50.95000076293945,50.95000076293945,2967516,0.0,0.0,50.231902170534624,50.126684487491815,50.29564602854695,50.50241324123061,50.18226158432484,False,True,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,0.0,0,0,False,True,6.HK
2025-11-10,0006.HK,50.84999847412109,51.04999923706055,50.70000076293945,51.04999923706055,51.04999923706055,2173246,0.0,0.0,50.38064709172116,50.20697272658475,50.32522850731219,50.51325652827675,50.18917582856975,False,True,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,0.0,0,0,False,True,6.HK
2025-11-11,0006.HK,50.95000076293945,51.29999923706055,50.84999847412109,51.150001525878906,51.150001525878906,1870365,0.0,0.0,50.52052971611347,50.2889752308712,50.357572547255984,50.52586534011045,50.19683181022162,False,True,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,0.0,0,0,False,True,6.HK
2025-11-12,0006.HK,51.0,51.650001525878906,51.0,51.650001525878906,51.650001525878906,3666979,0.0,0.0,50.72588822697991,50.40732534348057,50.40825603661375,50.54812546260092,50.20841085178064,False,True,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,0.0,0,0,False,True,6.HK
2025-11-07,0941.HK,86.94999694824219,87.9000015258789,86.9000015258789,87.1500015258789,87.1500015258789,19033168,0.0,0.0,86.2997589508413,85.87347914851503,85.94222455598243,85.72070048618916,82.47859745980332,False,True,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,0.0,0,0,False,True,941.HK
2025-11-10,0941.HK,87.19999694824219,87.8499984741211,87.0999984741211,87.80000305175781,87.80000305175781,19276181,0.0,0.0,86.57253060555338,86.04100296618832,86.0150786146403,85.76187479441825,82.52099909798623,True,True,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,0.0,0,0,False,True,941.HK
2025-11-11,0941.HK,87.9000015258789,88.75,87.6500015258789,88.5,88.5,22304363,0.0,0.0,86.92297958636186,86.25482879521543,86.11252651210539,85.81609509551888,82.56864053943654,True,True,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,0.0,0,0,False,True,941.HK
2025-11-12,0941.HK,88.80000305175781,88.9000015258789,88.1500015258789,88.8499984741211,88.8499984741211,22989031,0.0,0.0,87.27334665686354,86.48049572381592,86.21987835375307,85.87617239014466,82.61869120027067,True,True,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,0.0,0,0,False,True,941.HK
