index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,F10D,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,LLLow,HHClose,HHHigh,VOLATILITY,22DLow,33DLow,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSSTU2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,WLow,WHigh,HHHL,ADX,DIplus,DIminus,RSI,KC_middle,KC_upper,KC_lower,KC_Width,Price_zscore,Volume_zscore,Anomaly_Score,MA_50,MA_20,Price_Above_MA50,Price_Increase_50D,Price_Increase_30D,Resistance,Above_Resistance,Breakout_Percentage,Volatility_Decrease,Volatility_Decrease_Pct,Contraction_Structure,Contraction_Count,Valid_Contractions,KC_Contraction,Volume_Contraction,Volume_Spike,Breakout_Detected,ADX_Strength,DI_Bullish,RSI_Value,Anomaly_Free,Uptrend_Requirement,Contraction_Pattern,Volume_Signature,Momentum_Confirmation,VCP,classification,HHHL_PATTERN,WLDate,WHDate,BOSS_PATTERN,LLDate,HHDate,BOSS_STATUS,buy_price,cl_price,tp1_price,tp2_price,tp3_price,SNO
2026-02-16,1020.HK,0.4449999928474426,0.4650000035762787,0.4399999976158142,0.4650000035762787,0.4650000035762787,6548000,0.0,0.0,0.4650000035762787,0.445608220627426,0.4154979954799335,0.3365017725179597,0.2560257102233445,0.169906802497092,True,True,True,False,0.0250000059604644,0.0246875025331974,0.0370312537997961,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,42.51207745959827,35.61644428419235,15.06848655155949,65.11627616851425,0.4215700983199082,0.4755701004656754,0.367570096174141,25.618516285179865,0.9644034067741404,0.9448061179718164,1,0.3052400016784667,0.4295000031590462,True,300.86208358318504,78.8461617816838,0.5,False,-6.999999284744263,-25.2%,-25.16043834988586,False,1,False,False,False,False,False,True,True,65.1,True,True,False,False,True,False,,,,,,,,,,,,,,1020.HK
2026-02-16,1033.HK,0.9100000262260436,0.9399999976158142,0.9100000262260436,0.9399999976158142,0.9399999976158142,3011060,0.0,0.0,0.9399999976158142,0.9131580896546764,0.8807489515697227,0.8313141144930871,0.7992490832695031,0.7456738159195547,True,True,True,False,0.0299999713897706,0.0511764673625721,0.0767647010438582,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,54.618097811807885,31.313129367055947,17.17171765823602,57.1428591702265,0.8861915023038625,1.0121915073106529,0.7601914972970722,28.43629276047529,0.673554281674715,0.827981798265549,1,0.7949999952316285,0.8959999948740005,True,23.68421176463945,32.394369862614646,1.1100000143051147,False,-15.3153166214799,-54.2%,-54.18095394278289,False,1,False,False,False,False,False,True,True,57.1,True,True,False,False,True,False,,,,,,,,,,,,,,1033.HK
2026-02-16,1057.HK,5.889999866485596,5.889999866485596,5.679999828338623,5.78000020980835,5.78000020980835,1438000,0.0,0.0,5.78000020980835,5.680240742771181,5.627722565803648,5.379744844664525,5.138788571397354,4.616423180257,True,True,True,False,0.2100000381469726,0.2200000286102295,0.3300000429153442,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,21.159259410119592,21.467378311605064,20.652181096023213,46.99454320798502,5.642305016704922,6.227305054851895,5.05730497855795,20.73620750437947,0.3550010437214544,0.942480909713361,1,5.236800007820129,5.706999993324279,True,42.71604784195286,13.11154713871118,6.53000020980835,False,-11.48545139207602,-3.5%,-3.544109046716981,True,3,False,False,False,False,False,True,True,47.0,True,True,False,False,True,False,,,,,,,,,,,,,,1057.HK
2026-02-16,0107.HK,5.559999942779541,5.639999866485596,5.559999942779541,5.639999866485596,5.639999866485596,350000,0.0,0.0,5.639999866485596,5.578486991193948,5.483879992992327,5.386607537040646,5.23293492247119,4.73667877633573,True,True,True,False,0.0799999237060546,0.1464705467224121,0.2197058200836181,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,32.47165723060027,19.838025963876984,15.384599049491833,64.70586585339954,5.495249367840468,5.812249327786146,5.178249407894789,11.537236573861025,0.9783541951339844,2.062825496914747,1,5.407200021743774,5.440000033378601,True,5.0279327128589575,6.4150879908476055,5.699999809265137,False,-1.0526306103030627,-9.8%,-9.819732004228287,False,1,False,False,False,False,False,True,True,64.7,True,False,False,False,True,False,,,,,,,,,,,,,,107.HK
2026-02-16,1072.HK,33.34000015258789,33.34000015258789,31.89999961853028,32.84000015258789,32.84000015258789,3699200,0.0,0.0,32.84000015258789,30.373149245829588,28.51740009225799,26.12594166124711,23.34903227880518,18.68619546023745,True,True,True,False,1.4400005340576136,1.6223526000976558,2.4335289001464835,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,23.332188693539354,33.71467899264011,11.574699238003909,64.2611709375921,28.749154621560617,32.41315417905574,25.0851550640655,25.489442077349143,1.7157127454251913,1.1002764469731383,1,25.68480010986328,28.322000122070317,True,52.46053276123502,28.98665095638629,34.880001068115234,False,-5.848626298902738,-16.3%,-16.286806391802212,False,1,False,False,False,False,False,True,True,64.3,True,True,False,False,True,False,,,,,,,,,,,,,,1072.HK
2026-02-16,1112.HK,16.299999237060547,16.299999237060547,15.829999923706056,15.960000038146973,15.960000038146973,466000,0.0,0.0,15.960000038146973,15.824434403242158,15.255985053604643,14.545729038673532,13.90338399441345,12.637263224006992,True,True,True,False,0.4699993133544904,0.7224998474121096,1.0837497711181645,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,51.17261206769323,23.1985962043582,8.699465196365173,70.25496883402063,15.336601928252916,17.009601596374253,13.663602260131578,21.817084070485738,0.909009485685652,1.017143697601937,1,14.29620002746582,15.231999969482422,True,7.983764049355421,20.72617031598577,16.799999237060547,False,-4.999995458693525,-31.8%,-31.784659316084674,False,1,False,False,False,False,False,True,True,70.3,True,False,False,False,True,False,,,,,,,,,,,,,,1112.HK
2026-02-16,1115.HK,0.6399999856948853,0.6600000262260437,0.6200000047683716,0.6299999952316284,0.6299999952316284,99352000,0.0,0.0,0.6299999952316284,0.6125522385346758,0.598105672999731,0.5836103075709778,0.5596650309363896,0.4858630742236838,True,True,True,False,0.0400000214576721,0.0299999862909317,0.0449999794363975,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,29.22185393342884,30.909103322624,16.363647397888002,66.66667770457073,0.5998903292456114,0.6708903032579863,0.5288903552332365,23.670984695372734,1.251583474718406,2.359548500046872,1,0.5741999971866608,0.5895000010728836,True,14.545451195772102,6.779664955205086,0.6700000166893005,False,-5.970152307656038,-13.0%,-12.950799004538371,True,2,True,True,True,True,False,True,True,66.7,True,False,True,True,True,False,,,,,,,,,,,,,,1115.HK
2026-02-16,1133.HK,22.65999984741211,23.1200008392334,22.39999961853028,22.89999961853028,22.89999961853028,5562000,0.0,0.0,22.89999961853028,21.574830096245897,20.37808967778477,18.40440191537088,15.819119028222037,11.259342771076954,True,True,True,False,0.7200012207031214,1.0631247758865356,1.5946871638298037,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,25.11918235522308,24.59260206741544,13.777774177624195,60.57838859422223,20.54990887287847,23.135908552443897,17.96390919331304,25.167991698283405,1.7306356038292603,0.8911785506745079,1,17.952600059509276,20.416500186920167,True,63.68834877185972,31.7606485863616,24.200000762939453,False,-5.371905386052854,-19.7%,-19.67240351682753,True,2,True,True,False,False,False,True,True,60.6,True,True,True,False,True,False,,,,,,,,,,,,,,1133.HK
2026-02-16,1140.HK,0.1930000036954879,0.2029999941587448,0.1889999955892563,0.1990000009536743,0.1990000009536743,12604000,0.0,0.0,0.1990000009536743,0.1910516765004986,0.1882173995227757,0.1863203510518559,0.176969269823736,0.1516285909944325,True,True,True,False,0.0139999985694885,0.008357143827847,0.0125357157417706,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0,False,0.1659999936819076,0.2119999974966049,False,28.44525418606136,25.477710331306923,21.65605615440716,57.894742345767625,0.1884589299500705,0.2091589301765681,0.1677589297235728,21.967651235186167,1.2216946141259972,0.6767252676028849,1,0.1802399989962577,0.1868999987840652,True,3.108806810000423,1.0152304997880086,0.2119999974966049,False,-6.132073913415397,43.7%,43.724710740936736,False,1,False,False,False,True,False,True,True,57.9,True,False,False,True,True,False,HL,HLLHLLHHHL,2026-02-04,2026-02-12,,,,BY1-2026/01/29,0.19,0.1659999936819076,0.2119999974966049,0.2339999949932097,0.2559999924898146,1140.HK
2026-02-16,1141.HK,1.600000023841858,1.600000023841858,1.5299999713897705,1.5399999618530271,1.5399999618530271,10268500,0.0,0.0,1.5399999618530271,1.4623885115638973,1.314848162804116,1.1434050015443085,1.024045356824278,0.8167632976038705,True,True,True,False,0.0700000524520874,0.0756250172853469,0.1134375259280204,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,49.0271660258436,31.62392674722837,3.4188097759344624,92.3076711462856,1.3361933492414149,1.5181933902494105,1.1541933082334193,27.241572652838137,1.1957969287028176,3.684031694563164,1,1.020400002002716,1.3225000023841855,True,79.06976002754563,99.99999999999996,1.5700000524520874,False,-1.9108337322794968,29.4%,29.449974166219373,True,2,False,False,False,True,False,True,True,92.3,True,True,False,True,False,False,,,,,,,,,,,,,,1141.HK
