sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,BY1,TOTAL,WR
0001.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0002.HK,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
0003.HK,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,33.33
0004.HK,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,66.67
0006.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
0011.HK,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
0012.HK,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,66.67
0019.HK,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
0023.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0
0027.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0066.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0083.HK,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
0087.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0101.HK,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,33.33
0135.HK,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
0136.HK,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
0144.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0168.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0175.HK,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,66.67
0241.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0257.HK,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
0267.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0270.HK,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
0285.HK,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0
0288.HK,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
0293.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0316.HK,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
0322.HK,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
0358.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0384.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0386.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0425.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0
0486.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
0656.HK,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
0659.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0728.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0762.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0780.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0788.HK,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,6.0,66.67
0836.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0857.HK,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
0868.HK,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,25.0
0883.HK,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,66.67
0939.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0945.HK,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
0981.HK,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
1038.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1088.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1128.HK,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
1171.HK,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
1179.HK,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,100.0
1208.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1209.HK,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
1258.HK,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
1288.HK,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
1299.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
1308.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1339.HK,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0
1347.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1357.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1398.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0
1519.HK,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
1585.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
