index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,F10D,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,LLLow,HHClose,HHHigh,VOLATILITY,22DLow,33DLow,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSSTU2,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,BOSS2,WLow,WHigh,HHHL,ADX,DIplus,DIminus,RSI,KC_middle,KC_upper,KC_lower,KC_Width,Price_zscore,Volume_zscore,Anomaly_Score,MA_50,MA_20,Price_Above_MA50,Price_Increase_50D,Price_Increase_30D,Resistance,Above_Resistance,Breakout_Percentage,Volatility_Decrease,Volatility_Decrease_Pct,Contraction_Structure,Contraction_Count,Valid_Contractions,KC_Contraction,Volume_Contraction,Volume_Spike,Breakout_Detected,ADX_Strength,DI_Bullish,RSI_Value,Anomaly_Free,Uptrend_Requirement,Contraction_Pattern,Volume_Signature,Momentum_Confirmation,VCP,DT,XGB,LGBM,LR,MLP,RF,SVM,VOTING,classification,HHHL_PATTERN,WLDate,WHDate,SNO
2026-02-25,1093.HK,10.06999969482422,10.220000267028809,9.890000343322754,9.989999771118164,9.989999771118164,66040333,0.0,0.0,-0.0410410267072726,10.143424349915094,9.938619874629644,9.462666202021945,9.075357189814298,8.241960105952588,False,True,True,False,0.3299999237060547,0.4453332901000981,0.6679999351501472,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,13.599162213126604,23.31461212186717,19.382019198584302,55.09137340987953,9.97801964966065,11.075019771730965,8.881019527590338,21.988333568928603,0.0645139554084576,0.5586463980488275,1,9.20639998435974,10.016499948501586,True,30.588230674242123,9.900985736221871,10.960000038146973,False,-8.850367369093625,-29.0%,-28.991494846894994,True,2,False,True,True,False,False,False,True,55.1,True,True,False,True,False,False,False,True,True,False,False,False,False,False,,,,,1093.HK
2026-02-26,1093.HK,10.119999885559082,10.119999885559082,9.510000228881836,9.539999961853027,9.539999961853027,99381920,0.0,0.0,0.0041928681355318,10.033710824812898,9.903957273518634,9.46569889848591,9.084558036785362,8.252303053011556,False,True,True,False,0.6099996566772461,0.4606666564941411,0.6909999847412117,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,12.28136091529203,24.592600985971902,23.11111406239912,55.0913871276905,9.936303488917067,11.071303622431472,8.801303355402663,22.845520666319853,1.0966663979279256,0.293183225335314,1,9.242999982833862,10.002999925613404,True,23.73540745332964,3.92156475718499,10.960000038146973,False,-12.956205030579792,-28.8%,-28.778441390778696,True,2,True,True,True,False,False,False,True,55.1,True,True,True,True,False,False,False,True,True,False,False,False,False,False,,,,,1093.HK
2026-02-25,1128.HK,5.849999904632568,5.949999809265137,5.809999942779541,5.840000152587891,5.840000152587891,8573877,0.0,0.0,-0.0273973150802686,5.949161457851145,5.966752578810292,6.055321496519252,6.173981453398092,6.1676601365665045,False,False,False,False,0.1399998664855957,0.1305554972754584,0.1958332459131876,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,21.024699110083965,22.943721424591885,21.212099944286404,52.52526274215145,5.964192978943866,6.261192814911884,5.667193142975848,9.959430790269646,0.9821893816165256,0.5571295970478114,1,5.996800003051757,5.969500017166138,False,-9.457359297918256,-0.5110687147540568,6.239999771118164,False,-6.410250532086098,-2.1%,-2.114533472928537,False,1,False,False,False,True,False,True,True,52.5,True,False,False,True,True,False,True,True,True,True,False,False,False,False,,,,,1128.HK
2026-02-26,1128.HK,5.789999961853027,5.849999904632568,5.75,5.78000020980835,5.78000020980835,9315276,0.0,0.0,-0.0173011034324931,5.918404867297909,5.95051324237534,6.044524583314903,6.1661798446141365,6.164571212847316,False,False,False,False,0.0999999046325683,0.1311110390557183,0.1966665585835774,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,21.789443834120508,19.282511594311053,24.663653254136992,47.00000143051216,5.946650810454769,6.244650621627255,5.648650999282284,10.02244189783513,1.3318845899150518,0.6839198726031872,1,5.984200010299682,5.963500022888184,False,-9.828387716079396,-1.70067861711388,6.239999771118164,False,-7.371788111899013,-2.8%,-2.834786222711072,False,1,False,False,False,True,False,True,False,47.0,True,False,False,True,False,False,True,True,True,True,False,False,False,False,,,,,1128.HK
2026-02-27,1128.HK,5.820000171661377,5.820000171661377,5.699999809265137,5.710000038146973,5.710000038146973,10733453,0.0,0.0,-0.0052539771642603,5.880513080179556,5.929599050703308,6.031405973700474,6.157146581119737,6.160949131774006,False,False,False,False,0.1200003623962402,0.1327777173784044,0.1991665760676066,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,23.86138797037919,9.22328299227894,29.126193366313807,28.57141235247136,5.924112641663551,6.225112473816871,5.62311280951023,10.161853778283213,1.6613430774829945,0.976673288888201,1,5.971600008010864,5.9555000305175785,False,-9.936910083255466,-1.8900366025763131,6.239999771118164,False,-8.493585775824783,-3.3%,-3.295667015685177,False,1,False,False,False,True,False,True,False,28.6,True,False,False,True,False,False,True,True,True,True,False,False,False,False,,,,,1128.HK
2026-03-02,1128.HK,5.610000133514404,5.739999771118164,5.590000152587891,5.679999828338623,5.679999828338623,6165165,0.0,0.0,0.0,5.844056125299386,5.907894770497683,6.01762534054903,6.147698130569616,6.157116866407987,False,False,False,False,0.1499996185302734,0.1361110475328233,0.204166571299235,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,26.353262704490614,9.134599733979751,34.13458827154239,28.91563773241505,5.900863802299272,6.207863628730546,5.593863975867997,10.405250374077513,1.6505445938477503,0.3261311795513484,1,5.960200004577636,5.944000029563904,False,-9.120002746582031,-1.8998296068934677,6.239999771118164,False,-8.974358386541944,-3.8%,-3.8250044581363385,True,2,True,True,False,False,False,True,False,28.9,True,False,True,False,False,False,True,True,True,True,False,False,False,False,,,,,1128.HK
2026-02-26,1299.HK,87.0,88.0,84.55000305175781,84.69999694824219,84.69999694824219,26179446,0.0,0.0,0.0035419487906374,84.72766904497145,85.00193759555906,83.73404900929087,80.755493537264,74.0439296091126,False,False,True,False,3.4499969482421875,2.0208333333333344,4.041666666666669,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,87.9000015258789,79.69999694824219,False,23.851474154776543,19.6782209770115,30.198018586632564,41.10427533491352,85.02137834363324,90.67637941174848,79.366377275518,13.302539145529412,0.5102138246517977,0.5650956884725294,1,83.81500015258788,86.23250007629395,True,8.173682818701623,0.474488590752233,92.0999984741211,False,-8.034746632442356,-26.9%,-26.86709333923057,False,1,False,False,False,False,False,True,False,41.1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,HH,LHLLLHLLHH,2026-02-10,2026-02-13,1299.HK
2026-02-25,2628.HK,32.58000183105469,33.2400016784668,32.08000183105469,32.720001220703125,32.720001220703125,45557318,0.0,0.0,-0.0678484455342395,33.62576355954689,33.40446340306493,31.69298023050133,28.9670629805355,23.831422350233037,False,True,True,False,1.1599998474121094,1.2249997854232788,1.8374996781349184,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,18.174602170790084,13.52885852850124,32.734127502560575,41.7177950004666,33.49478602042037,36.42878584494429,30.560786195896444,17.519143563032095,1.117974844358523,0.7366820453919904,1,31.512000045776368,33.9930004119873,True,22.2720513484477,5.073865966676634,36.15999984741211,False,-9.513270578609191,-13.0%,-13.01028783309408,False,1,False,False,False,False,False,False,False,41.7,True,True,False,False,False,False,True,False,True,False,False,False,False,False,,,,,2628.HK
2026-02-26,2628.HK,33.0,33.0,31.31999969482422,31.3799991607666,31.3799991607666,76940104,0.0,0.0,-0.0280433137126031,33.21744275976865,33.228423034169424,31.680706463060755,29.01484389499552,23.89157037262773,False,False,True,False,1.6800003051757812,1.2587498426437378,1.8881247639656067,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,20.05664487668393,13.763237624445788,29.35514356333132,41.84615420730847,33.293377748072395,36.281377664149055,30.30537783199573,17.94951499776653,2.2510899097843806,0.3871674584718589,1,31.57520004272461,33.98500032424927,False,11.197731836643642,-0.3176632240275521,36.15999984741211,False,-13.219028503363232,-12.6%,-12.64305209400447,False,1,False,False,False,False,False,True,False,41.8,True,False,False,False,False,False,True,True,True,False,False,False,False,False,,,,,2628.HK
2026-02-27,2628.HK,31.39999961853028,31.959999084472656,31.3799991607666,31.57999992370605,31.57999992370605,52153713,0.0,0.0,-0.034198857704725,32.91972588048454,33.08508189412913,31.67675718700763,29.065639063880877,23.952832759488903,False,False,True,False,0.5799999237060547,1.1962498426437378,1.7943747639656067,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,21.97295804796346,13.913909451333634,30.530526507519184,38.23530465902344,33.13019890765656,36.018198823733215,30.242198991579897,17.43424435287183,1.958099542212409,0.4775979307562462,1,31.64560005187988,33.95500030517578,False,12.54454926856304,-0.9410264898304864,36.15999984741211,False,-12.6659290459976,-12.5%,-12.54846443380524,False,1,False,False,False,False,False,True,False,38.2,True,False,False,False,False,False,True,True,True,False,False,False,False,False,,,,,2628.HK
