sno,returns,sharpe_ratios,max_drawdowns,trades_counts,win_rates
P_0017.HK,160.1715995979309,1.5857592649647592,-7.000736886139503,11,90.9090909090909
P_0028.HK,54.12080305099487,1.2790583768667925,-13.656911420833662,8,75.0
P_0034.HK,26.624801521301265,0.7044223202114765,-16.979128099463658,5,60.0
P_0035.HK,6.795201103687286,0.5215168307860841,-5.977832259974624,9,66.66666666666666
P_0051.HK,-0.3072003746032715,-0.01650769602497423,-22.42231553318952,2,50.0
P_0069.HK,-5.199996185302734,-0.1394159802112018,-23.301712909665117,3,66.66666666666666
P_0081.HK,52.414796380996705,1.437528258216025,-8.3903435716004,8,87.5
P_0085.HK,48.26959800243378,1.5779612663539466,-3.57693807551428,12,91.66666666666666
P_0086.HK,41.318394641876225,1.0125502006891776,-10.365698376182086,17,76.47058823529412
P_0088.HK,10.55279769897461,0.3752809885995538,-12.838479664594916,7,57.14285714285714
P_0107.HK,82.82040200710297,2.0061068526096615,-5.841347655712259,10,100.0
P_0108.HK,34.637682972550394,1.7473398081844587,-1.5540715646915726,11,100.0
P_0113.HK,82.55800724029541,0.8897905376781013,-11.680822644317178,13,84.61538461538461
P_0119.HK,15.335201430320739,0.6622300724404937,-8.446710174818495,5,80.0
P_0123.HK,82.9339988899231,1.2793567769641545,-13.288679656263302,9,88.88888888888889
P_0127.HK,14.496802191734314,0.628384796537437,-7.198826223624932,7,57.14285714285714
P_0142.HK,88.3271976852417,1.2929735712066386,-10.458818316482576,13,92.3076923076923
P_0147.HK,2.4475998103618624,1.1828085138297482,-0.09988227791690729,5,100.0
P_0165.HK,43.305989322662356,0.6648941081857123,-17.86664846866963,8,75.0
P_0173.HK,20.38000009059906,0.7801718679980203,-8.7181301471834,13,76.92307692307693
P_0182.HK,-3.615000833272934,-0.6355162541117733,-4.7341836889036815,3,0.0
P_0200.HK,35.75599865913391,1.1791478561606057,-2.526802482604984,2,100.0
P_0215.HK,1.3640008592605593,0.1768978936810798,-4.586951158534946,3,33.33333333333333
P_0218.HK,20.596200929880144,1.0375990345410542,-0.9471809282557309,5,100.0
P_0230.HK,9.001000069379806,1.5598914352452256,-1.3862894591588293,9,100.0
P_0242.HK,-0.814801812171936,-0.10193017232103241,-4.533436662381862,4,50.0
P_0245.HK,14.230799190998077,1.856589715954631,-1.5340960818663651,5,80.0
P_0258.HK,24.357199602127075,1.0230680705373725,-6.354223383829782,7,71.42857142857143
P_0259.HK,41.160405049324034,1.2878116677502696,-6.414815458904755,5,100.0
P_0272.HK,-0.6564006209373474,-0.12284317340802477,-3.1258785349258966,1,0.0
