sno,TP12,TP1,TP2,TP1C,CL1,BY1,,,
0001.HK,4,0,0,0,3,0,7,57.14%,
0002.HK,3,0,0,0,2,0,5,60.00%,
0003.HK,3,0,0,0,2,0,5,60.00%,
0004.HK,4,1,1,0,2,0,8,75.00%,
0005.HK,3,0,0,4,4,0,11,27.27%,
0006.HK,0,0,1,0,2,1,4,25.00%,
0008.HK,2,0,0,1,4,0,7,28.57%,
0011.HK,2,0,1,1,1,0,5,60.00%,
0012.HK,6,0,0,0,6,2,14,42.86%,
0016.HK,0,1,1,2,2,1,7,28.57%,
0019.HK,1,1,1,1,4,0,8,37.50%,
0023.HK,4,0,0,2,2,0,8,50.00%,
0027.HK,1,0,0,1,3,0,5,20.00%,
0066.HK,3,0,1,1,3,0,8,50.00%,
0083.HK,4,1,0,0,3,0,8,62.50%,
0087.HK,3,0,0,1,8,0,12,25.00%,
0101.HK,1,1,0,1,5,0,8,25.00%,
0135.HK,1,0,0,0,5,0,6,16.67%,
0136.HK,1,1,0,1,1,1,5,40.00%,
0144.HK,6,0,0,0,4,0,10,60.00%,
0148.HK,2,1,0,1,4,0,8,37.50%,
0151.HK,3,0,0,0,2,0,5,60.00%,
0168.HK,5,0,0,0,3,0,8,62.50%,
0175.HK,1,0,0,0,4,0,5,20.00%,
0179.HK,1,0,0,0,4,0,5,20.00%,
0220.HK,5,0,2,1,2,0,10,70.00%,
0241.HK,1,0,0,0,3,1,5,20.00%,
0247.HK,0,0,0,0,1,0,1,0.00%,
0267.HK,0,0,1,0,4,0,5,20.00%,
0268.HK,1,0,0,0,1,0,2,50.00%,
0270.HK,3,1,0,1,5,0,10,40.00%,
0285.HK,0,1,1,1,1,0,4,50.00%,
0288.HK,1,0,1,0,1,0,3,66.67%,
0291.HK,3,1,0,0,6,0,10,40.00%,
0293.HK,7,0,1,1,3,0,12,66.67%,
0300.HK,1,0,0,0,0,0,1,100.00%,
0316.HK,1,0,1,0,7,0,9,22.22%,
0322.HK,2,0,1,1,4,0,8,37.50%,
0358.HK,4,0,0,1,0,0,5,80.00%,
0384.HK,5,0,0,3,2,1,11,45.45%,
0386.HK,3,1,0,0,5,0,9,44.44%,
0388.HK,3,0,1,1,3,0,8,50.00%,
0392.HK,3,0,0,1,2,1,7,42.86%,
0425.HK,1,1,0,2,2,0,6,33.33%,
0486.HK,1,0,0,1,0,0,2,50.00%,
0522.HK,1,0,0,0,3,0,4,25.00%,
0656.HK,7,0,0,1,6,0,14,50.00%,
0659.HK,0,1,0,1,4,0,6,16.67%,
0669.HK,3,0,1,1,3,0,8,50.00%,
0700.HK,3,0,0,1,2,0,6,50.00%,
0728.HK,2,1,0,0,4,0,7,42.86%,
0753.HK,1,0,0,0,1,0,2,50.00%,
0762.HK,2,1,0,0,1,0,4,75.00%,
0763.HK,3,1,0,2,0,0,6,66.67%,
0772.HK,1,0,0,0,3,0,4,25.00%,
0788.HK,0,0,0,1,2,0,3,0.00%,
0836.HK,2,0,0,0,3,0,5,40.00%,
0857.HK,2,0,0,0,1,0,3,66.67%,
0867.HK,1,0,0,0,1,0,2,50.00%,
0881.HK,3,0,0,0,2,0,5,60.00%,
0883.HK,3,0,0,0,1,0,4,75.00%,
0914.HK,5,0,0,0,6,0,11,45.45%,
0939.HK,3,0,0,0,2,0,5,60.00%,
0941.HK,4,0,0,0,2,0,6,66.67%,
