sno,TP12,TP1,TP2,TP1C,CL1,BY1,,,
0052.HK,0,0,0,0,1,0,1,,
0057.HK,0,0,0,1,0,0,1,,
0059.HK,0,0,0,0,0,1,1,,
0061.HK,0,0,1,0,0,0,1,,
0070.HK,0,1,0,0,0,0,1,,
0080.HK,0,0,1,1,0,0,2,,
0088.HK,1,0,0,0,0,0,1,,
0111.HK,0,0,0,0,0,1,1,,
0188.HK,0,1,0,0,0,0,1,,
0193.HK,0,1,0,0,0,0,1,,
0232.HK,1,0,0,0,0,0,1,,
0236.HK,0,0,0,0,1,0,1,,
0239.HK,0,0,0,0,0,1,1,,
0243.HK,0,1,0,0,0,0,1,,
0286.HK,0,0,0,0,0,1,1,,
0298.HK,0,0,0,0,1,0,1,,
0305.HK,0,0,1,0,0,0,1,,
0348.HK,1,0,0,0,0,0,1,,
0379.HK,0,0,0,0,0,1,1,,
0382.HK,0,0,0,0,2,0,2,,
0398.HK,0,0,0,0,1,0,1,,
0408.HK,0,0,0,0,1,0,1,,
0422.HK,0,0,0,0,1,0,1,,
0428.HK,0,0,0,0,1,0,1,,
0455.HK,0,0,0,1,0,0,1,,
0456.HK,0,1,0,0,0,0,1,,
0484.HK,0,1,0,0,0,0,1,,
0493.HK,0,0,0,0,1,0,1,,
0526.HK,0,0,1,0,0,0,1,,
0536.HK,1,0,0,0,0,0,1,,
0538.HK,0,0,0,0,1,0,1,,
0560.HK,0,1,0,0,0,0,1,,
0571.HK,1,0,0,0,0,0,1,,
0591.HK,1,0,0,0,0,0,1,,
0595.HK,0,0,0,0,1,0,1,,
0603.HK,1,0,0,0,0,0,1,,
0605.HK,0,0,0,0,0,1,1,,
0611.HK,1,0,0,0,0,0,1,,
0619.HK,0,0,0,0,1,0,1,,
0660.HK,0,0,1,0,0,0,1,,
0690.HK,0,0,0,0,1,0,1,,
0698.HK,0,0,0,0,1,0,1,,
0757.HK,0,0,0,0,1,0,1,,
0764.HK,0,1,0,0,0,0,1,,
0768.HK,1,0,0,0,0,0,1,,
0848.HK,0,0,0,0,1,0,1,,
0873.HK,0,0,0,1,0,0,1,,
0895.HK,1,0,0,0,0,0,1,,
0918.HK,0,0,0,1,1,0,2,,
0926.HK,0,0,0,1,0,0,1,,
0927.HK,0,0,0,0,1,0,1,,
0953.HK,0,0,1,0,0,0,1,,
0984.HK,0,0,1,0,0,0,1,,
0987.HK,0,0,0,0,1,0,1,,
1002.HK,0,0,0,0,1,0,1,,
1003.HK,0,0,0,0,1,0,1,,
1011.HK,0,0,0,0,0,1,1,,
1020.HK,0,0,1,0,0,0,1,,
1022.HK,0,0,0,0,1,0,1,,
1045.HK,0,0,0,0,1,0,1,,
1049.HK,0,1,0,0,0,0,1,,
1057.HK,0,1,0,0,0,0,1,,
1062.HK,0,1,0,0,0,0,1,,
1069.HK,0,0,0,0,1,0,1,,
1080.HK,1,0,0,0,0,0,1,,
1097.HK,1,0,0,0,0,0,1,,
1101.HK,0,0,0,0,1,0,1,,
1122.HK,0,0,0,0,1,0,1,,
1123.HK,0,0,0,0,1,0,1,,
1127.HK,1,0,0,0,0,0,1,,
1129.HK,0,0,0,0,1,0,1,,
1148.HK,1,0,0,0,0,0,1,,
1188.HK,0,0,0,0,1,0,1,,
1201.HK,1,0,0,0,1,0,2,,
1220.HK,1,0,0,0,0,0,1,,
1273.HK,1,0,0,0,0,0,1,,
1282.HK,1,0,0,0,0,0,1,,
1284.HK,0,1,0,0,0,0,1,,
1328.HK,0,0,0,0,1,0,1,,
1348.HK,1,0,0,0,0,0,1,,
1380.HK,0,1,0,0,0,0,1,,
1393.HK,1,0,0,0,1,0,2,,
1399.HK,0,0,0,1,0,0,1,,
1431.HK,1,0,0,0,0,0,1,,
1480.HK,0,0,0,1,0,0,1,,
1526.HK,0,0,0,0,1,0,1,,
1559.HK,0,0,0,1,0,0,1,,
1599.HK,0,0,0,0,1,0,1,,
1612.HK,0,0,1,0,0,0,1,,
1645.HK,0,0,0,1,0,0,1,,
1661.HK,0,0,0,0,1,0,1,,
1723.HK,1,0,0,0,0,0,1,,
1756.HK,0,0,1,0,0,0,1,,
1758.HK,0,0,0,0,0,1,1,,
1763.HK,1,0,0,0,0,0,1,,
1808.HK,0,0,0,1,0,0,1,,
1817.HK,0,0,0,0,1,0,1,,
1891.HK,0,0,0,0,0,1,1,,
1906.HK,1,0,0,0,0,0,1,,
1909.HK,0,0,0,1,0,0,1,,
1912.HK,0,0,1,0,0,0,1,,
1941.HK,0,0,0,0,1,0,1,,
1949.HK,1,0,0,0,0,0,1,,
1955.HK,0,0,0,0,1,0,1,,
1962.HK,0,1,0,0,0,0,1,,
1983.HK,0,0,0,0,0,1,1,,
1985.HK,1,0,0,0,1,0,2,,
2051.HK,0,0,0,0,1,0,1,,
2110.HK,0,0,0,0,1,0,1,,
2112.HK,0,0,1,0,0,0,1,,
2116.HK,1,0,0,0,0,0,1,,
2129.HK,0,0,0,0,1,0,1,,
2131.HK,1,0,0,0,0,0,1,,
2170.HK,1,0,0,0,0,0,1,,
2176.HK,1,0,0,0,0,0,1,,
2218.HK,0,0,0,0,1,0,1,,
2219.HK,0,0,0,0,1,0,1,,
2237.HK,1,0,0,0,0,0,1,,
2348.HK,0,1,0,0,0,0,1,,
2383.HK,0,0,1,0,0,0,1,,
2416.HK,1,0,0,0,0,0,1,,
2422.HK,1,0,0,0,0,0,1,,
2438.HK,0,0,0,0,1,0,1,,
2483.HK,1,0,0,0,0,0,1,,
2878.HK,1,0,0,0,0,0,1,,
2886.HK,0,0,0,1,0,0,1,,
3300.HK,0,0,0,0,1,0,1,,
3303.HK,1,0,0,0,0,0,1,,
3322.HK,1,0,0,0,0,0,1,,
3348.HK,0,0,0,0,1,0,1,,
3666.HK,0,0,0,0,1,0,1,,
3989.HK,0,1,0,0,0,0,1,,
6033.HK,0,0,1,0,0,0,1,,
6100.HK,1,0,0,0,0,0,1,,
6117.HK,1,0,0,0,0,0,1,,
6609.HK,1,0,0,0,0,0,1,,
6633.HK,0,0,1,0,0,0,1,,
6698.HK,0,0,0,0,1,0,1,,
6922.HK,0,0,0,0,1,0,1,,
6928.HK,0,0,1,0,0,0,1,,
6988.HK,0,0,0,0,0,1,1,,
8017.HK,0,0,0,0,1,0,1,,
8063.HK,0,0,0,0,1,0,1,,
8073.HK,0,0,0,0,0,1,1,,
8136.HK,0,1,0,0,0,0,1,,
8200.HK,0,0,0,0,1,0,1,,
8219.HK,1,0,0,0,0,0,1,,
8257.HK,0,0,0,0,0,1,1,,
8326.HK,0,0,0,0,1,0,1,,
8349.HK,0,0,1,0,0,0,1,,
8372.HK,0,0,0,1,0,0,1,,
8513.HK,0,0,0,1,0,0,1,,
8645.HK,1,0,0,0,0,0,1,,
,42,17,17,15,55,13,159,0.477987421,0.572327044
