sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,BY1
0013.HK,0,0,1,0,0,1,0,0
0017.HK,0,0,0,0,0,0,1,0
0029.HK,0,0,0,0,0,0,0,1
0034.HK,0,0,0,0,0,1,0,0
0041.HK,1,0,0,0,0,0,0,0
0045.HK,0,1,0,0,0,0,0,0
0062.HK,0,0,0,0,0,0,1,0
0069.HK,0,0,1,0,0,0,0,0
0071.HK,0,0,1,0,0,0,0,0
0081.HK,0,0,0,0,0,0,1,1
0086.HK,0,0,0,0,0,0,0,1
0107.HK,1,0,0,0,0,0,0,0
0113.HK,0,0,0,0,0,0,1,0
0116.HK,0,0,0,0,0,0,1,0
0119.HK,0,0,0,0,0,0,0,1
0123.HK,0,0,1,0,0,0,0,0
0127.HK,0,0,0,0,1,0,0,2
0133.HK,0,0,1,0,0,0,1,0
0142.HK,0,0,1,0,0,0,0,0
0147.HK,0,0,0,0,0,0,0,1
0148.HK,0,1,0,0,0,0,0,0
0152.HK,0,0,0,0,0,0,0,2
0165.HK,0,0,0,0,0,0,2,0
0173.HK,0,0,0,0,0,0,0,2
0177.HK,0,0,1,0,0,0,0,0
0189.HK,0,1,0,0,0,0,0,0
0218.HK,0,0,0,0,0,0,1,0
0222.HK,0,0,2,0,0,0,0,0
0230.HK,0,0,0,0,0,0,0,1
0242.HK,0,0,0,0,0,1,1,0
0258.HK,0,0,0,0,1,0,0,0
0272.HK,0,0,0,0,0,0,2,1
0323.HK,0,1,0,0,0,0,0,0
0327.HK,0,0,0,0,0,0,1,0
0331.HK,0,0,0,0,0,0,0,1
0336.HK,0,0,0,0,0,0,1,0
0340.HK,0,0,0,0,0,0,1,0
0341.HK,0,0,0,0,0,0,0,1
0347.HK,0,0,0,0,0,0,0,1
0357.HK,0,0,1,0,0,0,0,0
0370.HK,0,0,0,0,1,0,0,0
0371.HK,0,0,0,0,0,0,0,1
0390.HK,0,0,0,0,0,0,0,1
0412.HK,0,0,0,0,0,0,0,1
0460.HK,0,0,0,0,0,0,0,1
0489.HK,0,0,0,1,0,0,0,0
0506.HK,0,0,0,0,0,1,0,0
0512.HK,0,0,0,0,0,1,0,0
0525.HK,0,0,0,0,0,0,1,0
0552.HK,1,0,0,0,0,0,0,0
0558.HK,0,0,1,0,1,0,0,0
0576.HK,0,0,0,0,0,0,1,0
0581.HK,0,0,0,0,1,0,0,0
0639.HK,0,0,0,0,0,0,1,0
0658.HK,0,0,0,0,0,0,1,0
0667.HK,0,0,0,0,0,0,1,1
0670.HK,0,1,1,0,0,0,0,0
0694.HK,0,0,0,0,0,0,0,1
0737.HK,0,0,0,0,0,0,0,1
0746.HK,0,0,0,0,0,0,0,1
0763.HK,0,0,0,0,0,0,0,1
0775.HK,1,0,0,0,0,0,0,1
0777.HK,0,1,0,0,0,0,0,1
0806.HK,0,0,0,0,0,0,0,1
0807.HK,0,0,0,0,0,0,1,1
0826.HK,0,0,0,0,1,0,0,0
0830.HK,0,0,0,0,0,0,1,0
0839.HK,0,0,0,0,0,0,0,1
0855.HK,1,1,0,0,0,0,0,1
0856.HK,1,0,0,0,0,0,0,0
0866.HK,1,0,0,0,0,0,0,0
0874.HK,0,0,0,0,0,0,0,1
0880.HK,0,0,0,0,0,0,0,1
0881.HK,0,0,0,0,0,1,0,0
0909.HK,0,1,0,0,0,0,0,1
0916.HK,0,0,0,0,0,0,0,1
0933.HK,0,0,0,0,0,1,0,0
0934.HK,1,0,0,0,0,0,0,0
0956.HK,1,0,0,0,0,0,0,0
0991.HK,0,0,0,0,0,0,0,1
0995.HK,0,0,1,0,0,0,0,0
1033.HK,0,0,1,0,0,0,0,0
1052.HK,0,0,0,0,0,0,0,1
1060.HK,0,0,0,0,0,1,0,1
1072.HK,0,0,0,0,0,0,0,1
1083.HK,1,0,0,0,0,0,1,0
1099.HK,0,0,0,0,0,1,0,0
1114.HK,1,0,0,0,0,0,1,0
1117.HK,0,0,0,0,1,0,0,0
1157.HK,0,0,0,0,0,0,0,1
1196.HK,0,0,0,0,0,0,1,0
1205.HK,0,0,0,0,0,0,1,1
1216.HK,0,0,0,0,0,0,0,1
1234.HK,0,0,0,0,0,0,1,0
1263.HK,1,0,0,0,0,0,0,0
1286.HK,0,0,0,0,0,0,1,0
1302.HK,0,0,0,0,0,0,1,0
1313.HK,0,1,0,0,0,0,0,1
1316.HK,0,0,0,0,0,1,0,1
1330.HK,1,0,0,0,1,0,0,0
