sno,TP12,TP1,TP2,TP1C,CL1,BY1
0484.HK,0,1,0,0,1,0
0487.HK,0,0,0,1,1,0
0493.HK,1,0,0,0,0,0
0496.HK,0,0,1,1,2,0
0498.HK,0,0,0,0,1,0
0509.HK,1,0,0,0,0,0
0510.HK,1,0,0,0,0,0
0513.HK,0,0,0,0,0,1
0515.HK,0,0,0,0,1,0
0524.HK,1,0,0,0,2,0
0526.HK,1,0,0,0,0,0
0527.HK,0,0,0,1,0,0
0528.HK,1,0,0,0,3,0
0529.HK,1,0,0,0,1,0
0532.HK,1,0,0,0,0,0
0533.HK,0,0,0,0,1,0
0536.HK,1,0,0,0,1,0
0538.HK,1,0,0,1,0,0
0540.HK,0,0,1,0,0,0
0543.HK,0,1,0,0,1,0
0544.HK,0,0,0,1,0,0
0550.HK,0,0,0,0,1,0
0553.HK,0,0,0,0,1,0
0554.HK,3,0,0,0,0,0
0556.HK,1,0,0,0,2,0
0557.HK,0,0,0,1,0,0
0559.HK,0,0,0,1,0,0
0560.HK,2,1,0,0,0,0
0567.HK,2,0,0,1,0,0
0575.HK,0,0,1,0,0,0
0582.HK,2,1,0,0,1,1
0585.HK,2,0,0,0,0,0
0595.HK,1,0,0,0,2,0
0601.HK,0,0,1,1,0,0
0603.HK,0,0,0,0,2,0
0610.HK,0,0,0,0,1,0
0611.HK,2,0,0,0,0,0
0618.HK,1,0,0,0,1,0
0620.HK,0,0,0,0,2,0
0621.HK,0,0,0,0,1,0
0623.HK,0,0,0,0,1,0
0626.HK,1,0,0,1,3,0
0628.HK,0,0,0,2,0,0
0630.HK,0,0,0,1,1,0
0632.HK,1,0,0,0,0,0
0637.HK,0,0,0,0,2,0
0643.HK,0,0,0,1,1,0
0646.HK,3,0,0,0,0,0
0648.HK,1,0,0,0,0,0
0650.HK,0,0,0,0,2,0
0657.HK,1,0,0,0,0,0
0660.HK,0,0,1,0,0,0
0661.HK,0,0,0,0,1,0
0675.HK,1,0,0,0,0,0
0679.HK,1,0,0,0,1,0
0681.HK,0,0,0,1,0,0
0682.HK,1,0,0,0,0,0
0684.HK,1,0,1,0,1,0
0685.HK,0,0,1,0,0,0
0687.HK,1,0,0,0,1,0
