Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,BOSSB,BOSSTP1,BOSSTP2,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,BOSS2,T1_150,BOSS_STATUS,buy_price,tp1_price,tp2_price,SNO
2025-10-10,1033.HK,0.7900000214576721,0.800000011920929,0.7699999809265137,0.7900000214576721,0.7900000214576721,40707000,0.0,0.0,0.7768569869714456,0.7791783674707512,0.7778359681196805,0.7552091069141103,0.695937865796346,False,False,LH,LHLLHH,0.7200000286102295,2025-10-17,0.8399999737739563,2025-10-21,0.9200000166893004,0.75,False,False,False,False,False,True,1.0,2,0,2.0,0.0,False,False,,,,,1033.HK
2025-09-18,1066.HK,5.920000076293945,6.059999942779541,5.849999904632568,5.980000019073486,5.867303848266602,27817814,0.0,0.0,5.778107152887225,5.933768799137603,6.087571015638386,5.95477996482988,5.580191376825828,False,False,LH,LHLLHH,5.519999980926514,2025-09-26,6.28000020980835,2025-10-08,6.300000190734863,5.53000020980835,False,False,False,False,False,True,0.83,5,3,2.0,0.0,True,False,SB1-2025/09/18,5.91,6.300000190734863,6.690000381469726,1066.HK
2025-09-11,0107.HK,4.579999923706055,4.639999866485596,4.519999980926514,4.610000133514404,4.610000133514404,3092000,0.0,0.0,4.632018279615302,4.709044790550669,4.73699344433313,4.542685841658602,3.9253070105842,False,False,LH,LHLLHH,4.389999866485596,2025-09-22,5.039999961853027,2025-10-20,5.119999885559082,4.409999847412109,False,False,False,False,False,True,0.89,16,7,4.0,5.0,True,False,SB1-2025/09/11,4.75,5.119999885559082,5.489999771118164,107.HK
2025-09-12,1072.HK,17.190000534057617,17.399999618530273,17.110000610351562,17.280000686645508,17.280000686645508,8049928,0.0,0.0,17.087058835787154,17.28994924703607,16.79202306239916,15.232034558638214,12.66959835510297,False,False,LH,LHLLHH,15.65999984741211,2025-09-23,19.34000015258789,2025-10-09,19.57999992370605,16.15999984741211,False,False,False,False,False,True,0.8,8,3,3.0,2.0,True,False,SB1-2025/09/12,17.62,19.57999992370605,21.5399998474121,1072.HK
2025-10-15,1072.HK,17.889999389648438,18.07999992370605,17.3799991607666,18.0,18.0,11969400,0.0,0.0,17.946568084263948,17.5464876688804,17.11738735698389,15.932549406744256,13.373597311617017,True,True,,,0.0,,0.0,,0.0,0.0,True,False,False,False,False,False,0.0,0,0,,,False,False,BY1-2025/09/12,,,,1072.HK
2025-08-19,1121.HK,1.4800000190734863,1.5199999809265137,1.4199999570846558,1.440000057220459,1.440000057220459,308000,0.0,0.0,1.4454060401633504,1.46719506566513,1.5179798500498751,1.6462565707424583,2.269858837384162,False,False,LH,LHLLHH,1.2999999523162842,2025-08-21,1.8899999856948853,2025-09-04,2.240000009536743,1.3700000047683716,False,False,False,False,False,True,0.7,7,5,2.0,0.0,True,False,SB1-2025/08/19,1.77,2.240000009536743,2.7100000190734863,1121.HK
2025-09-05,1121.HK,1.8799999952316284,1.8799999952316284,1.649999976158142,1.75,1.75,1966000,0.0,0.0,1.796067797959957,1.670802402818526,1.601065666602415,1.6601627860424193,2.2133034809363594,False,True,HL,HLLLLL,1.3600000143051147,2025-09-25,1.3300000429153442,2025-10-17,1.309999942779541,1.3700000047683716,True,False,False,False,False,False,0.0,0,0,,,False,False,BY1-2025/08/19,,,,1121.HK
2025-10-24,1121.HK,1.309999942779541,1.350000023841858,1.2599999904632568,1.2899999618530271,1.2899999618530271,1234000,0.0,0.0,1.356981765205056,1.413942273671088,1.4824236353908755,1.5627012521763373,2.041065388852939,False,False,,,0.0,,0.0,,0.0,0.0,False,False,False,True,False,False,0.0,0,0,,,False,False,CL1-2025/08/19,,,,1121.HK
2025-09-19,1302.HK,1.919999957084656,1.919999957084656,1.830000042915344,1.870000004768372,1.870000004768372,26742000,0.0,0.0,1.8891535530090529,1.936048287454771,1.941302076275602,1.8626922118825675,1.759205577825184,False,False,LH,LHLLHH,1.7400000095367432,2025-09-29,2.309999942779541,2025-10-08,2.440000057220459,1.75,False,False,False,False,False,True,1.0,5,3,2.0,0.0,True,False,SB1-2025/09/19,2.09,2.440000057220459,2.790000114440918,1302.HK
2025-10-10,1302.HK,2.140000104904175,2.190000057220459,2.069999933242798,2.150000095367432,2.150000095367432,46378000,0.0,0.0,2.041277009255076,1.9791118267584185,1.953010562125129,1.884796316201076,1.7783225300018022,True,True,,,0.0,,0.0,,0.0,0.0,True,False,False,False,False,False,0.0,0,0,,,False,False,BY1-2025/09/19,,,,1302.HK
2025-09-30,1313.HK,1.7899999618530271,1.830000042915344,1.7899999618530271,1.809999942779541,1.809999942779541,7946355,0.0,0.0,1.807982086534765,1.8258288415465325,1.8355931661586908,1.80419948880548,1.7629042198082217,False,False,LH,LHLLHH,1.7300000190734863,2025-10-08,1.8600000143051147,2025-10-10,1.8899999856948853,1.7599999904632568,False,False,False,False,False,True,1.0,2,1,0.0,1.0,False,False,,,,,1313.HK
