sno,TP12,TP1,TP2,TP1C,CL1,BY1,,,
0232.HK,2,0,0,2,5,0,9,22.22%,
0234.HK,2,1,0,1,1,0,5,60.00%,
0235.HK,1,1,0,1,2,2,7,28.57%,
0236.HK,0,1,0,1,1,1,4,25.00%,
0237.HK,0,0,0,0,0,1,1,0.00%,
0239.HK,2,0,0,0,0,0,2,100.00%,
0240.HK,0,1,0,0,2,1,4,25.00%,
0243.HK,2,1,0,2,2,0,7,42.86%,
0244.HK,1,0,1,0,1,2,5,40.00%,
0248.HK,0,0,2,0,0,1,3,66.67%,
0251.HK,4,0,0,0,0,0,4,100.00%,
0252.HK,0,0,0,0,0,1,1,0.00%,
0253.HK,0,0,0,0,1,0,1,0.00%,
0254.HK,1,1,0,1,0,0,3,66.67%,
0255.HK,0,0,1,1,3,1,6,16.67%,
0256.HK,0,0,0,0,4,2,6,0.00%,
0261.HK,0,1,0,0,0,0,1,100.00%,
0262.HK,1,0,0,0,3,0,4,25.00%,
0264.HK,0,0,2,0,3,0,5,40.00%,
0265.HK,2,0,0,0,2,1,5,40.00%,
0266.HK,1,0,0,0,0,0,1,100.00%,
0269.HK,1,1,0,0,3,2,7,28.57%,
0271.HK,1,0,0,0,2,0,3,33.33%,
0274.HK,1,0,1,0,0,0,2,100.00%,
0276.HK,1,0,0,0,3,0,4,25.00%,
0279.HK,0,0,1,0,3,0,4,25.00%,
0280.HK,1,2,1,3,1,1,9,44.44%,
0286.HK,2,0,0,0,3,1,6,33.33%,
0287.HK,0,1,0,0,0,0,1,100.00%,
0294.HK,2,0,0,0,0,1,3,66.67%,
0295.HK,2,0,1,1,1,0,5,60.00%,
0296.HK,0,0,0,0,1,0,1,0.00%,
0298.HK,1,0,0,0,3,0,4,25.00%,
0299.HK,0,1,0,0,3,0,4,25.00%,
0301.HK,0,0,0,0,1,0,1,0.00%,
0302.HK,0,0,0,0,1,0,1,0.00%,
0305.HK,1,1,0,0,1,1,4,50.00%,
0306.HK,0,0,0,1,1,0,2,0.00%,
0309.HK,2,1,0,0,2,2,7,42.86%,
0310.HK,0,0,0,0,3,0,3,0.00%,
0311.HK,1,1,1,0,1,0,4,75.00%,
0312.HK,1,0,0,0,1,1,3,33.33%,
0318.HK,0,2,1,0,3,1,7,42.86%,
0321.HK,2,1,0,0,2,1,6,50.00%,
0328.HK,1,1,0,1,0,0,3,66.67%,
0329.HK,0,0,0,1,4,0,5,0.00%,
0330.HK,2,0,0,1,2,0,5,40.00%,
0332.HK,6,0,0,0,2,0,8,75.00%,
0333.HK,1,0,0,1,1,0,3,33.33%,
0334.HK,0,0,0,1,2,1,4,0.00%,
0335.HK,1,0,0,0,1,1,3,33.33%,
0339.HK,0,0,0,0,0,1,1,0.00%,
0343.HK,0,1,0,0,4,3,8,12.50%,
0346.HK,2,0,0,0,1,1,4,50.00%,
0348.HK,0,0,0,0,1,0,1,0.00%,
0351.HK,0,1,1,0,2,0,4,50.00%,
0352.HK,0,0,2,0,1,0,3,66.67%,
0353.HK,1,0,0,0,1,2,4,25.00%,
0355.HK,1,0,0,0,3,2,6,16.67%,
0356.HK,0,0,0,1,0,0,1,0.00%,
0360.HK,0,0,0,0,1,1,2,0.00%,
0361.HK,0,0,0,0,6,2,8,0.00%,
0362.HK,1,0,0,1,3,1,6,16.67%,
0365.HK,1,0,0,0,2,1,4,25.00%,
0366.HK,1,1,1,1,2,0,6,50.00%,
0367.HK,1,0,0,2,1,0,4,25.00%,
0368.HK,0,0,0,1,0,0,1,0.00%,
0372.HK,2,1,0,0,0,1,4,75.00%,
0375.HK,0,0,0,1,0,2,3,0.00%,
0377.HK,0,0,1,0,3,2,6,16.67%,
0379.HK,1,0,0,0,4,2,7,14.29%,
0380.HK,0,0,1,0,0,0,1,100.00%,
0381.HK,0,1,0,1,1,0,3,33.33%,
0382.HK,0,0,0,0,1,0,1,0.00%,
0383.HK,0,0,1,0,2,1,4,25.00%,
0387.HK,0,1,0,0,0,1,2,50.00%,
0389.HK,0,0,0,0,4,1,5,0.00%,
0391.HK,1,0,0,1,1,0,3,33.33%,
0396.HK,1,0,0,0,1,0,2,50.00%,
0397.HK,0,0,0,2,0,1,3,0.00%,
0398.HK,0,0,0,3,2,0,5,0.00%,
0399.HK,0,0,1,1,2,0,4,25.00%,
0401.HK,0,0,0,0,2,1,3,0.00%,
0403.HK,0,0,0,0,2,0,2,0.00%,
0406.HK,0,0,0,0,3,0,3,0.00%,
0408.HK,2,0,1,0,3,1,7,42.86%,
0413.HK,1,1,0,0,1,0,3,66.67%,
0417.HK,0,0,1,0,2,0,3,33.33%,
0418.HK,1,1,0,1,4,0,7,28.57%,
0419.HK,1,2,1,1,1,2,8,50.00%,
0420.HK,0,0,0,1,3,0,4,0.00%,
0422.HK,0,1,1,0,1,1,4,50.00%,
0423.HK,1,0,0,0,0,0,1,100.00%,
0426.HK,0,0,0,0,3,0,3,0.00%,
0428.HK,0,0,1,0,2,1,4,25.00%,
0430.HK,1,2,0,1,2,1,7,42.86%,
0432.HK,0,0,0,1,1,1,3,0.00%,
0433.HK,0,1,0,2,3,1,7,14.29%,
0436.HK,0,0,0,0,1,0,1,0.00%,
0438.HK,0,1,0,0,1,0,2,50.00%,
0439.HK,1,0,0,0,1,0,2,50.00%,
0442.HK,0,0,0,0,1,1,2,0.00%,
0444.HK,5,0,0,1,2,0,8,62.50%,
0450.HK,1,0,0,0,2,0,3,33.33%,
0451.HK,1,0,0,0,2,4,7,14.29%,
0455.HK,0,0,0,0,4,1,5,0.00%,
0456.HK,0,0,0,0,1,0,1,0.00%,
0458.HK,1,0,0,0,0,0,1,100.00%,
0464.HK,0,0,0,1,0,1,2,0.00%,
0465.HK,1,0,0,0,0,0,1,100.00%,
0471.HK,1,0,0,2,5,2,10,10.00%,
0472.HK,1,0,0,0,2,1,4,25.00%,
0474.HK,3,1,0,0,6,0,10,40.00%,
0475.HK,2,0,0,1,0,2,5,40.00%,
0476.HK,1,0,0,1,2,3,7,14.29%,
0482.HK,0,0,0,0,2,0,2,0.00%,
0483.HK,2,0,0,0,5,0,7,28.57%,
0484.HK,0,0,1,0,1,2,4,25.00%,
0487.HK,0,0,2,0,4,2,8,25.00%,
0488.HK,1,0,0,0,3,0,4,25.00%,
0491.HK,0,0,0,1,4,0,5,0.00%,
0493.HK,1,0,1,1,1,0,4,50.00%,
0495.HK,0,0,0,0,1,0,1,0.00%,
0496.HK,0,1,0,2,6,0,9,11.11%,
0498.HK,1,1,0,0,3,0,5,40.00%,
