Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,T1_50,Capital Gains,SNO
2025-07-17,9930.HK,1.2699999809265137,1.2699999809265137,1.2100000381469729,1.2400000095367432,1.2400000095367432,4871431,0.0,0.0,1.220246018752618,1.1982714405579746,1.1787592919979517,1.1894078139026307,1.3853555371224349,False,True,,,0.0,,0.0,,0.0,0.0,BY1-2025/06/25,True,False,False,False,False,False,0.0,False,,9930.HK
2025-07-21,9930.HK,1.0800000429153442,1.1299999952316284,1.0199999809265137,1.1200000047683716,1.1200000047683716,11218104,0.0,0.0,1.2049580809547735,1.1947782720339415,1.1787624227251277,1.1890153893648825,1.3820921678111635,False,True,LL,LL-HHH,1.3300000429153442,2025-08-06,1.2999999523162842,2025-08-15,1.3899999856948853,1.0199999809265137,CL1-2025/06/25,False,False,False,True,False,False,0.0,False,,9930.HK
2024-11-22,9879.HK,6.199999809265137,6.199999809265137,5.820000171661377,5.96999979019165,5.889217853546143,460000,0.0,0.0,6.108582219990195,6.2546548065511605,6.6291623541668,6.678251192441997,5.982240325097852,False,False,,,0.0,,0.0,,0.0,0.0,BY1-2024/11/11,True,False,False,False,False,False,0.0,False,,9879.HK
2024-11-29,9879.HK,6.300000190734863,6.75,6.260000228881836,6.539999961853027,6.451505184173584,505000,0.0,0.0,6.225052205819981,6.264751069617787,6.565425276082905,6.639947925414297,5.993706620430102,False,False,-H,-HHHHH,6.900000095367432,2024-12-12,7.150000095367432,2024-12-18,7.199999809265137,5.820000171661377,TP1-2024/11/11,False,True,False,False,False,False,0.0,False,,9879.HK
2025-02-04,9879.HK,6.0,6.150000095367432,5.150000095367432,5.190000057220459,5.119772434234619,492000,0.0,0.0,6.017743620808675,6.212612723698073,6.364706735661947,6.480835387851048,6.0890951624594285,False,False,,,0.0,,0.0,,0.0,0.0,CL2-2024/11/11,False,False,False,False,True,False,0.0,False,,9879.HK
2023-04-24,9858.HK,2.0799999237060547,2.0799999237060547,2.009999990463257,2.009999990463257,1.983426094055176,1237000,0.0,0.0,2.068538159149723,2.0396715772862954,2.018300023164928,2.0543624157716165,2.4931357989628697,False,True,,,0.0,,0.0,,0.0,0.0,BY1-2023/03/24,True,False,False,False,False,False,0.0,False,,9858.HK
2023-05-25,9858.HK,1.8600000143051147,1.870000004768372,1.820000052452088,1.840000033378601,1.840000033378601,1905000,0.0,0.0,1.8842912051020453,1.9246253791852368,1.9627224701571495,2.0102575024304428,2.403030048436308,False,False,LL,LLLLLH,1.75,2023-05-31,1.850000023841858,2023-06-08,1.8600000143051147,1.7999999523162842,CL1-2023/03/24,False,False,False,True,False,False,0.0,False,,9858.HK
2023-10-19,9858.HK,1.4700000286102295,1.4700000286102295,1.440000057220459,1.440000057220459,1.440000057220459,1179000,0.0,0.0,1.4636547083911526,1.4682366548235517,1.5136625976893676,1.6151818075889142,1.959786766104193,False,False,,,0.0,,0.0,,0.0,0.0,BY1-2023/09/29,True,False,False,False,False,False,0.0,False,,9858.HK
2023-11-02,9858.HK,1.5199999809265137,1.559999942779541,1.4900000095367432,1.5199999809265137,1.5199999809265137,2957000,0.0,0.0,1.47964044066078,1.4728267020465806,1.501502228827119,1.5916397009706498,1.925870913809281,False,False,,,0.0,,0.0,,0.0,0.0,TP1-2023/09/29,False,True,False,False,False,False,0.0,False,,9858.HK
2023-11-06,9858.HK,1.5399999618530271,1.600000023841858,1.5399999618530271,1.590000033378601,1.590000033378601,1723000,0.0,0.0,1.5086849234810484,1.488348914056304,1.5064232414764045,1.5906049121069223,1.9201444822280305,False,False,HH,HHHLLL,1.4900000095367432,2023-11-15,1.5099999904632568,2023-11-20,1.4800000190734863,1.4199999570846558,TP2-2023/09/29,False,False,True,False,False,False,0.0,False,,9858.HK
2025-04-11,9676.HK,7.699999809265137,7.880000114440918,7.010000228881836,7.119999885559082,6.93055534362793,53684700,0.0,0.0,6.737097759020003,6.340557980430625,6.186719479010791,7.244535252402673,11.386764214183364,False,True,,,0.0,,0.0,,0.0,0.0,BY1-2025/03/24,True,False,False,False,False,False,0.0,False,,9676.HK
2010-06-24,8299.HK,0.9214460253715516,0.9214460253715516,0.8893030285835266,0.9000170230865479,0.9000170230865479,1482104,0.0,0.0,0.9252539219533062,0.9388021829104728,0.9775330580380548,1.0480081849555958,1.5464804770285014,False,False,,,0.0,,0.0,,0.0,0.0,BY1-2010/06/03,True,False,False,False,False,False,0.0,False,,8299.HK
2010-07-19,8299.HK,0.8464450240135193,0.8464450240135193,0.8143010139465332,0.8250160217285156,0.8250160217285156,6446593,0.0,0.0,0.8788380097034093,0.8974634381867456,0.9351974285797588,1.0044703625135458,1.4675590415611532,False,False,LL,LLLHHH,0.9000170230865479,2010-08-03,0.9428750276565552,2010-08-10,0.9964479804039,0.8143010139465332,CL1-2010/06/03,False,False,False,True,False,False,0.0,False,,8299.HK
2024-02-22,8299.HK,0.1509999930858612,0.1519999951124191,0.1480000019073486,0.1480000019073486,0.1480000019073486,15673867,0.0,0.0,0.1479237091833085,0.146887128337055,0.1487350617988279,0.14707247366886,0.1470448201324083,False,False,,,0.0,,0.0,,0.0,0.0,BY1-2024/02/05,True,False,False,False,False,False,0.0,False,,8299.HK
