sno,TP12,TP1,TP2,TP1C,CL1,BY1,,,
0010.HK,2,2,0,0,4,0,8,50.00%,
0013.HK,1,2,0,1,3,0,7,42.86%,
0014.HK,3,0,0,0,0,1,4,75.00%,
0017.HK,0,0,0,0,2,3,5,0.00%,
0026.HK,1,0,0,0,0,0,1,100.00%,
0028.HK,1,0,1,0,0,1,3,66.67%,
0029.HK,0,0,0,1,1,1,3,0.00%,
0032.HK,0,3,0,0,2,0,5,60.00%,
0034.HK,3,0,0,0,2,0,5,60.00%,
0035.HK,1,0,0,0,2,0,3,33.33%,
0038.HK,1,1,0,2,3,1,8,25.00%,
0041.HK,5,0,1,0,5,2,13,46.15%,
0045.HK,2,1,0,0,6,0,9,33.33%,
0051.HK,1,2,0,0,3,0,6,50.00%,
0053.HK,2,0,0,0,2,1,5,40.00%,
0062.HK,1,1,0,0,4,1,7,28.57%,
0069.HK,1,0,0,1,5,0,7,14.29%,
0071.HK,2,0,0,0,2,2,6,33.33%,
0081.HK,1,0,0,0,1,1,3,33.33%,
0085.HK,3,2,1,1,3,0,10,60.00%,
0086.HK,0,0,0,0,2,1,3,0.00%,
0098.HK,0,0,1,1,4,1,7,14.29%,
0103.HK,2,0,0,1,1,1,5,40.00%,
0107.HK,2,0,0,0,2,1,5,40.00%,
0108.HK,1,1,0,1,3,0,6,33.33%,
0113.HK,0,1,1,1,2,0,5,40.00%,
0116.HK,3,0,0,1,5,0,9,33.33%,
0119.HK,4,1,0,1,2,0,8,62.50%,
0123.HK,4,1,0,1,3,0,9,55.56%,
0127.HK,2,0,1,0,3,1,7,42.86%,
0133.HK,2,0,0,0,2,0,4,50.00%,
0142.HK,5,1,0,1,2,1,10,60.00%,
0147.HK,1,1,0,0,0,0,2,100.00%,
0152.HK,3,1,0,0,1,2,7,57.14%,
0165.HK,0,0,0,1,7,1,9,0.00%,
0169.HK,2,0,0,3,0,0,5,40.00%,
0173.HK,0,1,1,1,4,0,7,28.57%,
0177.HK,4,0,0,0,1,0,5,80.00%,
0182.HK,2,0,0,1,1,0,4,50.00%,
0189.HK,2,0,0,0,1,1,4,50.00%,
0200.HK,1,1,0,0,2,2,6,33.33%,
0207.HK,1,0,0,0,4,0,5,20.00%,
0215.HK,1,0,1,0,2,0,4,50.00%,
0218.HK,2,0,0,0,4,1,7,28.57%,
0230.HK,0,0,0,0,2,0,2,0.00%,
0242.HK,3,0,0,3,4,0,10,30.00%,
0245.HK,2,0,0,1,3,1,7,28.57%,
0257.HK,0,0,1,1,2,1,5,20.00%,
0258.HK,1,0,1,1,3,0,6,33.33%,
0259.HK,1,0,1,0,0,0,2,100.00%,
0272.HK,1,1,0,0,1,1,4,50.00%,
0289.HK,1,0,0,0,2,0,3,33.33%,
0290.HK,1,1,1,0,0,0,3,100.00%,
0297.HK,0,0,0,1,3,0,4,0.00%,
0303.HK,1,0,1,0,3,0,5,40.00%,
0308.HK,1,0,0,0,3,0,4,25.00%,
0315.HK,0,1,0,0,1,1,3,33.33%,
0317.HK,1,2,0,0,2,0,5,60.00%,
0323.HK,5,2,0,0,1,2,10,70.00%,
0326.HK,0,0,0,1,4,0,5,0.00%,
0327.HK,2,0,2,2,2,0,8,50.00%,
0331.HK,0,0,0,0,1,2,3,0.00%,
0336.HK,0,0,1,0,4,0,5,20.00%,
