index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,VOLATILITY,22DLow,33DLow,BOSS_STATUS,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,BOSS2,buy_price,tp1_price,tp2_price,tp3_price,SNO
2025-12-01,0017.HK,6.960000038146973,6.980000019073486,6.789999961853027,6.829999923706055,6.829999923706055,6799153.0,0.0,0.0,7.097694889017286,7.273480034218154,7.351824012720529,7.056767703275209,6.8958177212601015,False,False,False,False,0.1900000572204589,0.2262499928474426,0.3393749892711639,,,0.0,,0.0,,0.0,0.0,0.0,0.0,CL1-2025/10/27,False,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,,,False,,,,,17.HK
2025-11-28,1866.HK,8.029999732971191,8.399999618530273,8.0,8.359999656677246,8.359999656677246,4602000.0,0.0,0.0,7.759712460132636,7.61495190823251,7.463868622517747,7.027539933893506,5.928724043887608,True,True,True,False,0.3999996185302734,0.208571399961199,0.3128570999417986,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP1-2025/09/22,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0,,,False,,,,,1866.HK
2025-12-01,1866.HK,8.359999656677246,8.859999656677246,8.260000228881836,8.75,8.75,7260000.0,0.0,0.0,7.93976474010852,7.713651742299249,7.514305147124895,7.061648054014426,5.951204330390496,True,True,True,False,0.5999994277954102,0.2393332799275716,0.3589999198913574,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP2-2025/09/22,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,,,False,,,,,1866.HK
2025-12-03,1866.HK,9.399999618530272,9.5,9.270000457763672,9.3100004196167,9.3100004196167,2878000.0,0.0,0.0,8.406123523255392,7.986352403846141,7.655773419324777,7.151556963692477,6.005229118731716,True,True,True,False,0.2299995422363281,0.2687498927116394,0.4031248390674591,HH,HHHLLH,8.229999542236328,2025-12-10,8.449999809265137,2025-12-12,8.699999809265137,0.06,7.170000076293945,7.170000076293945,TP3-2025/09/22,True,True,True,False,False,False,True,False,False,False,False,0.0,0.0,0.0,,,False,,,,,1866.HK
2025-11-18,1958.HK,1.9600000381469729,1.9700000286102293,1.9299999475479128,1.9299999475479128,1.9299999475479128,17097000.0,0.0,0.0,1.979027872273306,2.0045340447839224,2.0430802787620603,2.069250260401695,2.1053918782711865,False,False,False,False,0.0400000810623164,0.0306666533152262,0.0459999799728393,,,0.0,,0.0,,0.0,0.0,0.0,0.0,CL1-2025/08/29,False,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,,,False,,,,,1958.HK
2025-11-03,2105.HK,12.039999961853027,12.75,11.550000190734863,12.449999809265137,12.449999809265137,2019500.0,0.0,0.0,12.591628294154436,13.511444064204612,14.723834158797557,15.377115861667672,14.230577958204972,False,False,False,False,1.1999998092651367,0.9094116547528434,1.364117482129265,LH,LHLLHH,10.300000190734863,2025-11-11,15.4399995803833,2025-11-19,16.170000076293945,0.57,10.329999923706056,10.329999923706056,SB1-2025/11/03,False,False,False,False,False,False,False,False,False,False,True,0.83,5.0,2.0,3.0,0.0,True,13.24,16.170000076293945,19.10000015258789,22.03000022888184,2105.HK
2025-11-03,2142.HK,13.65999984741211,13.970000267028809,13.15999984741211,13.68000030517578,13.68000030517578,3464000.0,0.0,0.0,13.292591351546374,13.615700023500075,13.504544961437734,12.190835214554635,8.88593166973193,False,False,False,False,0.8100004196166992,0.8406665802001949,1.2609998703002925,LH,LHLLHH,11.960000038146973,2025-11-07,14.029999732971191,2025-11-14,14.5,0.21,12.079999923706056,12.079999923706056,SB1-2025/11/03,False,False,False,False,False,False,False,False,False,False,True,0.8,4.0,1.0,2.0,1.0,True,13.23,14.5,15.77,17.04,2142.HK
2025-10-28,2190.HK,24.280000686645508,24.520000457763672,23.68000030517578,24.18000030517578,24.18000030517578,626784.0,0.0,0.0,24.058992366254124,24.21489558146781,23.94158397282605,22.581822509652312,18.91401379554172,False,False,False,False,0.8400001525878906,0.886315897891396,1.329473846837094,LH,LHLLHH,22.739999771118164,2025-11-04,26.68000030517578,2025-11-18,28.0,0.23,23.07999992370605,23.07999992370605,SB1-2025/10/28,True,True,True,False,False,False,False,False,False,False,True,0.8,8.0,2.0,4.0,2.0,True,25.37,28.0,30.63,33.26,2190.HK
2025-11-21,2190.HK,25.86000061035156,25.86000061035156,23.63999938964844,23.700000762939453,23.700000762939453,886726.0,0.0,0.0,25.2976664102462,24.8973919303506,24.41128183391894,23.22462585954453,19.657616723929998,True,True,True,False,2.220001220703118,0.8853332519531262,1.327999877929689,HL,HLLHLL,25.799999237060547,2025-11-26,22.5,2025-12-18,21.540000915527344,-0.17,22.739999771118164,22.739999771118164,BY1-2025/10/28,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,,,False,,,,,2190.HK
2025-12-10,2190.HK,22.979999542236328,23.0,22.36000061035156,22.440000534057617,22.440000534057617,227071.0,0.0,0.0,23.46105374386153,24.00977189559153,24.15407531662339,23.36571332611008,20.07459936509257,False,False,False,False,0.639999389648441,0.9066668192545568,1.3600002288818351,,,0.0,,0.0,,0.0,0.0,0.0,0.0,CL1-2025/10/28,False,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,,,False,,,,,2190.HK
2025-10-28,2198.HK,2.5,2.680000066757202,2.470000028610229,2.5299999713897705,2.5299999713897705,5949000.0,0.0,0.0,2.50625749493745,2.514952285768773,2.350353866174157,2.1511813624229377,1.9172552396530975,False,False,False,False,0.2100000381469731,0.1644444730546739,0.2466667095820109,LH,LHLLHH,2.289999961853028,2025-11-05,2.970000028610229,2025-11-13,3.049999952316284,0.33,2.309999942779541,2.309999942779541,SB1-2025/10/28,True,True,True,False,False,False,False,False,False,False,True,0.67,4.0,3.0,0.0,1.0,True,2.67,3.049999952316284,3.4299999046325684,3.8099998569488527,2198.HK
