Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,LLLow,HHClose,HHHigh,22DLow,33DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,T1_100,SNO
2025-11-19,1368.HK,5.809999942779541,5.860000133514404,5.650000095367432,5.690000057220459,5.690000057220459,9477500,0.0,0.0,5.798343495681944,5.783375727359106,5.8352236179411525,5.823876538131853,5.642433128240131,False,True,0.0,0.0,0.0,0.0,0.0,BY1-2025/11/03,True,False,False,False,False,False,False,0.0,0,0,False,False,1368.HK
2025-11-14,1448.HK,2.930000066757202,2.9600000381469727,2.890000104904175,2.900000095367432,2.900000095367432,5360000,0.0,0.0,2.948306474793446,2.955494314491598,3.0252507005084315,3.198416541362627,3.606857638699658,False,False,0.0,0.0,0.0,0.0,0.0,BY1-2025/10/06,True,False,False,False,False,False,False,0.0,0,0,False,False,1448.HK
2025-11-19,0017.HK,7.5,7.5,7.25,7.309999942779541,7.309999942779541,6794176,0.0,0.0,7.491837579198151,7.525255223451537,7.462663421514057,7.0551412729283065,6.808624594834924,False,False,0.0,0.0,0.0,0.0,0.0,BY1-2025/10/30,True,False,False,False,False,False,False,0.0,0,0,False,False,17.HK
2025-11-19,1995.HK,1.830000042915344,1.850000023841858,1.7899999618530271,1.809999942779541,1.809999942779541,4679000,0.0,0.0,1.8344575516781232,1.824027279596,1.850027251653827,1.900224025766274,1.9099693812089824,False,True,0.0,0.0,0.0,0.0,0.0,BY1-2025/10/17,True,False,False,False,False,False,False,0.0,0,0,False,False,1995.HK
2025-11-18,0347.HK,2.2300000190734863,2.2300000190734863,2.0899999141693115,2.119999885559082,2.119999885559082,20259200,0.0,0.0,2.1957896684929525,2.1898038324105698,2.182128389948822,2.1090694008275954,1.892153935432465,True,True,0.0,0.0,0.0,0.0,0.0,BY1-2025/10/28,True,False,False,False,False,False,False,0.0,0,0,False,False,347.HK
2025-11-18,3600.HK,5.289999961853027,5.289999961853027,5.050000190734863,5.090000152587891,5.090000152587891,810000,0.0,0.0,5.252814042599729,5.296126672285745,5.256155203824839,5.037484550197973,4.6255216441280655,False,False,0.0,0.0,0.0,0.0,0.0,CL1-2025/09/25,False,False,False,False,True,False,False,0.0,0,0,False,False,3600.HK
2025-11-19,3613.HK,9.020000457763672,9.0600004196167,8.960000038146973,9.0,9.0,567000,0.0,0.0,9.091244480647388,8.9943235580957,8.966308025103151,8.941795744026722,8.92130943815022,True,True,0.0,0.0,0.0,0.0,0.0,BY1-2025/10/10,True,False,False,False,False,False,False,0.0,0,0,False,False,3613.HK
2025-11-18,3969.HK,3.539999961853028,3.549999952316284,3.490000009536743,3.490000009536743,3.490000009536743,7304000,0.0,0.0,3.564628049179146,3.5477644328423086,3.518481057087086,3.4685592381256938,3.346899758234064,True,True,0.0,0.0,0.0,0.0,0.0,BY1-2025/10/24,True,False,False,False,False,False,False,0.0,0,0,False,False,3969.HK
2025-11-19,6669.HK,12.399999618530272,12.850000381469728,12.34000015258789,12.56999969482422,12.56999969482422,298189,0.0,0.0,12.76144827936466,12.606286915563883,12.521554593631588,11.872362585248004,10.28151548548954,True,True,0.0,0.0,0.0,0.0,0.0,BY1-2025/10/30,True,False,False,False,False,False,False,0.0,0,0,False,False,6669.HK
2025-11-18,0697.HK,2.259999990463257,2.289999961853028,2.1600000858306885,2.180000066757202,2.180000066757202,69556000,0.0,0.0,2.1794384754395533,2.1958361444531533,2.195249717394953,2.084106359923864,1.804864608202601,False,False,0.0,0.0,0.0,0.0,0.0,TP1-2025/10/27,True,True,False,False,False,False,False,0.0,0,0,False,False,697.HK
2025-11-14,0775.HK,1.0099999904632568,1.0099999904632568,0.8899999856948853,0.8899999856948853,0.8899999856948853,67232000,0.0,0.0,0.9069309171688016,0.9059845313580526,0.9140791354357556,0.8932172555634976,0.7739667119511869,False,True,0.0,0.0,0.0,0.0,0.0,BY1-2025/10/31,True,False,False,False,False,False,False,0.0,0,0,False,False,775.HK
2025-11-18,0816.HK,2.8399999141693115,2.8399999141693115,2.799999952316284,2.819999933242798,2.819999933242798,560651,0.0,0.0,2.8566352052233683,2.852861582023288,2.902613085114854,2.944694725834339,2.8680427422169235,False,True,0.0,0.0,0.0,0.0,0.0,BY1-2025/10/21,True,False,False,False,False,False,False,0.0,0,0,False,False,816.HK
2025-11-18,0914.HK,23.5,23.5,22.89999961853028,22.940000534057617,22.940000534057617,3766278,0.0,0.0,23.587057796404498,23.64594839312879,23.63456434263802,23.262093393597,22.1403934168946,False,False,0.0,0.0,0.0,0.0,0.0,BY1-2025/10/28,True,False,False,False,False,False,False,0.0,0,0,False,False,914.HK
