Date,sno,Open,High,Low,Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,T1_22,T1_10,Capital Gains
2025-10-07,VKI,8.75,8.819999694824219,8.670000076293945,8.699999809265137,154900,0.0,0.0,8.745898750968184,8.673495829065686,8.507468687194871,8.372475008230339,8.240805638336289,True,True,True,True,
2025-10-07,VFL,10.15999984741211,10.25,10.029999732971191,10.029999732971191,21300,0.0,0.0,10.17201183018726,10.106984004345277,9.91627766475067,9.791799519163602,9.750773195946907,True,True,True,True,
2025-10-07,SCCG,23.200000762939453,23.5,23.200000762939453,23.39999961853028,1700,0.0,0.0,23.35573307109996,23.172653195651595,22.402492318972747,21.38124980572858,20.437338371970927,True,True,True,True,
2025-10-07,SCCF,23.25,23.25,23.25,23.25,200,0.0,0.0,23.20314987991763,22.938962051454517,22.08515436786356,21.111430448172257,20.357867633829933,True,True,True,True,
2025-10-07,SCCE,23.035999298095703,23.0629997253418,23.030000686645508,23.049999237060547,3400,0.0,0.0,23.01979057934498,22.83414912011256,22.11214667548673,21.208128945047203,20.422596361921624,True,True,True,True,0.0
2025-10-07,SCCD,23.82999992370605,24.0,23.82999992370605,24.0,500,0.0,0.0,24.01621308921739,23.81924798098228,23.33843899143228,22.64645826742276,21.71363640958108,True,True,True,True,0.0
2025-10-07,NML,8.649999618530273,8.649999618530273,8.520000457763672,8.619999885559082,158300,0.0,0.0,8.642413730835662,8.630536395082025,8.59430642372106,8.534513301708566,8.226958225954613,True,True,True,True,
2025-10-07,NBH,10.270000457763672,10.5,10.270000457763672,10.3100004196167,78100,0.0,0.0,10.290827636825073,10.234442805137844,10.076056754272278,9.960148390788364,9.89749100021588,True,True,True,True,
2025-10-07,LEGT,10.739999771118164,10.739999771118164,10.739999771118164,10.739999771118164,200,0.0,0.0,10.747853790786095,10.744780713615135,10.71909458684181,10.65094130577293,10.480140343365267,True,True,True,True,
2025-10-07,IAF,4.650000095367432,4.679999828338623,4.610000133514404,4.630000114440918,54900,0.0,0.0,4.616714801564192,4.594242032601408,4.535731911943113,4.418698986163313,4.192660526407637,True,True,True,True,
2025-10-07,GRAF,10.600000381469728,10.600000381469728,10.600000381469728,10.600000381469728,300,0.0,0.0,10.559821610010037,10.536679771333484,10.498235159033843,10.42733905055756,10.275583508720368,True,True,True,True,
2025-10-07,GLV,5.96999979019165,6.0,5.929999828338623,6.0,51400,0.0,0.0,5.950506218891038,5.897833281369127,5.779125732443976,5.621920956939628,5.359327918445979,True,True,True,True,
2025-10-07,GLU,18.21999931335449,18.34000015258789,18.21999931335449,18.239999771118164,8400,0.0,0.0,18.1258511521611,18.02240896348915,17.779248660290712,17.29717894490825,16.134716857119955,True,True,True,True,
2025-10-07,GLQ,7.690000057220459,7.699999809265137,7.550000190734863,7.550000190734863,39300,0.0,0.0,7.61510222069894,7.552221420058991,7.37810543867431,7.1002092096748495,6.612510491124333,True,True,True,True,
2025-10-07,GLO,5.71999979019165,5.75,5.590000152587891,5.590000152587891,275800,0.0,0.0,5.682545313038785,5.650346017518184,5.539717079258006,5.363776536351653,5.04955158375438,True,True,True,True,
2025-10-07,GGN,5.21999979019165,5.230000019073486,5.050000190734863,5.190000057220459,476500,0.0,0.0,5.148090148884815,5.042870179662772,4.841256104040243,4.617353843750197,4.262337866482251,True,True,True,True,
2025-10-07,EVM,9.579999923706056,9.579999923706056,9.529999732971191,9.56999969482422,18800,0.0,0.0,9.526459928918452,9.422820725362138,9.215552612417946,9.051794414444904,8.916235812609951,True,True,True,True,
2025-10-07,ERC,9.619999885559082,9.699999809265137,9.579999923706056,9.699999809265137,117400,0.0,0.0,9.593448541876436,9.566397587618615,9.468303667398764,9.303875773005634,8.953518683380178,True,True,True,True,
2025-10-07,ENX,9.920000076293944,10.0600004196167,9.920000076293944,10.0600004196167,61500,0.0,0.0,9.91746527996683,9.815671514044528,9.605877441045784,9.433397026816994,9.279139454947192,True,True,True,True,
2025-10-07,EIM,9.920000076293944,10.0600004196167,9.880000114440918,9.93000030517578,134300,0.0,0.0,9.947810620593312,9.929467445068669,9.818104782651634,9.71309001190232,9.64853735945018,True,True,True,True,
2025-10-07,ECF,11.899999618530272,12.050000190734863,11.869999885559082,11.9399995803833,70800,0.0,0.0,11.709572659150233,11.520355478872965,11.116427334348508,10.599274843345365,9.72965959468481,True,True,True,True,
2025-10-07,CRF,8.140000343322754,8.1899995803833,8.119999885559082,8.1899995803833,1062200,0.0,0.0,8.067842483957381,7.974817755494749,7.8053034721117776,7.565988846979929,7.155328298283833,True,True,True,True,
2025-10-07,CLM,8.380000114440918,8.449999809265137,8.34000015258789,8.390000343322754,1818100,0.0,0.0,8.30126524741377,8.217454756306783,8.058948125444978,7.809419346665596,7.310633835318592,True,True,True,True,
2025-10-07,CIK,2.950000047683716,3.039999961853028,2.950000047683716,3.039999961853028,337600,0.0,0.0,2.964405750237781,2.95974464784248,2.9423965947799084,2.899908435269465,2.8099709942559743,True,True,True,True,
2025-10-07,CEV,10.109999656677246,10.119999885559082,9.970000267028809,9.970000267028809,26400,0.0,0.0,10.02094657148935,9.932089442831568,9.767358627205308,9.670480850621509,9.666645823500287,True,True,True,True,
2025-10-07,CET,51.959999084472656,52.41999816894531,51.560001373291016,51.72999954223633,21400,0.0,0.0,51.505403928138485,51.0983401375016,50.213937889230834,48.97765014095039,46.53702829607628,True,True,True,True,
