sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,BY1,TOTAL,WR
1818.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
1882.HK,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,100.0
1888.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1919.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1928.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
1929.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1988.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2018.HK,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
2020.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
2096.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2318.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2319.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
2328.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2331.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0
2338.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2378.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
2380.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2600.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
2688.HK,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,100.0
2888.HK,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
3328.HK,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
3808.HK,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0
3988.HK,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
6088.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
6690.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
,25.0,11.0,21.0,1.0,3.0,5.0,49.0,20.0,135.0,45.19
