index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,ADX,DIplus,DIminus,RSI,KC_middle,KC_upper,KC_lower,KC_Width,Price_zscore,Volume_zscore,Anomaly_Score,MA_50,MA_20,Price_Above_MA50,Price_Increase_50D,Price_Increase_30D,Resistance,Above_Resistance,Breakout_Percentage,Volatility_Decrease,Volatility_Decrease_Pct,Contraction_Structure,Contraction_Count,Valid_Contractions,KC_Contraction,Volume_Contraction,Volume_Spike,Breakout_Detected,ADX_Strength,DI_Bullish,RSI_Value,Anomaly_Free,Uptrend_Requirement,Contraction_Pattern,Volume_Signature,Momentum_Confirmation,VCP,SNO
2017-08-16,2020.HK,29.350000381469727,29.799999237060547,28.25,29.39999961853028,25.20219612121582,13039404,0.0,0.0,29.97152980185277,32.945727493947494,10.465121093002631,66.92912983756901,27.192800495633787,28.81279999972314,25.572800991544437,11.914914790401737,2.6052002527018585,2.7712074328436267,1,25.609999923706056,27.027499771118165,True,28.104569242570705,15.294116151099123,29.350000381469727,False,0.1703551496105523,8.2%,8.168431896464789,True,2,True,True,False,True,True,True,True,66.9,True,True,True,True,True,True,2020.HK
2024-09-27,2020.HK,91.1500015258789,92.9499969482422,88.8499984741211,91.3000030517578,88.8591537475586,48048969,0.0,0.0,27.54456768527161,43.29043154743332,10.75367336403136,72.57143293108258,75.88631466722015,82.74631375169281,69.02631558274749,18.07967382407597,2.947987895097301,2.871010740405365,1,71.74300018310547,75.16750068664551,True,22.30408732156133,35.359536223280976,87.94999694824219,True,3.808989448273728,-14.0%,-14.038899846839293,True,3,True,True,False,True,True,True,True,72.6,True,True,True,True,True,True,2020.HK
2016-11-09,2099.HK,19.5,21.0,19.0,20.850000381469727,20.390005111694336,1126400,0.0,0.0,38.31355675128932,44.548260381038034,12.9802711208179,73.22313168931473,19.38412232549904,20.605121852476582,18.163122798521503,12.59793460311962,1.6510029646487694,3.868376283989824,1,18.042200088500977,19.181500148773196,True,36.09661094519334,13.069413110704517,20.850000381469727,False,0.0,2.4%,2.402757888502216,True,2,True,True,True,True,True,True,True,73.2,True,True,True,True,True,True,2099.HK
2018-02-20,2099.HK,16.0,16.899999618530273,16.0,16.559999465942383,16.194650650024414,3635100,0.0,0.0,23.72306266354384,29.77232570766894,26.61996446185294,53.10558592306161,14.816911916433927,16.2729119583956,13.36091187447226,19.6532185677202,1.5121841146401174,0.5884397983623924,1,14.245200004577637,14.90499997138977,True,31.84712510103367,9.234826072701184,16.600000381469727,False,-0.240969365109148,-31.9%,-31.90588869246777,True,2,True,True,False,True,True,True,True,53.1,True,True,True,True,True,True,2099.HK
2022-03-22,2099.HK,26.25,27.950000762939453,26.25,27.799999237060547,27.32680892944336,2058000,0.0,0.0,46.17751780186576,30.485440632750915,17.475722042618685,61.386135123630815,24.6595679413121,27.749567712430267,21.569568170193936,25.061264483401573,2.011988866678445,0.5833309023785302,1,22.9146000289917,24.64000015258789,True,40.12096281881515,27.81608844625539,28.0,False,-0.7142884390694755,-28.7%,-28.692211615199305,True,3,True,True,False,True,True,True,True,61.4,True,True,True,True,True,True,2099.HK
2018-05-16,0220.HK,8.119999885559082,8.529999732971191,8.100000381469727,8.470000267028809,5.694546222686768,10481007,0.0,0.0,25.51432186700729,30.56873135729829,10.426545693107938,68.42106223796773,7.795970922341175,8.377970796456166,7.213971048226186,14.930786169228355,2.280916918807433,0.8260012365928661,1,7.219399976730346,7.742000007629395,True,25.29585769599629,24.74227267473062,8.529999732971191,False,-0.703393526619533,-9.1%,-9.107764186115563,True,2,True,True,False,True,True,True,True,68.4,True,True,True,True,True,True,220.HK
2019-03-04,2269.HK,26.0,26.816665649414062,25.36666679382324,26.816665649414062,26.816665649414062,19134915,0.0,0.0,41.49692913716724,32.56927147896515,11.843359522858824,71.11111265240294,23.975527865483507,26.18719397266124,21.76386175830577,18.44936319722721,2.117517515099212,1.3576885037739004,1,20.800666275024412,23.93166618347168,True,41.26425964966008,37.40392484466426,26.600000381469727,False,0.8145310708163402,26.2%,26.233249390441426,True,2,True,True,False,True,True,True,True,71.1,True,True,True,True,True,True,2269.HK
2022-07-05,2269.HK,77.8499984741211,87.0,76.1500015258789,82.5999984741211,82.5999984741211,66959714,0.0,0.0,41.760676040596486,41.70040777621678,7.017550181803019,73.09712103368929,70.70250036897284,80.47250006379706,60.93250067414861,27.636928379725877,2.3989281631619472,2.675152085389497,1,61.26300003051758,70.80499992370605,True,37.4376049438478,46.71403124948547,79.75,True,3.573665798270964,10.7%,10.702125562819688,True,2,True,True,False,True,True,True,True,73.1,True,True,True,True,True,True,2269.HK
2025-02-05,2269.HK,19.57999992370605,20.200000762939453,19.059999465942383,20.100000381469727,20.100000381469727,63878283,0.0,0.0,22.868426410898703,37.14284706802928,13.781487471848536,73.61561241216963,18.08811728185928,19.720117728178856,16.456116835539696,18.04500071388112,2.314945794160391,2.040338260700241,1,16.943999919891358,17.75299997329712,True,32.41106704468525,10.682822413867347,19.76000022888184,True,1.7206485255548334,19.3%,19.33549999664055,True,2,True,True,False,True,True,True,True,73.6,True,True,True,True,True,True,2269.HK
2019-02-25,2282.HK,16.700000762939453,17.100000381469727,16.579999923706055,16.899999618530273,14.958958625793455,16086611,0.0,0.0,32.44568553526124,31.5789330110482,17.16247901153093,70.0440538813503,15.237807660358651,16.443807797687754,14.031807523029553,15.829050532860128,2.082794900519359,2.3151431249609105,1,14.048400020599365,15.129000043869018,True,22.10982248703375,30.401231240633887,16.520000457763672,True,2.3002369869064907,17.0%,16.98692554613377,True,2,True,True,False,True,True,True,True,70.0,True,True,True,True,True,True,2282.HK
2025-08-14,2318.HK,57.0,59.09999847412109,56.95000076293945,57.900001525878906,56.8467903137207,87441926,0.0,0.0,37.712546868918494,38.515079029732114,15.545237089196473,65.04425047633063,54.55282330431167,57.47282338060562,51.63282322801773,10.705220736258973,2.209481531189006,1.2830556561828024,1,51.54900001525879,54.78750019073486,True,26.419219411312245,15.568868840957895,57.650001525878906,False,0.4336513328412937,-9.6%,-9.620726305490235,True,2,True,True,False,True,True,True,True,65.0,True,True,True,True,True,True,2318.HK
