Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,BOSS2,buy_price,tp1_price,tp2_price,SNO
2025-09-17,1010.HK,0.0939999967813491,0.0970000028610229,0.0930000022053718,0.0930000022053718,0.0930000022053718,188000,0.0,0.0,LH,LHLLHH,0.0850000008940696,2025-09-18,0.1030000001192092,2025-10-02,0.1110000014305114,0.0920000001788139,SB1-2025/09/17,False,False,False,False,False,True,1.0,7.0,3.0,0.0,1.0,True,0.1,0.1110000014305114,0.1220000028610228,1010.HK
2025-09-22,1119.HK,1.1399999856948853,1.1799999475479126,1.1299999952316284,1.149999976158142,1.149999976158142,9894800,0.0,0.0,LH,LHLLHH,0.9900000095367432,2025-09-26,1.190000057220459,2025-10-03,1.2300000190734863,1.0399999618530271,SB1-2025/09/22,False,False,False,False,False,True,1.0,4.0,1.0,2.0,1.0,True,1.11,1.2300000190734863,1.3500000381469726,1119.HK
2025-09-19,1221.HK,1.4299999475479126,1.5,1.4299999475479126,1.5,1.4857594966888428,6000,0.0,0.0,LH,LHLLHH,1.3600000143051147,2025-10-02,1.590000033378601,2025-10-14,1.600000023841858,1.3799999952316284,SB1-2025/09/19,False,False,False,False,False,True,1.0,3.0,1.0,0.0,0.0,True,1.48,1.600000023841858,1.7200000476837158,1221.HK
2025-09-08,1225.HK,0.2060000002384185,0.2080000042915344,0.2060000002384185,0.2080000042915344,0.2080000042915344,42000,0.0,0.0,LL,LLLLLH,0.1949999928474426,2025-09-30,0.209999993443489,2025-10-17,0.209999993443489,0.2029999941587448,CL1-2025/07/02,False,False,False,True,False,False,0.0,,,,,False,,,,1225.HK
2025-09-16,1283.HK,1.309999942779541,1.3899999856948853,1.309999942779541,1.3700000047683716,1.3551318645477295,690000,0.0,0.0,LH,LHLLHH,1.2799999713897705,2025-09-23,1.4800000190734863,2025-09-26,1.5,1.2899999618530271,SB1-2025/09/16,False,False,False,False,False,True,0.67,2.0,2.0,0.0,0.0,True,1.39,1.5,1.61,1283.HK
2025-09-03,1312.HK,0.0299999993294477,0.0299999993294477,0.0280000008642673,0.0299999993294477,0.0299999993294477,78000,0.0,0.0,LH,LHLLHH,0.025000000372529,2025-09-09,0.0399999991059303,2025-09-17,0.0480000004172325,0.0260000005364418,SB1-2025/09/03,False,False,False,False,False,True,0.8,4.0,1.0,2.0,1.0,True,0.04,0.0480000004172325,0.056000000834465,1312.HK
2025-09-12,0139.HK,0.3000000119209289,0.3199999928474426,0.3000000119209289,0.3199999928474426,0.3199999928474426,10101186,0.0,0.0,LH,LHLLHH,0.25,2025-09-24,0.4950000047683716,2025-10-17,0.5199999809265137,0.2599999904632568,SB1-2025/09/12,False,False,False,False,False,True,0.93,14.0,4.0,6.0,4.0,True,0.38,0.5199999809265137,0.6599999618530273,139.HK
2025-09-18,1393.HK,0.0599999986588954,0.061999998986721,0.0599999986588954,0.0610000006854534,0.0610000006854534,223000,0.0,0.0,LH,LHLLHH,0.0579999983310699,2025-09-23,0.0649999976158142,2025-10-02,0.0659999996423721,0.0590000003576278,SB1-2025/09/18,False,False,False,False,False,True,0.8,4.0,0.0,1.0,1.0,True,0.06,0.0659999996423721,0.0719999992847442,1393.HK
2025-10-09,1412.HK,1.659999966621399,1.6799999475479126,1.659999966621399,1.6799999475479126,1.6799999475479126,198000,0.0,0.0,LH,LHLLHH,1.6299999952316284,2025-10-13,1.7100000381469729,2025-10-27,1.7200000286102295,1.649999976158142,SB1-2025/10/09,False,False,False,False,False,True,0.78,7.0,1.0,1.0,1.0,True,1.68,1.7200000286102295,1.760000057220459,1412.HK
2025-09-04,1539.HK,0.3449999988079071,0.3700000047683716,0.3400000035762787,0.3449999988079071,0.3449999988079071,2882000,0.0,0.0,LH,LHLLHH,0.3300000131130218,2025-09-16,0.4050000011920929,2025-10-06,0.4199999868869781,0.3400000035762787,SB1-2025/09/04,False,False,False,False,False,True,0.77,10.0,2.0,2.0,6.0,True,0.37,0.4199999868869781,0.4699999737739562,1539.HK
2025-09-01,1556.HK,0.3400000035762787,0.3449999988079071,0.3300000131130218,0.3300000131130218,0.3300000131130218,2540000,0.0,0.0,,,0.0,,0.0,,0.0,0.0,CL1-2025/08/14,False,False,False,True,False,False,0.0,,,,,False,,,,1556.HK
2025-10-24,1563.HK,0.19200000166893,0.1949999928474426,0.1899999976158142,0.1909999996423721,0.1909999996423721,1068000,0.0,0.0,LL,LLLHHL,0.2029999941587448,2025-10-28,0.1969999969005584,2025-11-03,0.1909999996423721,0.1899999976158142,CL1-2025/08/13,False,False,False,True,False,False,0.0,,,,,False,,,,1563.HK
2025-09-05,1588.HK,8.010000228881836,8.210000038146973,7.699999809265137,8.010000228881836,8.010000228881836,63600,0.0,0.0,LH,LHLLHH,7.199999809265137,2025-09-09,8.899999618530273,2025-09-17,9.15999984741211,7.300000190734863,,False,False,False,False,False,True,0.5,3.0,1.0,0.0,2.0,False,,,,1588.HK
