sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,BY1,TOTAL,WR
0001.HK,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,50.0
0002.HK,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,66.67
0003.HK,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,5.0,40.0
0004.HK,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,66.67
0005.HK,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0
0006.HK,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
0008.HK,2.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,8.0,37.5
0011.HK,3.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,10.0,70.0
0012.HK,5.0,2.0,1.0,0.0,0.0,1.0,6.0,2.0,17.0,47.06
0016.HK,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
0019.HK,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,66.67
0020.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0023.HK,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,60.0
0027.HK,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,6.0,0.0
0066.HK,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,66.67
0083.HK,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,6.0,33.33
0087.HK,2.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,9.0,33.33
0101.HK,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,80.0
0135.HK,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,33.33
0136.HK,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,66.67
0144.HK,0.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,9.0,55.56
0148.HK,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,33.33
0151.HK,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,50.0
0168.HK,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,20.0
0175.HK,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,40.0
0179.HK,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,8.0,25.0
0220.HK,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0
0241.HK,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,40.0
0247.HK,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,100.0
0257.HK,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,7.0,28.57
0267.HK,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,60.0
0268.HK,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,50.0
0270.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0285.HK,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,75.0
