sno,TP12,TP1,TP2,TP1C,CL1,BY1,,,
0003.HK,0,0,0,0,1,0,1,,
0008.HK,1,0,0,0,0,0,1,,
0012.HK,1,0,0,0,0,0,1,,
0016.HK,0,0,0,1,0,0,1,,
0019.HK,0,1,0,0,0,0,1,,
0020.HK,1,0,0,0,0,0,1,,
0027.HK,0,0,0,0,1,0,1,,
0135.HK,0,0,0,1,0,0,1,,
0144.HK,1,0,0,0,0,0,1,,
0148.HK,1,0,0,0,1,0,2,,
0168.HK,0,0,0,0,1,1,2,,
0179.HK,1,0,0,0,0,0,1,,
0241.HK,0,1,0,0,0,0,1,,
0267.HK,2,0,0,0,0,0,2,,
0270.HK,1,0,0,0,0,0,1,,
0293.HK,0,0,1,0,0,0,1,,
0316.HK,1,0,0,0,0,0,1,,
0322.HK,1,0,0,0,0,0,1,,
0486.HK,1,0,1,0,0,0,2,,
0522.HK,0,0,0,0,1,0,1,,
0656.HK,0,1,0,0,0,0,1,,
0659.HK,1,0,0,1,0,0,2,,
0728.HK,1,0,0,0,0,0,1,,
0772.HK,0,0,0,0,1,0,1,,
0867.HK,0,0,0,0,1,0,1,,
0868.HK,0,0,0,0,0,1,1,,
0883.HK,1,0,0,0,0,0,1,,
0914.HK,0,0,0,0,1,0,1,,
0939.HK,1,0,0,0,0,0,1,,
0941.HK,0,0,0,1,0,0,1,,
0968.HK,0,0,0,1,0,0,1,,
0992.HK,1,0,0,0,0,0,1,,
1044.HK,0,0,0,0,1,0,1,,
1088.HK,0,0,0,0,1,0,1,,
1093.HK,0,0,0,0,1,0,1,,
1171.HK,0,0,0,0,2,0,2,,
1308.HK,0,0,0,1,0,0,1,,
1339.HK,1,0,0,0,0,0,1,,
1347.HK,1,0,0,0,0,0,1,,
1357.HK,0,0,0,0,1,0,1,,
1398.HK,1,0,0,0,1,0,2,,
1530.HK,0,0,0,0,1,0,1,,
1585.HK,1,0,0,0,0,0,1,,
1810.HK,0,0,0,0,1,0,1,,
1818.HK,0,0,0,0,1,0,1,,
1876.HK,0,0,0,0,1,0,1,,
1882.HK,0,0,0,0,1,0,1,,
1888.HK,1,0,0,0,0,0,1,,
1913.HK,0,0,0,1,0,0,1,,
1919.HK,2,0,0,1,0,0,3,,
1928.HK,0,0,0,0,1,0,1,,
1929.HK,1,0,0,0,0,0,1,,
1988.HK,1,0,0,1,0,0,2,,
2099.HK,1,0,0,0,0,0,1,,
2282.HK,0,0,0,0,1,0,1,,
2328.HK,0,0,0,0,1,0,1,,
2378.HK,0,0,0,0,1,0,1,,
2382.HK,1,0,0,0,0,0,1,,
2400.HK,1,0,0,0,0,0,1,,
2688.HK,0,1,0,0,0,0,1,,
3328.HK,0,0,0,0,2,0,2,,
3808.HK,0,0,0,1,0,0,1,,
3968.HK,1,0,0,0,0,0,1,,
9633.HK,1,0,0,0,0,0,1,,
9896.HK,1,0,0,0,1,0,2,,
,32,4,2,10,27,2,77,0.493506494,0.623376623
