sno,TP12,TP1,TP2,TP1C,CL1,BY1
0007.HK,1,1,0,0,3,2
0009.HK,0,0,0,0,3,0
0018.HK,0,0,0,0,0,1
0021.HK,0,1,1,0,5,1
0022.HK,0,0,0,0,1,1
0025.HK,0,0,0,0,1,0
0030.HK,1,0,1,1,1,0
0031.HK,1,0,0,0,0,0
0033.HK,1,0,0,0,3,0
0036.HK,0,0,0,1,2,1
0037.HK,3,0,1,1,3,0
0039.HK,1,1,0,0,0,1
0040.HK,1,0,0,0,1,0
0042.HK,1,0,0,0,5,1
0046.HK,2,0,0,1,2,0
0048.HK,0,1,0,0,2,1
0050.HK,0,0,0,0,2,0
0052.HK,1,0,0,0,2,0
0055.HK,2,0,0,0,1,1
0057.HK,2,0,1,1,3,1
0058.HK,0,1,0,0,3,0
0059.HK,1,1,0,1,1,0
0060.HK,0,0,0,1,0,4
0061.HK,1,0,0,1,1,1
0063.HK,1,0,1,1,2,1
0064.HK,0,0,2,0,2,0
0065.HK,2,0,0,1,1,0
0070.HK,1,0,0,0,2,3
0072.HK,0,0,0,0,1,2
0073.HK,0,0,0,0,1,1
0075.HK,1,0,0,0,1,1
0076.HK,3,0,0,1,1,0
0077.HK,2,0,0,0,0,0
0078.HK,2,0,0,0,4,4
0079.HK,0,1,1,0,1,2
0080.HK,0,1,0,0,0,1
0082.HK,0,0,1,1,3,3
0084.HK,0,1,0,1,2,1
0088.HK,2,0,0,0,3,0
0089.HK,1,0,0,0,4,0
0090.HK,1,0,0,0,0,0
0092.HK,1,0,0,1,2,0
0093.HK,0,2,0,1,1,1
0094.HK,0,1,1,0,1,1
0095.HK,1,0,1,0,1,0
0096.HK,1,0,0,0,0,0
0097.HK,2,2,0,0,1,1
0099.HK,1,1,0,0,2,1
0104.HK,2,0,0,1,2,1
0105.HK,0,0,0,0,0,1
0106.HK,1,0,0,0,2,2
0110.HK,0,1,0,0,2,1
0111.HK,4,0,0,1,2,3
0114.HK,1,0,0,0,0,0
0115.HK,0,0,0,1,1,0
0118.HK,2,0,0,1,2,0
0120.HK,0,0,1,0,4,1
0122.HK,1,0,0,0,1,0
0124.HK,2,0,1,0,2,0
0125.HK,2,0,0,0,0,0
0126.HK,0,1,0,1,2,2
0128.HK,1,0,0,0,0,0
0129.HK,1,0,0,1,0,0
0130.HK,0,0,0,0,3,0
0131.HK,1,2,0,0,2,0
0132.HK,0,0,0,1,1,0
0137.HK,1,0,0,0,2,0
0138.HK,0,1,0,1,0,0
0139.HK,0,0,2,0,0,0
0145.HK,1,0,1,0,1,0
0146.HK,1,0,0,0,0,0
0149.HK,0,1,0,0,1,0
0150.HK,1,0,0,0,0,0
0154.HK,0,1,1,0,1,0
0156.HK,2,0,1,0,2,2
0157.HK,3,2,0,0,1,0
0159.HK,0,1,0,0,2,0
0160.HK,2,0,1,0,2,0
0162.HK,0,1,0,0,5,3
0163.HK,1,0,0,1,2,0
0164.HK,0,0,1,0,3,1
0166.HK,0,1,0,0,0,2
0167.HK,3,1,0,0,0,1
0171.HK,1,0,1,0,2,1
0174.HK,0,1,0,1,1,1
0176.HK,1,0,0,0,1,0
0178.HK,4,1,0,1,3,0
0181.HK,0,0,0,0,1,1
0183.HK,0,0,0,0,1,0
0184.HK,0,0,0,0,1,2
0185.HK,1,0,0,0,2,2
0186.HK,1,0,0,0,1,0
0187.HK,2,0,0,2,3,0
0188.HK,0,0,0,1,2,1
0191.HK,0,0,0,0,1,0
