sno,returns,sharpe_ratios,max_drawdowns,trades_counts,win_rates
P_0008.HK,-10.986718959808348,-0.19464009816767602,-14.001878041398353,1,0.0
P_0020.HK,-9.880000381469738,-0.7004868121996644,-12.934603901950648,2,0.0
P_0027.HK,-1.3353999519348145,-0.154276389353879,-2.3905575825341474,1,0.0
P_0083.HK,-11.276372261047364,-0.21479750650245194,-12.971214778930873,1,0.0
P_0135.HK,-0.7340000236034394,-0.03659741773742401,-3.143027136723864,3,33.33333333333333
P_0136.HK,-12.881600470542931,-0.18928185516035656,-16.965897911016093,5,20.0
P_0175.HK,7.754800517559052,0.1408304316917052,-8.403161676020899,4,50.0
P_0220.HK,12.416954870224,0.4233488423855324,-1.6405340134708402,1,100.0
P_0241.HK,-5.628035291433334,-0.19196114704798037,-10.118172323795227,3,33.33333333333333
P_0257.HK,-6.004048365354561,-0.089030712599611,-12.138705526739358,5,20.0
P_0268.HK,10.176177780628205,0.12635903430575332,-17.952865152588735,4,50.0
P_0270.HK,10.883198852539062,0.19029005152721276,-4.295868818721016,2,50.0
P_0285.HK,21.447598295211794,0.3854264902342426,-0.0,1,100.0
P_0322.HK,-4.141600952148449,-0.2639480886949311,-5.020351751763464,1,0.0
P_0358.HK,-12.331998081207288,-0.2692509628384828,-17.482185536182882,1,0.0
P_0384.HK,-10.17280276775359,-0.20468968905114127,-14.734506352626052,4,50.0
P_0386.HK,21.373740332126616,0.2621038510989371,-11.12314549269252,4,75.0
P_0486.HK,15.328003807067873,0.17677696953330477,-14.778811426286321,2,50.0
P_0631.HK,45.74759771347046,0.48875739240425065,-14.400956150911915,5,60.0
P_0656.HK,17.429197330474857,0.6350644343058011,-1.0768850639916505,1,100.0
P_0670.HK,-0.30440096855163573,-0.0035510982625405834,-16.62560435276227,6,50.0
P_0700.HK,5.0510385751724245,0.31679700806102407,-1.5954334927636538,1,100.0
P_0728.HK,51.0252018737793,0.3525730296275187,-13.79998870804644,6,66.66666666666666
P_0762.HK,9.320395030975341,0.11830913922518349,-17.761175876565538,2,50.0
P_0857.HK,-10.26,-0.26008975543248175,-10.313811542011964,1,0.0
P_0867.HK,-7.606669197082519,-0.4049602824115404,-8.010678234100343,1,0.0
P_0914.HK,10.64958108663559,0.13819056846760377,-15.020619009261226,3,33.33333333333333
P_0966.HK,-22.32333839416504,-0.3387841429605381,-28.07726116889272,3,33.33333333333333
P_0968.HK,-19.727205533981323,-0.3824831955043574,-19.929942611402684,2,0.0
P_0981.HK,7.435997133255006,0.07247440025754506,-16.930946109472732,2,50.0
P_0992.HK,-7.268002862930309,-0.18792128772424402,-12.457001452124183,1,0.0
P_0998.HK,18.020791988372803,0.22695333448343705,-8.314462432225433,1,100.0
P_1055.HK,65.89254633426667,0.28142333964094884,-17.626859136215433,11,63.63636363636363
P_1060.HK,7.14392101645472,0.1542927870771558,-8.36808343960529,9,66.66666666666666
P_1070.HK,-13.652661027908325,-0.16226704753794863,-19.558549164979322,4,25.0
P_1093.HK,4.78977897644043,0.2209952423509565,-2.796368449506903,1,100.0
P_1128.HK,17.8035969543457,0.2670298183235475,-6.273282950120384,1,100.0
P_1164.HK,7.059441722631455,0.18823964934140258,-3.870691978328611,7,42.857142857142854
P_1171.HK,38.19924390077591,0.21336607377174588,-18.073192260513338,7,71.42857142857143
P_1177.HK,13.900389847159387,0.23513133468323605,-7.632992366544544,6,50.0
P_1193.HK,9.376000385284424,0.15817389032005585,-10.496958978815252,1,100.0
P_1208.HK,-20.148871173858616,-0.4218056970513089,-21.059116112321618,3,0.0
P_1211.HK,-4.549817314147949,-0.176105237379204,-7.416779900862458,1,0.0
P_1258.HK,-13.774794373512266,-0.41050239922589776,-18.816555750699347,2,0.0
P_1288.HK,7.847196760177612,0.17041730401008398,-6.777998666763308,2,50.0
P_1308.HK,25.48239903450012,0.3217025203365318,-11.143742454570294,2,100.0
P_1339.HK,-24.847196178436267,-0.4323105907657326,-25.335333161801778,3,0.0
P_1357.HK,-10.14919780254364,-0.7258004381029026,-10.149197802543641,2,0.0
P_1378.HK,16.0608034324646,0.5149371421357614,-2.6156758163588423,1,100.0
P_1729.HK,16.819993133544923,0.44968412546339337,-4.423714057593919,1,100.0
P_1735.HK,-0.09644925445318223,-0.02002252433275235,-2.679323219161678,3,66.66666666666666
P_1816.HK,10.176799621582031,0.7324387692239637,-0.7428116390036266,1,100.0
P_1888.HK,-7.85359751701355,-0.3341436893952194,-8.0976940770652,1,0.0
P_1898.HK,-8.099602098464965,-0.1625979999796982,-13.087711466446471,1,0.0
P_1919.HK,-14.046781435012829,-0.19037372661047466,-23.962466570942443,4,25.0
P_1988.HK,12.122397708892823,0.28141385940691194,-8.165357284473762,1,100.0
P_2039.HK,-11.031989822387718,-0.12163937235481932,-19.30665914619866,1,0.0
P_2282.HK,29.18720037460327,0.49738067901844324,-0.0,1,100.0
P_2328.HK,26.27781014442444,0.5276134145401641,-5.457834380230276,2,100.0
P_2331.HK,-9.33799617767334,-0.3602935941097268,-10.824426517057884,1,0.0
P_2333.HK,12.56875503897667,0.11243486546248342,-15.71568276735562,6,50.0
P_2338.HK,15.190731534957886,0.4063007882590875,-5.188985440837857,3,100.0
P_2380.HK,-1.588472180366516,-0.01751582437072192,-24.994422923951177,6,50.0
P_2382.HK,15.11719962120056,0.4804968615850481,-2.7308012137202797,2,100.0
P_2600.HK,3.008810091018677,0.02493712546409045,-23.808811310637402,4,50.0
P_2688.HK,16.11700334072113,0.3043987262962127,-4.324686441129543,2,100.0
P_2689.HK,-7.471997900009167,-0.21538495885757414,-7.543197708129878,1,0.0
P_2799.HK,-26.521598854064944,-0.4729969006260538,-27.878094926915985,6,0.0
P_3800.HK,3.9451353597640995,0.0770826431267526,-11.776427003440816,5,40.0
P_3808.HK,-10.933999433517444,-0.1708728340432468,-18.304862170464077,1,0.0
P_3896.HK,-6.7875984764099115,-0.3926836162946028,-12.146320505769559,1,0.0
P_3988.HK,-6.87539421081543,-0.2110197521312365,-11.868268470864052,1,0.0
P_6088.HK,16.980802669525147,0.44843472031510173,-4.09725783167969,1,100.0
P_6186.HK,16.871197900772096,0.5521904869295893,-3.547201528549193,1,100.0
P_6823.HK,-3.386793959140778,-0.3331703756155345,-3.59933098650016,2,0.0
