Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,T1_150,medium_bullish,weak_bullish,Capital Gains,buy_price,tp1_price,tp2_price,SNO
2012-08-16,1000.HK,5.0,5.0,5.0,5.0,4.435957908630371,130000,0.0,0.0,4.487621397529308,4.468211988603743,4.433844674974213,4.348908208126854,4.204001218574035,True,True,,,0.0,,0.0,,0.0,0.0,BY1-2012/07/17,True,False,False,False,False,False,0.0,0,0,False,False,,,,,,,1000.HK
2012-08-27,1000.HK,4.809999942779541,4.809999942779541,4.599999904632568,4.699999809265137,4.1697998046875,201500,0.0,0.0,4.379383158598596,4.415946897365457,4.416561962126418,4.351052198096605,4.212858842085237,False,False,,,0.0,,0.0,,0.0,0.0,CL1-2012/07/17,False,False,False,True,False,False,0.0,0,0,False,False,,,,,,,1000.HK
2017-06-29,1000.HK,3.859999895095825,4.0,3.75,4.0,4.0,469000,0.0,0.0,3.936813720926001,3.888731392277768,3.88800141692926,3.962980943553332,4.280654063119913,False,True,HL,HLHLHH,3.920000076293945,2017-07-17,4.070000171661377,2017-07-18,4.099999904632568,3.75,BY1-2017/06/06,True,False,False,False,False,False,0.0,0,0,False,False,,,,,,,1000.HK
2017-06-30,1000.HK,4.0,4.050000190734863,3.900000095367432,3.9800000190734863,3.9800000190734863,200500,0.0,0.0,3.9446657751346335,3.8966677946078314,3.8916092052486415,3.963317954949771,4.278258413366554,False,True,,,0.0,,0.0,,0.0,0.0,TP1-2017/06/06,False,True,False,False,False,False,0.0,0,0,False,False,,,,,,,1000.HK
2017-08-21,1000.HK,3.609999895095825,3.609999895095825,3.609999895095825,3.609999895095825,3.609999895095825,500,0.0,0.0,3.769399611621155,3.8459433202796784,3.8889582368456113,3.938857636291216,4.205797320206902,False,False,,,0.0,,0.0,,0.0,0.0,CL2-2017/06/06,False,False,False,False,True,False,0.0,0,0,False,False,,,,,,,1000.HK
2018-01-10,1000.HK,3.509999990463257,3.509999990463257,3.150000095367432,3.319999933242798,3.319999933242798,591500,0.0,0.0,3.454579919417587,3.3791207442712183,3.3698371835992056,3.4913617764149696,3.850558388236821,False,True,HL,HLLHHL,3.390000104904175,2018-01-26,3.299999952316284,2018-02-28,3.0999999046325684,3.150000095367432,BY1-2017/11/17,True,False,False,False,False,False,0.0,0,0,False,False,,,,,,,1000.HK
2018-04-11,1000.HK,3.0199999809265137,3.0199999809265137,3.0199999809265137,3.0199999809265137,3.0199999809265137,2500,0.0,0.0,3.144649043108089,3.192974940994013,3.2512946469231108,3.3667048321366573,3.720953888462786,False,False,,,0.0,,0.0,,0.0,0.0,CL1-2017/11/17,False,False,False,True,False,False,0.0,0,0,False,False,,,,,,,1000.HK
2001-03-05,1001.HK,0.9626010060310364,0.9626010060310364,0.9626010060310364,0.9626010060310364,0.2693652808666229,49864,0.0,0.0,0.2725063119354535,0.2716892640205499,0.2656036081429818,0.2675520083726834,0.3235089005472598,False,True,,,0.0,,0.0,,0.0,0.0,BY1-2001/02/06,True,False,False,False,False,False,0.0,0,0,False,False,,,,,,,1001.HK
2001-03-26,1001.HK,0.9224920272827148,0.9465569853782654,0.9224920272827148,0.9224920272827148,0.2581416964530945,124662,0.0,0.0,0.2691797612588582,0.2705146290472907,0.2667733025982995,0.2679204591559696,0.3202004383340081,False,False,,,0.0,,0.0,,0.0,0.0,CL1-2001/02/06,False,False,False,True,False,False,0.0,0,0,False,False,,,,,,,1001.HK
2009-12-18,1001.HK,0.6898639798164368,0.7139289975166321,0.681842029094696,0.7059069871902466,0.3060812354087829,892581,0.0,0.0,0.3241078588399678,0.3184516956765531,0.2806099828759711,0.2443469769085366,0.2318194809598621,True,True,HL,HLLHHL,0.7379940152168274,2009-12-23,0.7139289975166321,2010-01-04,0.6898639798164368,0.681842029094696,BY1-2009/11/03,True,False,False,False,False,False,0.0,0,0,False,False,,,,,,,1001.HK
2011-09-14,1001.HK,0.377018004655838,0.377018004655838,0.377018004655838,0.377018004655838,0.1727386116981506,2493,0.0,0.0,0.1951276154235807,0.2121770829886292,0.2339907248488282,0.2536495481355618,0.2737174465598204,False,False,,,0.0,,0.0,,0.0,0.0,CL1-2009/11/03,False,False,False,True,False,False,0.0,0,0,False,False,,,,,,,1001.HK
2021-06-10,1001.HK,0.248999997973442,0.25,0.2380000054836273,0.2450000047683715,0.170612022280693,122000,0.0,0.0,0.1812933297135579,0.178165642284949,0.1760976323944025,0.1862280716148004,0.24902700783881,False,True,,,0.0,,0.0,,0.0,0.0,TP1-2021/03/30,True,True,False,False,False,False,0.0,0,0,False,False,,,,,,,1001.HK
2021-06-11,1001.HK,0.2450000047683715,0.2599999904632568,0.238999992609024,0.238999992609024,0.1664337664842605,214000,0.0,0.0,0.1785915909445947,0.1771454791718457,0.1757186572606714,0.1858361051765718,0.2483688943618813,False,True,,,0.0,,0.0,,0.0,0.0,TP2-2021/03/30,False,False,True,False,False,False,0.0,0,0,False,False,,,,,,,1001.HK
2025-08-01,1001.HK,0.4149999916553497,0.4149999916553497,0.3650000095367431,0.4000000059604645,0.3857142925262451,380000,0.0,0.0,0.3916861487387734,0.378944380570672,0.3607912043475338,0.3359158615309176,0.3065632146392951,True,True,HL,HLLHHL,0.4300000071525574,2025-08-22,0.4050000011920929,2025-08-25,0.3899999856948852,0.3650000095367431,BY1-2025/06/02,True,False,False,False,False,False,0.0,0,0,False,False,,,,,,,1001.HK
2024-02-28,1002.HK,0.0850000008940696,0.0949999988079071,0.0729999989271164,0.0930000022053718,0.0930000022053718,644000,0.0,0.0,0.0875240054016886,0.0829949518789276,0.0809647865167253,0.0833987754360328,0.1004262247167306,False,True,HL,HLLHLL,0.0930000022053718,2024-03-21,0.0799999982118606,2024-04-03,0.0680000036954879,0.0729999989271164,BY1-2023/11/29,True,False,False,False,False,False,0.0,0,0,False,False,,,,,,,1002.HK
2024-08-14,1002.HK,0.0640000030398368,0.0640000030398368,0.0570000000298023,0.0579999983310699,0.0579999983310699,1024000,0.0,0.0,0.0678696484755735,0.072060005935486,0.0768085065670799,0.0798792254618121,0.0919613175819194,False,False,,,0.0,,0.0,,0.0,0.0,CL1-2023/11/29,False,False,False,True,False,False,0.0,0,0,False,False,,,,,,,1002.HK
2025-03-25,1002.HK,0.0659999996423721,0.0700000002980232,0.0640000030398368,0.0700000002980232,0.0700000002980232,664000,0.0,0.0,0.0738795961665831,0.0717479741399361,0.0711284237811725,0.0729046939083808,0.0828134925074585,False,True,,,0.0,,0.0,,0.0,0.0,BY1-2024/12/30,True,False,False,False,False,False,0.0,0,0,False,False,,,,,,,1002.HK
2025-04-03,1002.HK,0.0579999983310699,0.0570000000298023,0.050000000745058,0.0560000017285347,0.0560000017285347,464000,0.0,0.0,0.0702003914823426,0.0703191999486896,0.0705303136880872,0.0725329777282101,0.0825064578495627,False,False,,,0.0,,0.0,,0.0,0.0,CL1-2024/12/30,False,False,False,True,False,False,0.0,0,0,False,False,,,,,,,1002.HK
