sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,BY1
1201.HK,1,0,0,0,0,0,1,0
1202.HK,0,0,0,0,0,0,0,1
1203.HK,1,0,0,0,0,0,0,1
1206.HK,0,0,0,0,0,0,0,2
1220.HK,0,0,0,0,0,0,1,0
1222.HK,0,0,1,0,0,0,0,0
1235.HK,0,0,1,0,0,0,0,0
1244.HK,0,0,0,0,0,0,1,0
1251.HK,0,0,0,0,0,0,1,0
1273.HK,0,0,0,0,0,0,0,1
1300.HK,0,1,0,0,0,0,1,0
1327.HK,0,0,0,0,0,0,0,1
1380.HK,0,0,0,0,1,0,0,0
1382.HK,1,0,0,0,0,0,0,0
1393.HK,0,0,0,0,0,0,0,1
1399.HK,0,0,0,0,0,1,0,0
1418.HK,0,0,0,0,1,0,0,0
1449.HK,0,0,0,0,0,0,0,1
1450.HK,0,0,0,0,0,0,1,0
1461.HK,0,0,1,0,0,0,0,0
1463.HK,0,0,0,0,0,0,0,1
1468.HK,0,0,0,0,0,0,0,1
1496.HK,0,0,0,0,0,0,0,1
1522.HK,1,0,0,0,0,0,0,0
1526.HK,0,0,0,0,0,0,1,0
1559.HK,0,0,0,0,0,0,0,1
1565.HK,1,0,0,0,0,0,0,0
1580.HK,0,0,0,0,0,0,1,0
1588.HK,0,0,0,0,0,0,0,1
1612.HK,0,0,0,0,1,0,0,0
1626.HK,0,0,0,0,0,1,0,0
1629.HK,0,0,0,0,0,0,1,0
1661.HK,0,0,0,0,0,0,1,0
1680.HK,0,0,0,0,0,0,1,0
1682.HK,1,0,0,0,0,0,0,0
1692.HK,0,0,1,0,0,0,0,0
1697.HK,0,0,1,0,0,0,0,0
1710.HK,0,0,0,0,1,0,0,0
1711.HK,0,0,0,0,0,1,0,0
1712.HK,1,0,0,0,0,0,0,1
1723.HK,0,0,0,0,1,0,0,0
1736.HK,0,0,0,0,0,0,1,0
1738.HK,0,0,0,0,0,0,0,1
1739.HK,0,0,0,0,0,0,1,0
1745.HK,0,0,0,0,0,0,0,1
1752.HK,0,0,0,0,0,0,0,1
1753.HK,0,0,0,0,0,0,1,0
1756.HK,1,0,0,0,0,0,0,0
1758.HK,0,0,0,0,0,0,0,1
1763.HK,0,0,0,0,0,0,0,1
1767.HK,0,0,0,0,0,0,1,0
1817.HK,0,0,0,0,0,1,1,0
1842.HK,0,0,0,0,1,0,0,0
1843.HK,0,0,0,0,0,0,1,0
1858.HK,0,0,0,0,0,0,0,1
1878.HK,0,1,0,0,0,0,0,0
1891.HK,0,0,0,0,0,0,0,1
1903.HK,0,0,0,0,0,0,0,1
1906.HK,0,0,1,0,0,0,0,0
1909.HK,0,0,0,0,0,0,0,1
1912.HK,0,0,0,0,1,0,0,0
1917.HK,0,0,0,0,0,0,1,0
1927.HK,1,0,0,0,0,0,0,0
1936.HK,1,0,0,0,0,0,0,0
1940.HK,0,0,0,0,0,0,1,0
1941.HK,0,0,0,0,0,0,1,1
1942.HK,0,0,0,0,0,0,1,0
1945.HK,0,0,0,0,1,0,0,0
1947.HK,0,0,0,0,0,0,0,1
1949.HK,0,0,1,0,0,0,0,0
1955.HK,0,0,0,0,0,0,1,0
1962.HK,0,0,1,0,0,0,0,0
1980.HK,1,0,0,0,0,0,0,0
1983.HK,0,0,0,0,0,0,0,1
1985.HK,1,0,0,0,0,0,1,0
1987.HK,0,0,1,0,0,0,0,0
2009.HK,0,0,0,0,0,0,0,1
2012.HK,0,0,0,0,0,0,0,1
2033.HK,0,0,0,0,0,0,0,1
2051.HK,0,0,0,0,0,0,1,0
2102.HK,1,0,0,0,0,0,0,0
2110.HK,0,0,0,0,0,0,0,1
2112.HK,1,0,0,0,0,0,0,0
2122.HK,0,0,0,0,0,0,1,0
2125.HK,0,0,0,0,0,1,0,0
2126.HK,0,0,0,0,0,0,0,1
2127.HK,0,0,0,0,0,0,1,0
2131.HK,0,0,1,0,0,0,0,0
2139.HK,0,0,0,0,0,0,1,0
2170.HK,0,1,0,0,0,0,0,0
2176.HK,0,0,0,0,0,0,0,1
2178.HK,0,0,0,0,0,0,0,1
2185.HK,0,0,0,1,0,0,0,0
2203.HK,0,0,0,0,0,0,0,1
2216.HK,0,0,0,0,0,0,0,1
2218.HK,0,0,0,0,0,0,1,0
2222.HK,0,0,0,0,0,0,1,0
2236.HK,0,0,0,0,1,0,0,0
2237.HK,0,0,0,0,1,0,1,1
2326.HK,0,0,0,0,0,0,0,1
2348.HK,0,0,0,0,0,0,0,1
2363.HK,0,0,0,0,0,0,0,1
2416.HK,0,0,0,0,0,0,0,1
2422.HK,1,0,0,0,0,0,1,0
2425.HK,0,0,0,0,0,0,1,0
2427.HK,0,0,0,0,0,1,0,0
2439.HK,0,0,0,0,0,0,1,0
2483.HK,0,0,1,0,0,0,0,0
2501.HK,0,0,0,0,1,0,1,0
2668.HK,0,0,0,1,1,0,0,0
2683.HK,0,0,0,0,1,0,0,0
2779.HK,0,0,0,0,0,1,0,0
2878.HK,0,0,0,0,1,0,0,0
2886.HK,0,0,1,0,0,1,0,0
3322.HK,1,0,0,0,0,0,0,0
3348.HK,0,0,0,0,0,0,1,0
3666.HK,0,0,0,0,0,0,1,0
3768.HK,0,0,0,0,0,0,0,1
3816.HK,0,0,0,0,0,0,0,1
3828.HK,0,0,1,0,0,0,0,0
3838.HK,0,0,0,0,0,0,0,1
3989.HK,0,0,1,0,0,0,0,0
3991.HK,0,0,0,1,0,0,0,0
6036.HK,1,0,0,0,0,0,0,0
6100.HK,0,0,0,0,0,0,0,1
6117.HK,1,0,0,0,0,1,0,0
6609.HK,1,0,0,0,0,0,2,0
6826.HK,1,0,0,0,0,0,1,0
6828.HK,0,0,0,0,0,0,0,1
6839.HK,0,1,0,0,0,0,0,0
6918.HK,0,0,0,0,0,0,0,1
6922.HK,0,0,0,0,0,0,1,0
6928.HK,0,0,0,0,1,0,0,0
6988.HK,0,0,0,0,0,0,0,1
8017.HK,0,0,0,0,0,0,1,0
8020.HK,0,0,1,0,0,0,0,0
8041.HK,0,0,0,0,0,0,1,0
8063.HK,0,0,0,0,0,0,1,0
8073.HK,0,0,0,0,0,0,0,1
8079.HK,0,0,0,0,1,0,0,0
8081.HK,0,0,0,0,0,0,1,0
8082.HK,0,0,0,0,1,0,0,0
8136.HK,0,0,1,0,0,0,0,0
8196.HK,0,0,0,0,0,0,0,1
8200.HK,0,0,0,0,0,0,1,0
8219.HK,0,0,0,0,1,0,0,0
8227.HK,0,0,0,0,0,0,0,1
8250.HK,0,0,0,0,0,0,1,0
8257.HK,0,0,0,0,0,0,0,1
8270.HK,0,0,0,0,0,0,1,0
8277.HK,0,0,0,0,0,0,0,1
8349.HK,0,0,0,0,1,0,0,0
8372.HK,0,0,1,0,0,0,0,0
8391.HK,0,0,0,0,0,1,0,0
8473.HK,0,0,0,0,1,0,0,0
8482.HK,0,0,0,0,1,0,0,0
8512.HK,0,0,1,0,0,0,0,0
8513.HK,0,0,0,0,0,1,0,0
8637.HK,0,0,0,0,1,0,0,0
8645.HK,0,0,1,0,0,0,0,0
