index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,F10D,F20D,F30D,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,classification,BOSS_PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,VOLATILITY,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSSTU2,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,buy_price,cl_price,tp1_price,tp2_price,tp3_price,BOSS1,BOSS2,rolling_22_low,rolling_33_low,MA150,HHHL_PATTERN,WLow,WLDate,WHigh,WHDate,HHHL,MA_20,MA_50,MA_150,MA_200,High_52W,Low_52W,Trend_Template,Depth_60D,Depth_20D,Depth_5D,Contraction_Structure,Vol_MA50,Vol_MA10,Volume_Contraction,Resistance,Breakout_Detected,VCP,MLP,22DLow,33DLow,SNO
2026-03-04,0001.HK,61.95000076293945,62.29999923706055,59.04999923706055,59.84999847412109,59.84999847412109,13529763,0.0,0.0,0.0183793202483373,-0.0116958557408294,,62.75466042697165,62.78146343077256,60.80404419586364,57.78264940643456,52.49309813481662,False,False,True,False,3.25,1.6718750000000004,3.343750000000001,,,,,,,,,BY1-2025/12/29,True,False,False,False,False,False,False,False,0.0,0,0,0,0,59.52,52.02,66.5,73.47999999999999,80.46,False,False,59.04999923706055,58.400001525878906,54.902000172932944,,0.0,,0.0,,False,63.56250076293945,60.22100044250488,54.902000172932944,52.88800016403198,66.5,37.45000076293945,False,0.2097744475629993,0.1066565718578753,0.0901387080320124,False,9688872.4,9822588.7,False,66.44999694824219,False,False,False,,,1.HK
2026-01-30,1179.HK,38.119998931884766,38.77999877929688,38.0,38.27999877929688,38.27999877929688,2036328,0.0,0.0,0.0898642254729304,0.0694879815108748,0.0569488081163365,38.79424061054335,38.50345016322231,37.06468539269194,34.64443943041756,31.27024499380998,False,True,True,False,0.7799987792968821,0.7700004577636723,1.1550006866455085,LH,LHLLHH,36.380001068115234,2026-02-02 00:00:00,41.5,2026-02-10 00:00:00,41.77999877929688,0.15,SB1-2026/01/30,False,False,False,False,False,False,False,False,1.0,6,4,2,0,39.08,36.02,41.77999877929688,44.479997558593766,47.17999633789065,True,True,36.5,36.5,31.35246659596761,LHHLHHLLLH,39.59999847412109,2026-01-28,37.29999923706055,2026-01-29,False,38.79500026702881,37.41599998474121,31.35246659596761,30.374349927902223,40.08000183105469,23.450000762939453,True,0.2514970401833796,0.0858284003056326,0.0580807910526463,True,1697139.98,2033852.5,False,40.08000183105469,False,False,False,36.5,36.5,1179.HK
2026-01-23,0012.HK,30.65999984741211,30.979999542236328,30.0,30.200000762939453,30.200000762939453,9563811,0.0,0.0,0.0589403554413561,0.1403972767104275,0.0311257815550298,30.62359803418512,30.21204801601933,29.598830756248773,28.763255467578173,26.961337766824386,False,True,True,False,0.979999542236328,0.705000042915344,1.057500064373016,,,,,,,,,BY1-2025/12/22,True,False,False,False,False,False,False,False,0.0,0,0,0,0,30.04,27.8,32.0,33.96,35.92,False,False,28.07999992370605,28.07999992370605,28.22246669769287,,0.0,,0.0,,False,29.989000129699708,29.73119998931885,28.22246669769287,26.95675000190735,32.0,19.600000381469727,True,0.1543750166893005,0.1225000023841859,0.0536277830291704,True,6282601.92,9315433.9,False,32.0,False,False,False,,,12.HK
2026-01-14,1308.HK,27.68000030517578,28.200000762939453,27.07999992370605,27.57999992370605,27.57999992370605,4865517,0.0,0.0,0.064539546467349,0.1167512444619982,0.2255257190196062,27.427024236686808,27.500263234006447,27.813350321610883,27.62092921116265,25.35810299108876,False,False,False,False,1.120000839233402,0.7324999570846555,1.0987499356269832,LH,LHLLHH,25.63999938964844,2026-01-19 00:00:00,29.71999931335449,2026-01-29 00:00:00,30.100000381469727,0.17,SB1-2026/01/14,False,False,False,False,False,False,False,False,0.88,7,2,3,2,27.87,25.38,30.100000381469727,32.33000076293945,34.56000114440918,True,True,26.07999992370605,26.07999992370605,27.54873327891032,LHHLHHLLLH,28.700000762939453,2025-12-30,26.07999992370605,2026-01-07,False,27.46199970245361,28.15879985809326,27.54873327891032,26.02724995613098,33.0,15.699999809265137,False,0.2096969720089075,0.1762476295198772,0.068085107246423,True,4848400.08,5305447.3,False,31.65999984741211,False,False,False,26.07999992370605,26.07999992370605,1308.HK
2026-01-22,1833.HK,16.350000381469727,16.3700008392334,15.470000267028809,15.529999732971191,15.529999732971191,15869663,0.0,0.0,-0.1030263654414951,-0.141017361110045,-0.2144236948463206,16.44035146802253,16.06832525058828,15.637957014605222,15.156012746162183,13.523476345328104,False,True,True,False,0.9000005722045898,0.7719999313354491,1.1579998970031735,,,,,,,,,BY1-2025/11/26,True,False,False,False,False,False,False,False,0.0,0,0,0,0,15.82,12.71,18.790000915527344,21.760001831054687,24.73000274658203,False,False,13.850000381469728,12.84000015258789,14.810666672388711,,0.0,,0.0,,False,16.072499799728394,15.042599925994873,14.810666672388711,12.894450006484986,24.39999961853028,6.059999942779541,False,0.3166578218749632,0.2565194472404453,0.1357541566082439,False,18393478.32,20716307.1,False,18.790000915527344,False,False,False,,,1833.HK
2026-03-02,1833.HK,12.960000038146973,12.979999542236328,11.949999809265137,12.119999885559082,12.119999885559082,23228941,0.0,0.0,-0.0165016345836304,-0.0156765331829488,,13.3074120581264,13.930167600156343,14.559178781636112,14.705816581223026,13.601903834510574,False,False,False,False,1.0299997329711914,0.4431249499320981,0.6646874248981472,,,,,,,,,CL1-2025/11/26,False,False,False,False,True,False,False,False,0.0,0,0,0,0,,,,,,False,False,11.949999809265137,11.949999809265137,15.621200002034506,,0.0,,0.0,,False,13.84950008392334,14.840799980163574,15.621200002034506,13.691750011444093,24.39999961853028,6.059999942779541,False,0.3640234578493229,0.2169069705092158,0.1264620217337351,False,15688373.68,9012448.9,True,15.34000015258789,False,False,False,,,1833.HK
2026-02-05,0020.HK,2.3399999141693115,2.380000114440918,2.289999961853028,2.359999895095825,2.359999895095825,416481562,0.0,0.0,0.0466102281372928,-0.0254237056977092,-0.2033897971189133,2.42052211233791,2.4025844774063274,2.335213217398482,2.240167133173568,1.9891504064442325,False,True,True,False,0.0900001525878901,0.0956249833106993,0.143437474966049,,,,,,,,,BY1-2025/12/12,True,False,False,False,False,False,False,False,0.0,0,0,0,0,2.29,1.83,2.720000028610229,3.150000057220458,3.580000085830687,False,False,2.289999961853028,1.850000023841858,2.137066674232483,,0.0,,0.0,,False,2.4640000224113465,2.2652000093460085,2.137066674232483,1.963900004029274,2.940000057220459,1.2400000095367432,True,0.3198529395651858,0.1580882581743602,0.0840000152587888,False,544499924.6,444403953.3,True,2.720000028610229,False,False,False,,,20.HK
2026-01-16,2268.HK,73.0,73.3499984741211,68.5999984741211,70.8499984741211,70.8499984741211,6245633,0.0,0.0,-0.1136203163081354,-0.0783344466039824,-0.1863090646792838,70.70852794390555,69.1137873186123,68.38120614731007,65.66261184021522,54.51246147177908,True,True,True,False,4.75,2.855882532456342,5.711765064912684,,,,,,,,,BY1-2025/12/19,True,False,False,False,False,False,False,False,0.0,0,0,0,0,68.67,59.9,76.8499984741211,85.02999694824219,93.20999542236328,False,False,60.5,60.5,62.355666656494144,,0.0,,0.0,,False,68.10500049591064,68.14700035095215,62.355666656494144,56.21374998092652,85.5,24.700000762939453,True,0.2168284789644013,0.2127520988777493,0.1073519865166705,False,4455142.14,4986996.3,False,76.8499984741211,False,False,,,,2268.HK
2026-02-26,2268.HK,63.20000076293945,64.3499984741211,57.70000076293945,58.34999847412109,58.34999847412109,8314787,0.0,0.0,-0.0497000477638027,-0.0377034619669768,0.0094259308678774,63.52616610457362,64.45419981046963,65.75877143511214,65.16220496066008,56.32215369935189,False,False,False,False,6.649997711181641,2.4781260490417485,4.956252098083497,LL,LLLHLL,63.400001525878906,2026-02-27 00:00:00,54.29999923706055,2026-03-16 00:00:00,52.650001525878906,-0.17,CL1-2025/12/19,False,False,False,False,True,False,False,False,0.0,0,0,0,0,,,,,,False,False,57.70000076293945,57.70000076293945,65.95300008138021,LLHHLLLHLL,57.79999923706055,2026-02-04,68.0999984741211,2026-02-11,False,63.679999923706056,66.41400032043457,65.95300008138021,59.648500003814696,85.5,24.700000762939453,False,0.2491867025557628,0.1527165630573953,0.1458179399528841,False,4453443.22,3848301.7,False,70.5,False,False,,,,2268.HK
2026-01-21,0753.HK,7.449999809265137,7.599999904632568,7.329999923706055,7.570000171661377,7.570000171661377,32711420,0.0,0.0,-0.0039630395149338,-0.0726552415142357,-0.2443857780076787,7.186577123152202,7.020308415228982,6.711684462676274,6.330338787379481,5.715418585502538,True,True,True,False,0.2699999809265136,0.2537499964237213,0.3806249946355819,HH,HHLLHH,6.760000228881836,2026-02-02 00:00:00,7.570000171661377,2026-02-09 00:00:00,7.769999980926514,0.15,SB1-2026/01/21,False,False,False,False,False,False,False,False,0.8,4,2,0,2,7.27,6.69,7.769999980926514,8.269999961853028,8.769999942779542,True,True,6.300000190734863,6.150000095367432,5.935600001017253,LHHLHHHLHH,7.400000095367432,2026-01-07,6.789999961853027,2026-01-14,False,7.0920000076293945,6.702200002670288,5.935600001017253,5.731799998283386,7.599999904632568,4.090000152587891,True,0.2802631764695917,0.1157894901951926,0.1052631215705761,False,22797590.22,29728424.5,False,7.460000038146973,True,False,False,6.78000020980835,6.150000095367432,753.HK
2026-02-10,0753.HK,7.639999866485596,7.639999866485596,7.150000095367432,7.519999980926514,7.519999980926514,41872270,0.0,0.0,-0.1449468291692196,-0.2805851248492208,-0.3656914902892303,7.350417285819256,7.211804181521163,6.943658149869359,6.552627853193948,5.876286833995278,True,True,True,False,0.489999771118164,0.2546666145324707,0.381999921798706,HL,HLLHLL,7.579999923706055,2026-02-11 00:00:00,7.019999980926514,2026-02-24 00:00:00,6.96999979019165,-0.08,BY1-2026/01/21,True,False,False,False,False,False,False,False,0.0,0,0,0,0,7.27,6.69,7.769999980926514,8.269999961853028,8.769999942779542,False,False,6.760000228881836,6.760000228881836,6.077333332697551,HLHHLLHHHL,6.760000228881836,2026-02-02,7.769999980926514,2026-02-09,False,7.206999993324279,6.921800003051758,6.077333332697551,5.911450002193451,7.769999980926514,4.090000152587891,True,0.2110681944030118,0.1299870983943352,0.0900900657636381,False,24200491.64,31178804.4,False,7.769999980926514,False,False,False,,,753.HK
2026-03-02,0753.HK,6.480000019073486,6.599999904632568,6.239999771118164,6.429999828338623,6.429999828338623,64684618,0.0,0.0,-0.1586314165097047,-0.258164835416647,,6.9762688860590885,7.076527063552598,6.967618328776672,6.6388473159677694,5.965398528354168,False,False,True,False,0.3600001335144043,0.2587499618530273,0.388124942779541,,,,,,,,,CL1-2026/01/21,False,False,False,False,True,False,False,False,0.0,0,0,0,0,,,,,,False,False,6.239999771118164,6.239999771118164,6.177866662343343,,0.0,,0.0,,False,7.136500000953674,7.035799989700317,6.177866662343343,6.024800000190735,7.769999980926514,4.090000152587891,False,0.2084941942774508,0.1969112243969283,0.1498638090738861,False,26048733.86,23310801.5,False,7.769999980926514,False,False,False,,,753.HK
