Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,BOSS2,buy_price,tp1_price,tp2_price,SNO
2025-09-30,1055.HK,3.9800000190734863,4.179999828338623,3.9800000190734863,4.159999847412109,4.159999847412109,27959755,0.0,0.0,LH,LHLLHH,3.759999990463257,2025-10-08,4.670000076293945,2025-10-20,4.739999771118164,3.7799999713897705,SB1-2025/09/30,False,False,False,False,False,True,0.75,6.0,3.0,2.0,1.0,True,4.25,4.739999771118164,5.229999542236328,1055.HK
2025-09-18,1066.HK,5.920000076293945,6.059999942779541,5.849999904632568,5.980000019073486,5.867303848266602,27817814,0.0,0.0,LH,LHLLHH,5.519999980926514,2025-09-26,6.28000020980835,2025-10-08,6.300000190734863,5.53000020980835,SB1-2025/09/18,False,False,False,False,False,True,0.83,5.0,3.0,2.0,0.0,True,5.91,6.300000190734863,6.690000381469726,1066.HK
2025-09-11,0107.HK,4.579999923706055,4.639999866485596,4.519999980926514,4.610000133514404,4.610000133514404,3092000,0.0,0.0,LH,LHLLHH,4.389999866485596,2025-09-22,5.039999961853027,2025-10-20,5.119999885559082,4.409999847412109,SB1-2025/09/11,False,False,False,False,False,True,0.89,16.0,7.0,4.0,5.0,True,4.75,5.119999885559082,5.489999771118164,107.HK
2025-09-12,1072.HK,17.190000534057617,17.399999618530273,17.110000610351562,17.280000686645508,17.280000686645508,8049928,0.0,0.0,LH,LHLLHH,15.65999984741211,2025-09-23,19.34000015258789,2025-10-09,19.57999992370605,16.15999984741211,SB1-2025/09/12,False,False,False,False,False,True,0.8,8.0,3.0,3.0,2.0,True,17.62,19.57999992370605,21.5399998474121,1072.HK
2025-09-18,1083.HK,3.890000104904175,3.890000104904175,3.819999933242798,3.849999904632568,3.849999904632568,3036641,0.0,0.0,,,0.0,,0.0,,0.0,0.0,CL1-2025/07/28,False,False,False,True,False,False,0.0,,,,,False,,,,1083.HK
2025-10-02,0119.HK,1.7599999904632568,1.7599999904632568,1.7000000476837158,1.7200000286102295,1.7200000286102295,3278400,0.0,0.0,LH,LHLLHH,1.5800000429153442,2025-10-08,1.8799999952316284,2025-10-14,2.069999933242798,1.6299999952316284,,False,False,False,False,False,True,0.5,2.0,1.0,0.0,1.0,False,,,,119.HK
2025-09-24,1223.HK,1.4700000286102295,1.590000033378601,1.440000057220459,1.5299999713897705,1.5299999713897705,3981992,0.0,0.0,LH,LHLLHH,1.409999966621399,2025-10-02,1.6799999475479126,2025-10-13,1.7599999904632568,1.440000057220459,SB1-2025/09/24,False,False,False,False,False,True,0.67,4.0,0.0,3.0,1.0,True,1.58,1.7599999904632568,1.9399999809265136,1223.HK
2025-09-16,1263.HK,6.599999904632568,6.809999942779541,6.28000020980835,6.460000038146973,6.210000038146973,5711000,0.0,0.0,LH,LHLLHH,5.78000020980835,2025-09-29,7.099999904632568,2025-10-09,7.300000190734863,5.809999942779541,,False,False,False,False,False,True,0.5,3.0,2.0,1.0,0.0,False,,,,1263.HK
2025-09-22,1359.HK,1.3700000047683716,1.3700000047683716,1.3200000524520874,1.3300000429153442,1.3300000429153442,152553667,0.0,0.0,,,0.0,,0.0,,0.0,0.0,CL1-2025/07/24,False,False,False,True,False,False,0.0,,,,,False,,,,1359.HK
2025-10-06,1448.HK,2.9800000190734863,3.0,2.880000114440918,2.900000095367432,2.7909722328186035,4048100,0.0,0.0,LH,LHLLHH,2.740000009536743,2025-10-13,3.0199999809265137,2025-10-28,3.0799999237060547,2.7699999809265137,SB1-2025/10/06,False,False,False,False,False,True,0.73,8.0,3.0,2.0,3.0,True,2.91,3.0799999237060547,3.249999847412109,1448.HK
