sno,TP12,TP1,TP2,TP1C,CL1,BY1
0001.HK,1,0,0,0,1,0
0002.HK,0,0,0,0,2,0
0003.HK,1,0,0,0,0,0
0004.HK,2,0,0,1,0,0
0005.HK,1,0,0,0,1,0
0006.HK,0,1,0,0,0,0
0008.HK,3,0,0,1,0,0
0011.HK,2,0,0,0,0,0
0012.HK,3,0,0,0,3,0
0016.HK,0,0,0,1,0,0
0019.HK,1,1,0,0,2,0
0020.HK,1,1,0,0,0,0
0027.HK,0,0,0,0,1,0
0066.HK,0,0,0,1,0,0
0083.HK,0,0,0,1,0,0
0087.HK,2,0,0,1,0,0
0101.HK,0,0,0,0,1,0
0135.HK,2,0,0,1,0,0
0144.HK,0,0,0,1,1,0
0148.HK,2,0,0,0,1,0
0175.HK,0,0,0,1,0,0
0179.HK,2,0,0,0,2,0
0220.HK,0,0,0,0,1,0
0241.HK,0,1,0,0,0,0
0257.HK,0,0,0,0,2,0
0267.HK,1,0,0,1,1,0
0270.HK,2,0,0,0,0,0
0293.HK,0,0,1,0,0,0
0322.HK,1,0,0,0,0,0
0388.HK,1,0,0,0,0,0
0392.HK,1,0,0,0,0,0
0486.HK,2,0,0,0,0,0
0522.HK,0,0,0,0,1,0
0656.HK,0,1,0,0,1,0
0659.HK,1,0,0,0,2,0
0669.HK,0,0,0,0,1,0
0728.HK,1,0,0,0,0,0
0753.HK,0,0,1,1,0,0
0762.HK,1,0,0,0,1,0
0763.HK,1,0,0,0,0,0
0772.HK,0,0,0,0,1,0
0836.HK,0,0,0,1,0,0
0868.HK,0,0,0,0,0,1
0881.HK,0,0,0,0,1,0
0883.HK,0,0,0,0,1,0
0914.HK,1,0,0,0,0,0
0939.HK,1,0,0,0,1,0
0945.HK,0,0,0,1,2,0
0966.HK,0,0,0,0,1,0
0968.HK,0,0,0,1,0,0
0981.HK,0,0,0,0,3,0
0992.HK,1,0,0,0,0,0
0998.HK,1,0,0,0,0,0
1038.HK,3,0,0,0,0,0
1093.HK,0,0,0,0,1,0
1128.HK,1,0,0,0,0,0
1171.HK,0,0,0,0,1,0
1177.HK,0,0,0,0,1,0
1193.HK,0,0,0,1,0,0
1208.HK,0,0,0,0,1,0
1211.HK,0,0,0,0,1,0
1258.HK,0,0,0,0,1,0
1336.HK,0,0,0,0,1,0
1339.HK,1,0,0,0,0,0
1347.HK,2,0,0,0,0,0
1357.HK,0,0,0,0,1,0
1378.HK,1,0,0,0,0,0
1398.HK,1,0,0,0,2,0
1548.HK,0,0,0,0,1,0
1585.HK,1,0,0,0,0,0
1729.HK,1,0,0,0,0,0
1735.HK,1,0,0,0,0,0
1776.HK,0,1,0,0,1,0
1833.HK,1,0,0,0,0,0
1876.HK,1,0,0,0,1,0
1882.HK,3,0,0,0,1,0
1888.HK,1,0,0,0,2,0
1898.HK,0,0,0,0,1,0
1913.HK,1,0,0,0,0,0
1919.HK,2,0,0,0,0,0
1928.HK,1,0,0,0,0,0
1929.HK,2,0,0,0,1,0
1988.HK,3,0,0,0,0,0
2096.HK,1,0,0,0,0,0
2319.HK,2,0,0,0,0,0
2328.HK,0,0,0,0,3,0
2331.HK,0,0,0,0,1,0
2333.HK,1,0,0,0,0,0
2338.HK,0,0,0,0,1,0
2380.HK,0,0,0,0,2,0
2382.HK,0,0,0,0,1,0
2388.HK,0,0,0,0,1,0
2601.HK,1,0,0,0,1,0
2638.HK,1,0,0,1,0,0
2688.HK,0,1,0,0,0,0
2799.HK,0,0,0,0,2,0
2888.HK,1,0,0,0,0,0
3328.HK,0,0,0,0,1,0
3668.HK,1,0,0,0,0,0
3808.HK,1,0,0,0,1,0
6088.HK,1,0,0,0,0,0
9633.HK,1,0,0,0,0,0
9888.HK,1,0,0,0,0,0
9896.HK,1,0,0,0,0,0
