index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,F10D,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,LLLow,HHClose,HHHigh,VOLATILITY,22DLow,33DLow,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSSTU2,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,BOSS2,WLow,WHigh,HHHL,ADX,DIplus,DIminus,RSI,KC_middle,KC_upper,KC_lower,KC_Width,Price_zscore,Volume_zscore,Anomaly_Score,MA_50,MA_20,Price_Above_MA50,Price_Increase_50D,Price_Increase_30D,Resistance,Above_Resistance,Breakout_Percentage,Volatility_Decrease,Volatility_Decrease_Pct,Contraction_Structure,Contraction_Count,Valid_Contractions,KC_Contraction,Volume_Contraction,Volume_Spike,Breakout_Detected,ADX_Strength,DI_Bullish,RSI_Value,Anomaly_Free,Uptrend_Requirement,Contraction_Pattern,Volume_Signature,Momentum_Confirmation,VCP,DT,XGB,LGBM,LR,MLP,RF,SVM,VOTING,classification,BOSS_PATTERN,LLDate,HHDate,HHHL_PATTERN,WLDate,WHDate,SNO
2026-02-25,1090.HK,0.8100000023841858,0.8500000238418579,0.8100000023841858,0.8500000238418579,0.8500000238418579,100000,0.0,0.0,0.0235293886653287,0.8250593612373819,0.8341046303965106,0.8406874315219026,0.8203954335830713,0.8972396278722433,False,False,False,False,0.0400000214576721,0.0242856996400015,0.0364285494600023,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,27.970299675263806,25.000003725292185,47.50000856817203,44.82758833310382,0.8325992883865845,0.9105992557232392,0.7545993210499298,18.73649627729168,0.5400070578299406,0.0240763335937928,1,0.8613999998569488,0.8340000003576279,False,-7.608694736696152,7.594936804365715,0.8999999761581421,False,-5.555550404536735,-8.3%,-8.295296693145149,False,1,False,False,False,False,False,True,False,44.8,True,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,1090.HK
2026-02-27,1090.HK,0.8600000143051147,0.8799999952316284,0.8600000143051147,0.8700000047683716,0.8700000047683716,276000,0.0,0.0,0.0,0.8332303873339254,0.8372259672984116,0.8418369441982347,0.8213777023194139,0.8970225790825711,False,False,False,False,0.0199999809265136,0.0185714151178087,0.0278571226767131,0.8600000143051147,0.8700000047683716,0.8799999952316284,0.02,0.7699999809265137,0.7699999809265137,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.8399999737739563,0.7699999809265137,False,27.61031496327404,34.21052590301472,42.10527471558767,53.57142705090112,0.836161261375326,0.9071612294272364,0.7651612933234155,16.982362453656133,1.1766436960577271,1.481230515640178,1,0.8605999994277954,0.8344999998807907,True,-4.395606626909703,-1.136362558800321,0.8999999761581421,False,-3.333330242722041,-10.4%,-10.375462964019311,False,1,False,False,False,True,False,True,False,53.6,True,False,False,True,False,False,False,True,True,False,False,False,False,False,HH,HHHLLH,2026-03-02,2026-03-03,LHLLLHLLHH,2026-02-13,2026-02-20,1090.HK
2026-02-26,1104.HK,3.220000028610229,3.240000009536743,3.0899999141693115,3.200000047683716,3.200000047683716,3052000,0.0,0.0,0.209374946216122,3.0241921193426835,2.956050849695407,2.724673873703136,2.3834588325785715,1.8656627247326028,True,True,True,False,0.1500000953674316,0.1988889111412896,0.2983333667119344,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,15.153512469224356,37.91947165167336,16.107389799221977,68.87417009413113,2.968676343442872,3.449676385404542,2.487676301481202,32.40501734209519,1.1913502382918095,0.9325601621320492,1,2.7052000164985657,2.975500023365021,True,81.81818551268462,22.605370739535186,3.5,False,-8.57142720903669,-28.1%,-28.056786813187728,False,1,False,False,False,False,False,False,True,68.9,True,True,False,False,False,False,True,True,False,False,False,False,False,False,,,,,,,,1104.HK
2026-02-27,1104.HK,3.240000009536743,3.5799999237060547,3.200000047683716,3.5799999237060547,3.5799999237060547,9917125,0.0,0.0,0.0810055776629223,3.125248083772387,3.0103072909137243,2.758216071742466,2.407152715571195,1.879322782094941,True,True,True,False,0.3799998760223388,0.1988235501682057,0.2982353252523086,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,16.041324809084223,41.74757723527049,15.533988148513949,70.98765050541799,3.0268976368012703,3.5238976635041515,2.529897610098389,32.838905462828606,2.590583712329798,0.7100712651507464,1,2.740400013923645,2.993500018119812,True,96.70328684236672,13.650787787943392,3.5,True,2.285712105887277,-25.5%,-25.52542483299972,False,1,False,False,False,True,True,False,True,71.0,True,True,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,1104.HK
2026-02-25,1140.HK,0.2039999961853027,0.1959999948740005,0.1829999983310699,0.1930000036954879,0.1930000036954879,73764000,0.0,0.0,-0.0984456390594477,0.1947408916301146,0.1910640569197382,0.187936297834915,0.1783573723378111,0.153593813163424,False,True,True,False,0.0129999965429306,0.0095333337783813,0.014300000667572,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,26.74113931826452,28.571422235901355,25.59523482188243,56.57895175415114,0.191466383927528,0.2143663856322208,0.1685663822228351,23.920649917701216,0.432410409281046,3.615923962598506,1,0.1820399990677833,0.1880999997258186,True,17.682925832016256,-8.530801972038116,0.2160000056028366,False,-10.64814875497701,42.8%,42.7958500235867,False,1,False,False,False,True,False,True,True,56.6,True,False,False,True,True,False,False,True,True,True,False,False,False,False,,,,,,,,1140.HK
2026-02-26,1140.HK,0.1899999976158142,0.1959999948740005,0.1829999983310699,0.1879999935626983,0.1879999935626983,1692000,0.0,0.0,-0.0744680800471382,0.1935152737996752,0.1907976166278217,0.1879387957065928,0.1785483153323633,0.1538679659952907,False,True,True,False,0.0129999965429306,0.0096666673819224,0.0145000010728836,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,25.27707798726561,27.906971707287514,20.930230946332056,58.10810429846138,0.1911362515118299,0.2142362536218343,0.1680362494018255,24.171241119662444,0.0221078227166275,0.507244491843255,1,0.1823799988627433,0.1882499992847442,True,9.941514250738264,-8.292685267047348,0.2160000056028366,False,-12.962968200853876,40.6%,40.60821638296937,False,1,False,False,False,False,False,True,True,58.1,True,False,False,False,True,False,False,True,True,True,False,False,True,False,,,,,,,,1140.HK
2026-02-27,1140.HK,0.1949999928474426,0.1949999928474426,0.1780000030994415,0.1840000003576278,0.1840000003576278,2296000,0.0,0.0,-0.0543478551357701,0.1917852240829393,0.1902065195608483,0.1877843331438883,0.1786562694912795,0.1541080618866241,False,True,True,False,0.0169999897480011,0.0099999994039535,0.0149999991059303,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,23.71697955215445,26.229504592570517,20.21857967992959,59.72222164733168,0.190456608544763,0.2140566086878142,0.1668566084017119,24.782547923512404,0.3525400763932693,0.4793339792138713,1,0.1827199989557265,0.1879999995231628,True,10.179643764086974,-9.803919706698409,0.2160000056028366,False,-14.81481685886982,37.7%,37.70378663046978,False,1,False,False,False,False,False,True,True,59.7,True,False,False,False,True,False,False,True,True,True,False,False,True,False,,,,,,,,1140.HK
2026-03-02,1140.HK,0.1790000051259994,0.1790000051259994,0.1659999936819076,0.1739999949932098,0.1739999949932098,2348000,0.0,0.0,0.0,0.1885515460666249,0.1887972565549667,0.1872437708634695,0.1785640660358722,0.1542665633456407,False,False,True,False,0.0130000114440917,0.0108749996870756,0.0163124995306134,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,21.363809706282662,24.999996119489325,23.437500727595783,51.24999324791113,0.1888893120160437,0.2140893124213553,0.1636893116107321,26.68229359972593,1.1229739604451467,0.4849612025010028,1,0.1828799989819526,0.1871999993920326,False,4.819278081800395,-11.675128055437742,0.2160000056028366,False,-19.44444885193801,34.4%,34.36786733180996,True,2,False,True,False,False,False,True,True,51.2,True,False,False,False,True,False,False,True,True,True,False,False,False,False,,,,,,,,1140.HK
2026-02-25,1141.HK,1.4500000476837158,1.5399999618530271,1.4500000476837158,1.5399999618530271,1.5399999618530271,10533500,0.0,0.0,-0.2662337511541626,1.4898813829574502,1.3645972596823024,1.1863599099889377,1.053119028356896,0.8349496004349759,True,True,True,False,0.0899999141693113,0.0800000056624412,0.1200000084936618,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,41.91301335507922,21.311476210758517,13.114762107585229,80.55554175818462,1.3846792885607322,1.5806793042963585,1.188679272825106,28.309806805784326,1.0541911641668822,3.186129503620345,1,1.0570000004768372,1.3995000004768372,True,69.23076016159277,94.93669873723412,1.5800000429153442,False,-2.531650631382945,32.2%,32.199332815243494,True,2,True,False,True,True,False,True,True,80.6,True,True,False,True,False,False,True,True,True,False,False,False,False,False,,,,,,,,1141.HK
2026-02-26,1141.HK,1.5499999523162842,1.5499999523162842,1.3200000524520874,1.3200000524520874,1.3200000524520874,2892175,0.0,0.0,-0.1439394315685873,1.4589938683201114,1.360719241662284,1.1916006998894533,1.0584038011112562,0.8388145442757498,False,True,True,False,0.2299998998641967,0.0918750092387199,0.1378125138580798,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,1.5800000429153442,1.3899999856948853,False,39.35373146129393,16.54676555149652,20.863317188334577,49.12280775136536,1.37851936131229,1.5865193656038243,1.1705193570207555,30.177306192279747,0.7474531055206878,0.2808959146358499,1,1.065200001001358,1.40900000333786,True,45.05494663845207,67.08860969604574,1.5800000429153442,False,-16.455695151977128,32.6%,32.62597090331116,False,1,False,False,False,True,False,True,False,49.1,True,True,False,True,False,False,True,True,True,False,False,False,False,False,LH,,,,HHHLHHHLLH,2026-02-20,2026-02-23,1141.HK
2026-02-27,1141.HK,1.3300000429153442,1.340000033378601,1.1100000143051147,1.2400000095367432,1.2400000095367432,1425500,0.0,0.0,-0.0887096882734783,1.4191768030867715,1.3502219171296284,1.1934987120324845,1.061999765634533,0.8420112412101003,False,True,True,False,0.2300000190734863,0.0875000059604644,0.1312500089406966,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,38.84218951713681,15.131581578806395,31.578951496166923,39.34426293581986,1.3653270420955712,1.5663270411418968,1.1643270430492456,29.44349490621981,1.4784350476037176,0.2299808742046032,1,1.0726000010967254,1.4110000014305115,True,42.5287359471774,47.6190533632596,1.5800000429153442,False,-21.51898886985145,32.4%,32.43755075973942,True,3,True,False,False,False,False,True,False,39.3,True,True,False,False,False,False,True,True,True,False,False,False,False,False,,,,,,,,1141.HK
2026-03-02,1141.HK,1.2400000095367432,1.2400000095367432,1.1299999952316284,1.1299999952316284,1.1299999952316284,644750,0.0,0.0,0.0,1.3665992016585635,1.331072184790672,1.191008566275588,1.0633463048344756,0.8443059723178415,False,True,True,False,0.1100000143051147,0.0923529442618874,0.1385294163928312,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,38.52993513767125,15.03268243756373,30.06536487512749,33.33333333333333,1.3429149423942432,1.549914935718523,1.1359149490699636,30.82845931481341,2.232816674839166,0.5189892210329234,1,1.0778000009059907,1.4069999992847442,True,29.88505621129038,29.88505621129038,1.5800000429153442,False,-28.48101490259432,32.9%,32.94596385745143,True,3,True,False,False,False,False,True,False,33.3,True,True,False,False,False,False,True,True,True,False,False,False,False,False,,,,,,,,1141.HK
