index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,VOLATILITY,22DLow,33DLow,BOSS_STATUS,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSSTU2,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,BOSS2,buy_price,tp1_price,tp2_price,tp3_price,WLow,WLDate,WHigh,WHDate,HHHL,SNO
2025-12-22,1061.HK,3.900000095367432,3.940000057220459,3.839999914169312,3.839999914169312,3.839999914169312,210000,0.0,0.0,3.881695127239236,4.009746247357952,4.278565256969482,4.489877608862804,4.217657909754251,False,False,False,False,0.100000143051147,0.1088234957526712,0.1632352436290068,LH,LHLLHHHLHH,3.619999885559082,2025-12-30,4.03000020980835,2026-01-12,4.260000228881836,0.18,3.680000066757202,3.680000066757202,SB1-2025/12/22,False,False,False,False,False,False,False,False,False,False,False,True,0.86,6,2,2.0,2.0,True,3.94,4.260000228881836,4.580000457763672,4.900000686645508,4.260000228881836,2026-01-12,4.050000190734863,2026-01-13,False,1061.HK
2025-12-01,1091.HK,0.4300000071525574,0.4550000131130218,0.4250000119209289,0.449999988079071,0.449999988079071,7618000,0.0,0.0,0.4305395316100722,0.439405729007973,0.4405897999171031,0.4180620094306636,0.377311736078078,False,False,False,False,0.0300000011920928,0.0217647096690009,0.0326470645035014,LH,LHLLHHHLHH,0.4050000011920929,2025-12-09,0.5299999713897705,2025-12-22,0.5699999928474426,0.41,0.4050000011920929,0.4050000011920929,SB1-2025/12/01,True,True,True,False,False,False,False,False,False,False,False,True,0.78,7,1,4.0,2.0,True,0.49,0.5699999928474426,0.6499999856948853,0.7299999785423279,0.5699999928474426,2025-12-22,0.5,2025-12-23,False,1091.HK
2025-12-11,1114.HK,4.150000095367432,4.170000076293945,3.9600000381469727,4.079999923706055,4.079999923706055,32982086,0.0,0.0,4.024285515420799,3.915892983606411,3.838230526495392,3.7172163873953097,3.636509053311025,True,True,True,False,0.2100000381469726,0.1041177160599653,0.1561765740899479,HL,HLLHHLLHLL,4.260000228881836,2025-12-15,4.070000171661377,2025-12-16,3.9800000190734863,-0.07,3.5999999046325684,3.549999952316284,BY1-2025/10/28,True,True,True,True,False,False,False,False,False,False,False,False,0.0,0,0,,,False,,,,,3.9800000190734863,2025-12-16,4.239999771118164,2025-12-23,False,1114.HK
2025-12-01,1115.HK,0.5199999809265137,0.5600000023841858,0.5199999809265137,0.550000011920929,0.550000011920929,7320000,0.0,0.0,0.545324094732957,0.5663101521079507,0.5647903160554636,0.5235799519358217,0.437215862712714,False,False,False,False,0.0400000214576721,0.0242857251848493,0.0364285877772739,LH,LHLLHHHLLH,0.4950000047683716,2025-12-04,0.6100000143051147,2025-12-23,0.6200000047683716,0.25,0.5,0.5,SB1-2025/12/01,True,True,True,False,False,False,False,False,False,False,False,True,0.92,12,6,3.0,3.0,True,0.56,0.6200000047683716,0.6800000095367431,0.7400000143051146,0.6200000047683716,2025-12-23,0.5299999713897705,2026-01-05,False,1115.HK
2025-12-29,1115.HK,0.5899999737739563,0.6000000238418579,0.5600000023841858,0.5600000023841858,0.5600000023841858,10090000,0.0,0.0,0.5744360966351632,0.5640035880045964,0.5604833958301266,0.5320716006137609,0.4517118499949874,True,True,True,False,0.0400000214576721,0.0175000031789143,0.0262500047683715,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2025/12/01,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0,,,False,,,,,0.0,,0.0,,False,1115.HK
2026-01-09,1521.HK,1.0099999904632568,1.0099999904632568,0.9800000190734864,0.9900000095367432,0.9900000095367432,160000,0.0,0.0,1.007619261364422,1.0214361326733237,1.0730049985962795,1.1439800984477508,1.2104356073901266,False,False,False,False,0.0299999713897703,0.0116666555404663,0.0174999833106994,LH,LHLLHHHLLH,0.949999988079071,2026-01-12,1.0800000429153442,2026-01-20,1.090000033378601,0.15,0.9700000286102296,0.9700000286102296,SB1-2026/01/09,False,False,False,False,False,False,False,False,False,False,False,True,0.83,5,3,1.0,0.0,True,1.02,1.090000033378601,1.160000066757202,1.2300001001358032,1.090000033378601,2026-01-20,1.0299999713897705,2026-01-22,False,1521.HK
2025-12-01,0017.HK,6.960000038146973,6.980000019073486,6.789999961853027,6.829999923706055,6.829999923706055,6799153,0.0,0.0,7.097694889017286,7.273480034218154,7.351823991069871,7.056402841926797,6.720138040674533,False,False,False,False,0.1900000572204589,0.2262499928474426,0.3393749892711639,,,0.0,,0.0,,0.0,0.0,0.0,0.0,CL1-2025/10/27,False,False,False,False,False,False,False,True,False,False,False,False,0.0,0,0,,,False,,,,,0.0,,0.0,,False,17.HK
2025-12-16,1782.HK,4.090000152587891,4.110000133514404,4.090000152587891,4.099999904632568,4.099999904632568,115000,0.0,0.0,3.958373410943606,3.938682224888204,3.935087413006952,3.9530617853871415,4.13406051472837,False,False,True,False,0.0199999809265136,0.0424999594688414,0.0637499392032622,LH,LHLLHHHLLH,3.400000095367432,2025-12-23,5.099999904632568,2026-01-21,5.099999904632568,0.5,3.5,3.5,SB1-2025/12/16,False,True,True,False,False,False,False,False,False,False,False,True,0.73,11,8,0.0,0.0,True,4.25,5.099999904632568,5.949999809265137,6.799999713897705,5.099999904632568,2026-01-21,4.800000190734863,2026-01-22,False,1782.HK
2025-11-26,1789.HK,5.619999885559082,5.769999980926514,5.590000152587891,5.590000152587891,5.590000152587891,2386000,0.0,0.0,5.695981288902313,5.755399690308903,5.801865378552533,5.83807083061506,5.629966474211153,False,False,False,False,0.179999828338623,0.1859999656677246,0.2789999485015869,LH,LHLLHHHLHH,5.309999942779541,2025-12-16,6.059999942779541,2026-01-07,6.150000095367432,0.16,5.400000095367432,5.400000095367432,SB1-2025/11/26,False,False,True,False,False,False,False,False,False,False,False,True,0.73,8,5,2.0,1.0,True,5.73,6.150000095367432,6.570000190734863,6.990000286102294,6.150000095367432,2026-01-07,5.940000057220459,2026-01-12,False,1789.HK
2026-01-05,1873.HK,1.7699999809265137,1.8600000143051147,1.7599999904632568,1.7699999809265137,1.7699999809265137,12016500,0.0,0.0,1.849219068011745,1.9164873135610256,2.0500033370613044,2.091622296782866,1.8151467582780616,False,False,False,False,0.1000000238418579,0.0793749913573265,0.1190624870359898,LH,LHLLHHHLLH,1.7300000190734863,2026-01-06,2.1600000858306885,2026-01-13,2.240000009536743,0.29,1.7300000190734863,1.7300000190734863,SB1-2026/01/05,False,False,False,False,False,False,False,False,False,False,False,True,1.0,5,2,1.0,2.0,True,1.99,2.240000009536743,2.490000019073486,2.740000028610229,2.240000009536743,2026-01-13,1.840000033378601,2026-01-21,False,1873.HK
