Date,sno,Open,High,Low,Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA1,EMA2,T1_22,T1_10,EMA100,EMA250
2025-10-07,VNME,9.949999809265137,9.949999809265137,9.899999618530272,9.949999809265137,42800,0.0,0.0,9.939272455416358,9.931462745755246,9.928022973572167,False,True,True,True,,
2025-10-07,TVA,10.699999809265137,10.800000190734863,10.699999809265137,10.739999771118164,34100,0.0,0.0,10.62671675911026,10.45572612356306,10.290110671891824,False,True,True,True,10.181370750202577,
2025-10-07,TOUR,0.930999994277954,0.9459999799728394,0.9100000262260436,0.9160000085830688,190500,0.0,0.0,0.9362981963686876,0.9239780432233466,0.8989216736145307,False,True,False,True,0.8951963462922976,0.9187673766976132
2025-10-07,TDAC,10.369999885559082,10.369999885559082,10.350000381469728,10.350000381469728,1300,0.0,0.0,10.3472181938938,10.332924018139106,10.282332644637432,False,True,True,True,10.209543694779144,
2025-10-07,TACOU,10.739999771118164,10.760000228881836,10.739999771118164,10.760000228881836,1500,0.0,0.0,10.713121386673505,10.679239901044902,10.663209551055104,False,True,True,True,10.603295841783334,
2025-10-07,TACO,10.399999618530272,10.449999809265137,10.399999618530272,10.43000030517578,3700,0.0,0.0,10.396559282504048,10.36335836822166,10.354101741472912,False,True,True,True,10.35235562414914,
2025-10-07,TACHU,10.489999771118164,10.489999771118164,10.270000457763672,10.279999732971191,21100,0.0,0.0,10.26731072441132,10.254181199439175,10.230376063529308,False,True,True,True,10.184302957663718,
2025-10-07,TACH,10.170000076293944,10.18000030517578,10.149999618530272,10.149999618530272,14600,0.0,0.0,10.131052516315505,10.126251915805383,10.110363789828783,False,True,True,True,10.083079340108828,
2025-10-07,SZZL,10.100000381469728,10.100000381469728,10.100000381469728,10.100000381469728,3900,0.0,0.0,10.094828137413575,10.08935923867658,10.069102455297257,False,True,True,True,10.030332175613422,
2025-10-07,STAA,26.86000061035156,26.950000762939453,26.100000381469727,26.71999931335449,2399900,0.0,0.0,26.979701197402864,26.96963250277661,25.71762751791712,False,True,True,True,23.79121498173684,24.786945033388974
2025-10-07,SPEGU,10.199999809265137,10.222000122070312,10.199999809265137,10.222000122070312,700,0.0,0.0,10.190353271973247,10.159695743917869,10.122095296360518,False,True,True,True,,
2025-10-07,SGA,12.800000190734863,12.9399995803833,12.800000190734863,12.9399995803833,700,0.0,0.0,12.707017587695065,12.532830787810568,12.472398616495246,False,True,False,True,12.366576844157931,12.6708570563766
2025-10-07,SDHI,10.149999618530272,10.149999618530272,10.149999618530272,10.149999618530272,50700,0.0,0.0,10.147177549190726,10.136601980235191,10.119365469591193,False,True,True,True,10.101822844353062,
2025-10-07,RDAG,10.300000190734863,10.350000381469728,10.229999542236328,10.329999923706056,40300,0.0,0.0,10.306539788980444,10.28260451193545,10.281323364275028,False,True,True,True,10.304051525723304,
2025-10-07,RANG,10.414999961853027,10.43000030517578,10.399999618530272,10.399999618530272,7000,0.0,0.0,10.349806499520572,10.306965874094557,10.249501741359266,False,True,True,True,10.172638097966612,
2025-10-07,QSEA,10.25,10.25,10.130000114440918,10.140000343322754,5700,0.0,0.0,10.135275184195413,10.128705830512471,10.10551697445118,False,True,True,True,10.074103151047948,
2025-10-07,PMTR,10.239999771118164,10.5,10.229999542236328,10.279999732971191,36500,0.0,0.0,10.24072549282329,10.23478018886422,10.226442051013477,False,True,True,True,10.216335448933746,
2025-10-07,PGAC,10.274999618530272,10.274999618530272,10.274999618530272,10.274999618530272,50000,0.0,0.0,10.263191581615224,10.247777375550434,10.208592714067125,False,True,True,True,10.142817379105422,
2025-10-07,PELIU,11.119999885559082,11.119999885559082,10.3100004196167,10.3100004196167,200,0.0,0.0,10.26592102289129,10.229181984230252,10.170445638071454,False,True,True,True,,
2025-10-07,PELI,10.06999969482422,10.08199977874756,10.06999969482422,10.08199977874756,11400,0.0,0.0,10.061497671364844,10.049376477144534,10.032864183976963,False,True,True,True,10.01562992269592,
2025-10-07,PACHU,10.0600004196167,10.16100025177002,10.0600004196167,10.071999549865724,60500,0.0,0.0,10.045643274273406,10.034479628363387,10.028281716162844,False,True,True,True,10.023404916484967,
2025-10-07,OYSE,10.039999961853027,10.039999961853027,10.020000457763672,10.020000457763672,57900,0.0,0.0,10.02783600684193,10.026566592596849,10.012872052558448,False,True,True,True,,
2025-10-07,ORIQU,10.079999923706056,10.079999923706056,10.079999923706056,10.079999923706056,5200,0.0,0.0,10.119518741518268,10.09954891783257,10.065243883827405,False,True,True,True,,
2025-10-07,ONCHU,10.550000190734863,10.619999885559082,10.524999618530272,10.550000190734863,50800,0.0,0.0,10.533485995694164,10.513524164647048,10.476340514231438,False,True,True,True,10.419176563155894,
2025-10-07,NTWO,10.369999885559082,10.369999885559082,10.364999771118164,10.369999885559082,1300,0.0,0.0,10.361108941732452,10.343817399738468,10.285476610018728,False,True,True,True,10.192718946108972,
2025-10-07,NRDS,10.90999984741211,10.970000267028809,10.404999732971191,10.460000038146973,528300,0.0,0.0,10.841594885176091,10.816493739360356,10.715184115239566,False,True,False,True,10.710642742714608,11.2578870106125
2025-10-07,NPACU,10.31999969482422,10.359999656677246,10.31999969482422,10.359999656677246,3000,0.0,0.0,10.307786139916724,10.281126028862928,10.27405855397192,False,True,True,True,10.249051617474386,
2025-10-07,NHICU,10.34000015258789,10.34000015258789,10.34000015258789,10.34000015258789,100,0.0,0.0,10.331666196026742,10.323551513342844,10.282195577578769,False,True,False,True,10.211282584233365,
