Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,T1_22,T1_50,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,BOSS1,bullish_count,bullish_ratio,strong_bullish,medium_bullish,weak_bullish
2025-09-26,3866.HK,4.260000228881836,4.389999866485596,4.230000019073486,4.28000020980835,4.28000020980835,7098000,0.0,0.0,4.276046979891002,4.287266514403183,4.250177815876645,4.067710422157666,3.5074945278391643,False,False,False,False,LH,LHLLHH,4.090000152587891,2025-10-13,4.449999809265137,2025-10-17,True,3.0,0.75,0.0,3,0.0
2025-10-03,3633.HK,3.5999999046325684,3.5999999046325684,3.359999895095825,3.4200000762939453,3.4200000762939453,1122000,0.0,0.0,3.4385613098826973,3.5443833776015903,3.686660068699601,3.846791514201059,4.152332120828285,False,False,False,False,LH,LHLLHH,3.0299999713897705,2025-10-13,4.03000020980835,2025-10-17,True,3.0,0.75,1.0,0,2.0
2025-09-29,3618.HK,6.090000152587891,6.210000038146973,6.059999942779541,6.130000114440918,6.130000114440918,16356592,0.0,0.0,5.988985671013964,6.004624256280455,6.121012546975529,6.084046103453652,5.404309856436721,False,False,False,False,LH,LHLLHH,5.639999866485596,2025-10-08,6.630000114440918,2025-10-17,True,5.0,0.71,3.0,1,1.0
2025-10-02,2883.HK,6.679999828338623,6.769999980926514,6.630000114440918,6.739999771118164,6.739999771118164,2883883,0.0,0.0,6.76413692496062,6.877659798527149,6.91868287726192,6.799110346818804,6.736116222034291,False,False,False,False,LH,LHLLHH,6.559999942779541,2025-10-08,6.980000019073486,2025-10-10,True,2.0,1.0,1.0,1,0.0
2025-09-26,2517.HK,3.2799999713897705,3.400000095367432,3.1600000858306885,3.1600000858306885,3.1600000858306885,24378573,0.0,0.0,3.2043766545379264,3.2598376173945898,3.2877515388018765,3.13778731525951,3.0665743813603474,False,False,False,False,LH,LHLLHH,3.059999942779541,2025-10-09,3.650000095367432,2025-10-16,True,4.0,0.8,1.0,3,0.0
2025-09-23,2356.HK,9.68000030517578,9.850000381469728,9.640000343322754,9.84000015258789,9.84000015258789,958440,0.0,0.0,9.864589536517286,9.846026953448668,9.57740473762802,9.112589431150052,8.068289291421555,True,True,False,False,LH,LHLLHH,9.550000190734863,2025-09-26,9.880000114440918,2025-10-02,True,2.0,0.67,1.0,1,0.0
2025-09-18,2185.HK,7.349999904632568,7.869999885559082,7.349999904632568,7.519999980926514,7.519999980926514,1609900,0.0,0.0,7.583460408052472,7.447394242429342,6.442349144013525,5.186012119791636,4.059217528127018,True,True,False,False,LH,LHLLHH,5.309999942779541,2025-09-26,8.170000076293945,2025-10-08,True,6.0,1.0,1.0,2,3.0
2025-09-24,2158.HK,5.760000228881836,6.090000152587891,5.670000076293945,5.880000114440918,5.880000114440918,18682634,0.0,0.0,5.957959695953864,6.06977944034231,6.153051155018328,6.09936652667384,5.695237382620221,False,False,False,False,LH,LHLLHH,5.550000190734863,2025-09-29,7.139999866485596,2025-10-03,True,3.0,1.0,2.0,1,0.0
2025-09-22,2039.HK,8.119999885559082,8.119999885559082,7.809999942779541,7.889999866485596,7.889999866485596,1275950,0.0,0.0,7.970308186433573,8.025548721620398,7.778112927870347,7.162645361895501,6.344646337214218,False,False,True,False,LH,LHLLHH,7.590000152587891,2025-09-25,8.300000190734863,2025-10-02,True,3.0,0.75,2.0,0,1.0
2025-09-30,2016.HK,2.5999999046325684,2.619999885559082,2.569999933242798,2.5799999237060547,2.5799999237060547,4647938,0.0,0.0,2.6296254146124163,2.678938917778828,2.7330848784502497,2.7065009237267263,2.4970426022061987,False,False,False,False,LH,LHLLHH,2.4800000190734863,2025-10-13,2.630000114440918,2025-10-16,True,2.0,0.67,2.0,0,0.0
