行業編號,行業分類,升跌%,前升跌%,成交額,5天平均成交額,平均市盈率
070307,資訊科技產品經銷商,+0.030%,-0.560%,1.76億,2.64億,389.88
020606,皮具產品,-2.670%,+2.590%,5.31千萬,9.27千萬,3.79
020501,消閒用品,-0.230%,-1.440%,1.79千萬,2.40千萬,1.86
040301,人壽與健康保險,-0.730%,+1.770%,98.95億,82.43億,8.04
020405,照明產品,-0.820%,-1.120%,77.43萬,90.00萬,3.99
060105,液晶顯示器,-2.040%,+0.450%,1.63千萬,1.21千萬,7.50
100506,海運,-0.200%,+0.580%,9.23億,9.76億,7.52
100507,海港與服務,-0.460%,+0.400%,2.36億,3.07億,36.19
080301,金屬、玻璃與塑膠材料包裝,+0.020%,-0.270%,2.18百萬,2.32千萬,5.74
100202,電影與娛樂,-1.110%,+1.850%,8.74億,9.13億,9.50
040302,多元化保險,-0.580%,+1.320%,38.77億,27.91億,15.12
030202,石油天然氣設備與服務,-1.660%,+1.930%,10.16億,10.15億,24.12
030203,石油與天然氣勘探及生產,+0.610%,-0.310%,6.05億,3.18億,5.62
030204,石油與天然氣煉製及營銷,+0.210%,+0.490%,3.16千萬,3.83千萬,2.88
030205,石油與天然氣儲存及運輸,-0.980%,+1.860%,1.10千萬,1.28千萬,2.62
020303,視力產品,-0.780%,+1.590%,8.61千萬,1.68億,17.87
040205,其它綜合性金融服務,-1.020%,+0.290%,26.65億,25.82億,8.02
020203,包裝食品,+0.170%,-0.950%,3.93億,3.52億,26.27
080302,紙材料包裝,-0.090%,-0.120%,2.09千萬,2.61千萬,3.95
080502,紙製品,-0.930%,+1.520%,1.61億,2.01億,7.23
020302,個人用品,-0.160%,-0.180%,9.92千萬,7.03千萬,17.44
050202,製藥,-2.880%,+0.210%,86.91億,37.30億,17.96
020701,禽畜、肉類與海產,-0.950%,+1.030%,4.00億,3.20億,4.95
060102,線路板,+0.190%,-1.060%,9.00千萬,8.66千萬,14.38
040303,財產與意外傷害保險,-1.190%,+1.000%,10.02億,10.59億,8.62
090201,綜合房地產,-0.850%,+1.730%,16.63億,12.50億,4.16
090204,房地產開發,-1.570%,+5.590%,61.78億,55.20億,12.41
090202,房地產投資,-0.130%,+0.080%,8.15億,5.42億,17.83
090203,物業服務及管理,-0.480%,+2.200%,15.26億,14.00億,10.34
100203,出版,-0.380%,-1.360%,1.53億,1.30億,1.86
100504,鐵路基建,-0.650%,+0.560%,3.28億,3.12億,22.68
100402,餐館食肆,+0.320%,+2.370%,7.82億,7.30億,8.25
110102,衛星電訊服務,+1.700%,+0.240%,3.35千萬,7.99千萬,18.96
100106,安全與報警服務,-0.010%,-0.840%,3.36千萬,4.24千萬,70.43
070101,半導體產品及設備,-0.360%,-0.990%,87.86億,104.41億,35.58
060204,船舶建造,-1.770%,-2.840%,3.78千萬,4.00千萬,50.88
070306,智能手機,-1.550%,-2.320%,73.64億,67.75億,14.04
060107,太陽能產品,-1.630%,+0.890%,6.18億,9.82億,4.70
020605,體育用品,-1.240%,+1.830%,14.93億,20.95億,6.38
070205,系統軟件,-1.030%,-0.730%,11.88億,20.98億,20.72
110101,電訊服務,+0.100%,+0.490%,44.04億,47.51億,94.52
070301,電訊及網絡器材設備,+1.760%,-0.840%,44.24億,33.31億,53.71
020603,紡織品,-0.580%,+0.640%,1.40千萬,1.42千萬,7.98
020103,輪胎與橡膠,-0.390%,+0.100%,1.41百萬,4.49百萬,16.66
100403,旅遊,-1.810%,-1.450%,15.24億,22.30億,10.22
020502,玩具,+0.850%,-1.080%,26.53億,45.56億,23.82
100509,陸運,-1.030%,+1.050%,1.73億,2.46億,5.02
100204,電視廣播,-0.410%,-2.620%,4.11百萬,6.23百萬,1.71
020604,鐘錶珠寶,-2.040%,+1.470%,10.43億,20.29億,6.49
100307,鐘錶珠寶零售,+3.660%,-0.570%,5.67億,4.37億,23.98
120103,水公用事業,+0.110%,+0.840%,2.23億,1.73億,4.60
