sno,TP12,TP1,TP2,TP1C,CL1,BY1,,
1818.HK,1,0,0,0,2,0,3,33.33%
1833.HK,0,0,0,1,1,0,2,0.00%
1876.HK,3,0,0,0,2,0,5,60.00%
1882.HK,2,0,0,1,3,1,7,28.57%
1888.HK,0,0,0,2,4,0,6,0.00%
1898.HK,3,0,0,1,1,0,5,60.00%
1913.HK,2,0,0,0,1,1,4,50.00%
1919.HK,4,0,0,0,2,1,7,57.14%
1928.HK,0,0,0,0,3,0,3,0.00%
1929.HK,0,0,0,0,2,1,3,0.00%
1988.HK,2,2,0,0,1,1,6,66.67%
2015.HK,0,0,0,0,1,0,1,0.00%
2018.HK,3,0,0,1,3,0,7,42.86%
2020.HK,2,0,1,0,1,0,4,75.00%
2057.HK,0,0,0,0,0,1,1,0.00%
2096.HK,0,0,0,0,1,1,2,0.00%
2097.HK,0,0,0,0,0,1,1,0.00%
2099.HK,2,0,1,0,1,0,4,75.00%
2269.HK,2,0,0,0,3,0,5,40.00%
2282.HK,2,0,2,1,3,0,8,50.00%
2318.HK,4,0,1,0,3,0,8,62.50%
2319.HK,3,2,0,2,7,1,15,33.33%
2328.HK,3,0,2,1,1,0,7,71.43%
2331.HK,1,0,0,1,7,0,9,11.11%
2333.HK,1,0,0,0,5,0,6,16.67%
2359.HK,1,0,0,1,0,0,2,50.00%
2367.HK,0,0,0,1,2,0,3,0.00%
2378.HK,1,0,1,1,6,0,9,22.22%
2380.HK,3,1,0,1,0,1,6,66.67%
2382.HK,1,0,0,0,2,0,3,33.33%
2388.HK,2,0,1,0,6,1,10,30.00%
2400.HK,0,0,0,1,3,0,4,0.00%
2588.HK,1,0,0,0,0,0,1,100.00%
2600.HK,5,0,0,0,1,0,6,83.33%
2601.HK,1,0,0,0,4,1,6,16.67%
2618.HK,0,0,0,0,3,0,3,0.00%
2628.HK,4,0,0,0,4,0,8,50.00%
2638.HK,0,0,0,0,3,0,3,0.00%
2688.HK,2,1,1,1,3,2,10,40.00%
2799.HK,1,0,0,0,1,1,3,33.33%
2888.HK,4,0,1,1,10,0,16,31.25%
2899.HK,0,0,0,0,2,0,2,0.00%
3328.HK,4,0,1,0,6,1,12,41.67%
3606.HK,1,0,1,0,1,0,3,66.67%
3668.HK,1,0,0,0,0,0,1,100.00%
3690.HK,2,0,0,0,1,0,3,66.67%
3800.HK,1,0,0,2,0,0,3,33.33%
3808.HK,1,1,0,0,5,2,9,22.22%
3939.HK,1,0,1,0,1,0,3,66.67%
3968.HK,4,0,0,0,2,0,6,66.67%
6088.HK,2,0,1,0,3,0,6,50.00%
6181.HK,0,0,0,0,1,0,1,0.00%
6186.HK,0,0,0,0,1,0,1,0.00%
6690.HK,1,0,0,0,3,0,4,25.00%
6823.HK,0,0,0,1,3,0,4,0.00%
6862.HK,2,0,0,1,1,0,4,50.00%
6969.HK,2,0,0,0,1,0,3,66.67%
83690.HK,0,0,0,0,1,0,1,0.00%
9618.HK,0,0,0,0,2,0,2,0.00%
9633.HK,3,0,0,0,1,0,4,75.00%
9863.HK,1,0,0,0,1,0,2,50.00%
9866.HK,0,0,0,0,2,0,2,0.00%
9868.HK,0,0,0,1,0,0,1,0.00%
9888.HK,0,0,0,0,2,0,2,0.00%
9896.HK,2,0,0,0,1,0,3,66.67%
9961.HK,0,0,0,0,1,0,1,0.00%
9988.HK,1,0,0,1,1,0,3,33.33%
9992.HK,1,0,1,1,1,0,4,50.00%
9999.HK,2,0,0,0,2,0,4,50.00%
,326,36,35,110,495,44,1046,37.95%
