index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,F10D,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,classification,LLLow,HHClose,HHHigh,VOLATILITY,22DLow,33DLow,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSSTU2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,HHHL_PATTERN,WLow,WLDate,WHigh,WHDate,HHHL,ADX,DIplus,DIminus,RSI,KC_middle,KC_upper,KC_lower,KC_Width,Price_zscore,Volume_zscore,Anomaly_Score,MA_50,MA_20,Price_Above_MA50,Price_Increase_50D,Price_Increase_30D,Resistance,Above_Resistance,Breakout_Percentage,Volatility_Decrease,Volatility_Decrease_Pct,Contraction_Structure,Contraction_Count,Valid_Contractions,KC_Contraction,Volume_Contraction,Volume_Spike,Breakout_Detected,ADX_Strength,DI_Bullish,RSI_Value,Anomaly_Free,Uptrend_Requirement,Contraction_Pattern,Volume_Signature,Momentum_Confirmation,VCP,BOSS_PATTERN,LLDate,HHDate,SNO
2026-02-12,1115.HK,0.6100000143051147,0.6200000047683716,0.5799999833106995,0.6000000238418579,0.6000000238418579,11380000,0.0,0.0,0.6200000047683716,0.6061582824909786,0.5926936531427012,0.5801542732241479,0.5569965278470961,0.4836170684378454,False,True,True,False,0.0400000214576721,0.0262499824166297,0.0393749736249446,HL,0.6499999761581421,0.6200000047683716,0.5899999737739563,-0.09,0.5299999713897705,0.5299999713897705,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,HLHHHLHHHL,0.5600000023841858,2026-02-06,0.6700000166893005,2026-02-09,True,26.193644406489927,30.612254331435068,18.367362330236165,60.000015894580784,0.594270457663125,0.6592704254766169,0.5292704898496332,21.875550761548524,0.5137465448687268,0.491500812535413,1,0.5705999970436096,0.5844999998807907,True,15.384624201870851,3.448282949422888,0.6700000166893005,False,-10.447759866236506,-13.7%,-13.748178679927836,True,2,True,True,True,False,False,True,True,60.0,True,False,True,True,True,False,HLLHHL,2026-02-13,2026-02-14,1115.HK
2026-02-13,1138.HK,17.3799991607666,17.3799991607666,16.1299991607666,16.25,16.25,37016365,0.0,0.0,16.25,15.607301774297484,14.35240668384221,12.684285820697433,11.193756305935292,9.38199089651778,True,True,True,False,1.25,0.6770587808945601,1.01558817134184,HL,17.3799991607666,16.25,16.1299991607666,-0.07,12.520000457763672,10.420000076293944,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,HLHHHLHHHL,14.420000076293944,2026-02-06,18.13999938964844,2026-02-12,True,65.39225591891368,43.44000244140626,10.160003662109396,67.01708242352058,14.532387990896671,16.207387895529244,12.857388086264104,23.051956852264304,1.3219527345528788,1.0530244667079545,1,11.821800022125244,14.432000017166136,True,56.25000573121608,68.04550022535119,18.13999938964844,False,-10.418960602209092,-13.0%,-13.033602423263355,False,1,False,False,False,True,False,True,True,67.0,True,True,False,True,True,False,HLLHLL,2026-02-14,2026-02-15,1138.HK
2026-02-13,1270.HK,0.6100000143051147,0.6100000143051147,0.5899999737739563,0.6000000238418579,0.6000000238418579,1618704,0.0,0.0,0.6000000238418579,0.5413480464784431,0.5193476985702806,0.5054681711632253,0.5030760020739856,0.5165527552162987,False,False,True,False,0.0200000405311584,0.0104166691501935,0.0156250037252903,HL,0.6100000143051147,0.6000000238418579,0.5899999737739563,-0.03,0.4850000143051147,0.4749999940395355,False,False,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,LLHHHLHHHL,0.5,2026-02-10,0.6100000143051147,2026-02-12,True,37.00433902133385,56.1403574815879,15.78946377761814,80.555568433106,0.5216548467229942,0.5566548401664834,0.4866548532795051,13.418831882175382,2.690676507741876,0.313854692414265,1,0.4970000004768372,0.5114999994635582,True,20.000004768371586,26.315796078077064,0.6100000143051147,False,-1.6393426604503258,-30.8%,-30.79555013820624,True,2,True,True,True,True,False,True,True,80.6,True,True,True,True,False,False,HLLHLL,2026-02-14,2026-02-15,1270.HK
2026-02-12,1523.HK,8.100000381469727,8.550000190734863,8.100000381469727,8.420000076293945,8.420000076293945,919534,0.0,0.0,8.390000343322754,7.872016383462279,7.36677580768851,6.878621179336056,6.610701751952398,6.068885027902278,True,True,True,False,0.4499998092651367,0.2286667188008626,0.3430000782012939,HL,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,HLHHHLHHHL,6.699999809265137,2026-02-02,8.75,2026-02-10,True,47.0628532067634,42.40362404785324,11.564606063961252,77.7343719440983,7.430164844488297,8.003164941763076,6.857164747213516,15.42361735621067,1.732311309583922,0.2792084848516757,1,6.562599973678589,7.284499955177307,True,40.09982954460704,39.86711134504119,8.75,False,-3.771427699497768,0.9%,0.8914885841351028,False,1,False,False,False,False,False,True,True,77.7,True,True,False,False,False,False,,,,1523.HK
2026-02-11,1757.HK,8.279999732971191,8.380000114440918,7.809999942779541,8.119999885559082,8.119999885559082,2000000,0.0,0.0,9.869999885559082,7.637148536435445,6.60063767322645,4.872873959687131,3.280995914476736,,False,False,True,False,0.570000171661377,0.6946666717529297,1.0420000076293947,HL,9.869999885559082,9.869999885559082,8.119999885559082,-0.18,4.0,4.0,False,False,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,HLHHHLHHHL,4.0,2026-01-23,8.880000114440918,2026-02-10,True,21.081004543937077,36.01462992184535,19.56123746302932,75.31915118112569,6.7601878295573385,8.33818789822189,5.182187760892788,46.68509539824071,1.230374630509456,0.3298022572952463,1,4.274199979305267,6.644999980926514,True,631.5315117939333,168.87417009413113,8.880000114440918,False,-8.558561025758335,-18.8%,-18.751772600544804,True,2,True,False,True,False,False,True,True,75.3,True,True,False,True,False,False,HLHHHL,2026-02-13,2026-02-14,1757.HK
2026-02-11,1851.HK,4.46999979019165,4.46999979019165,3.660000085830689,4.010000228881836,4.010000228881836,134000,0.0,0.0,4.010000228881836,3.9172964585120207,3.579691759018175,3.012796537384264,2.4247588974909746,1.7368023346528252,True,True,True,False,0.8099997043609615,0.1021428789411272,0.1532143184116909,HL,4.46999979019165,4.010000228881836,3.660000085830689,-0.18,3.3399999141693115,3.0,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,HLHHHLHHHL,3.619999885559082,2026-02-02,4.570000171661377,2026-02-10,True,80.98935806010752,50.92348512356119,21.37202407687972,69.64286880022932,3.630914867795689,4.079914892591222,3.1819148430001567,24.73206016356524,1.095914277470038,0.1005991339008474,1,2.8553999948501585,3.5740000009536743,True,90.04741366111408,65.020581017231,4.570000171661377,False,-12.253827609287786,1.0%,1.0298263302156885,False,1,False,False,False,False,False,True,True,69.6,True,True,False,False,True,False,HLLHLL,2026-02-12,2026-02-13,1851.HK
2026-02-11,1872.HK,7.519999980926514,7.699999809265137,7.25,7.570000171661377,7.570000171661377,1470000,0.0,0.0,7.75,7.2633443197872465,7.059723695973792,6.661587908930552,6.049441298624389,4.620638076645806,True,True,True,False,0.4499998092651367,0.3606251180171966,0.540937677025795,HL,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,LLHHHLHHHL,7.139999866485596,2026-02-09,8.050000190734863,2026-02-10,True,15.828617625976056,21.025636553007736,17.777773068276055,55.20833643774179,7.09101200867624,7.9120122032258,6.27001181412668,23.156079655344584,1.3670147141543894,0.1235974424352683,1,6.525999984741211,7.1355000019073485,True,34.93761125668858,20.15872924566332,8.050000190734863,False,-5.962733014912741,12.2%,12.246617571354744,True,3,False,True,False,False,False,False,True,55.2,True,True,False,False,False,False,,,,1872.HK
2026-02-12,1896.HK,7.349999904632568,7.389999866485596,7.099999904632568,7.190000057220459,7.190000057220459,10992641,0.0,0.0,7.460000038146973,7.333371930510784,7.242927834140243,7.16383736632023,7.215814464696601,7.442351254148347,False,False,False,False,0.2899999618530273,0.2013333002726237,0.3019999504089355,HL,7.5,7.460000038146973,7.099999904632568,-0.05,7.010000228881836,6.96999979019165,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,HLHHHLHHHL,7.03000020980835,2026-02-05,7.920000076293945,2026-02-10,True,18.576748209282275,29.461747993535003,18.980162624469045,51.1494243423757,7.255844541258453,7.707844396299957,6.803844686216949,12.458917841233388,0.2234483788442728,0.8434534682269283,1,7.068400020599365,7.228500080108643,True,6.047195202427566,6.835067412233091,7.920000076293945,False,-9.217171869208869,24.4%,24.449239285387936,True,2,True,True,False,True,False,False,True,51.1,True,False,True,True,False,False,HLLHLL,2026-02-13,2026-02-14,1896.HK
2026-02-09,1963.HK,8.020000457763672,8.050000190734863,7.809999942779541,7.949999809265137,7.949999809265137,822000,0.0,0.0,7.889999866485596,7.844667745359032,7.795807769660011,7.845935727499592,7.8521473304458675,7.4447331931703316,False,False,False,False,0.2400002479553222,0.140714406967163,0.2110716104507446,HL,8.050000190734863,7.889999866485596,7.800000190734863,-0.03,7.429999828338623,7.429999828338623,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,LLHHHLHHHL,7.659999847412109,2026-02-02,8.149999618530273,2026-02-05,True,34.447941309619736,27.34371434782017,13.671903740022511,64.34108125970769,7.79569080580898,8.154690964118917,7.436690647499043,9.210220550112808,1.3244237390093263,0.8863283450973837,1,7.902399969100952,7.700999975204468,True,-4.101328759377846,-0.8728259913099109,8.149999618530273,False,-2.453985504617773,2.1%,2.110287276711009,False,1,False,False,False,False,False,True,True,64.3,True,False,False,False,True,False,HLLHLL,2026-02-11,2026-02-13,1963.HK
2026-02-13,0200.HK,4.650000095367432,4.739999771118164,4.389999866485596,4.710000038146973,4.710000038146973,19293000,0.0,0.0,4.710000038146973,4.632813311484812,4.517578799012781,4.532529182865212,4.628689915420824,4.679041065463484,False,False,False,False,0.3499999046325683,0.1750000715255737,0.2625001072883606,HL,4.739999771118164,4.710000038146973,4.389999866485596,-0.07,4.170000076293945,4.019999980926514,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,HLHHHLHHHL,4.170000076293945,2026-01-30,4.900000095367432,2026-02-09,True,34.82612329663563,25.76269679630169,15.593233763294863,63.57142711172358,4.527776441704043,4.937776479851016,4.117776403557071,18.11043647696828,1.190247548308479,2.903602054795843,1,4.477799997329712,4.45299997329712,True,-5.799999237060547,9.5348797494365,4.900000095367432,False,-3.8775521127048393,-22.2%,-22.237595435250988,True,2,False,True,False,True,False,True,True,63.6,True,False,False,True,True,False,HLLHLL,2026-02-14,2026-02-15,200.HK
