Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,BOSS_STATUS,22DLow,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,buy_price,tp1_price,tp2_price
2025-09-26,9933.HK,2.039999961853028,2.039999961853028,2.009999990463257,2.0299999713897705,2.0299999713897705,44000,0.0,0.0,LH,LHLLHH,1.7000000476837158,2025-10-03,2.3399999141693115,2025-10-09,2.640000104904175,SB1-2025/09/26,1.7999999523162842,True,1.0,3.0,1.0,1.0,1.0,2.17,2.640000104904175,3.1100002098083497
2025-09-24,3877.HK,1.909999966621399,1.940000057220459,1.8799999952316284,1.909999966621399,1.8597368001937864,19038000,0.0,0.0,LH,LHLLHH,1.7799999713897705,2025-10-06,1.950000047683716,2025-10-21,1.9700000286102293,SB1-2025/09/24,1.7899999618530271,True,0.8,8.0,0.0,4.0,4.0,1.88,1.9700000286102293,2.060000057220458
2025-09-26,3866.HK,4.260000228881836,4.389999866485596,4.230000019073486,4.28000020980835,4.28000020980835,7098000,0.0,0.0,LH,LHLLHH,4.090000152587891,2025-10-13,4.449999809265137,2025-10-17,4.5,SB1-2025/09/26,4.099999904632568,True,0.75,3.0,0.0,3.0,0.0,4.3,4.5,4.7
2025-10-03,3633.HK,3.5999999046325684,3.5999999046325684,3.359999895095825,3.4200000762939453,3.4200000762939453,1122000,0.0,0.0,LH,LHLLHH,3.0299999713897705,2025-10-13,3.839999914169312,2025-10-20,4.510000228881836,SB1-2025/10/03,3.140000104904175,True,0.6,3.0,1.0,0.0,2.0,3.77,4.510000228881836,5.250000457763672
2025-09-29,3618.HK,6.090000152587891,6.210000038146973,6.059999942779541,6.130000114440918,6.130000114440918,16356592,0.0,0.0,LH,LHLLHH,5.639999866485596,2025-10-08,6.630000114440918,2025-10-17,6.690000057220459,SB1-2025/09/29,5.710000038146973,True,0.71,5.0,3.0,1.0,1.0,6.16,6.690000057220459,7.220000114440918
2025-09-26,2517.HK,3.2799999713897705,3.400000095367432,3.1600000858306885,3.1600000858306885,3.1600000858306885,24378573,0.0,0.0,LH,LHLLHH,3.059999942779541,2025-10-09,3.7699999809265137,2025-10-22,3.849999904632568,SB1-2025/09/26,3.069999933242798,True,0.67,6.0,1.0,4.0,1.0,3.45,3.849999904632568,4.249999809265136
2025-09-22,2039.HK,8.119999885559082,8.119999885559082,7.809999942779541,7.889999866485596,7.889999866485596,1275950,0.0,0.0,LH,LHLLHH,7.590000152587891,2025-09-25,8.300000190734863,2025-10-02,8.34000015258789,SB1-2025/09/22,7.599999904632568,True,0.75,3.0,2.0,0.0,1.0,7.97,8.34000015258789,8.710000305175782
2025-10-09,1910.HK,17.010000228881836,17.239999771118164,16.959999084472656,17.049999237060547,17.049999237060547,2112028,0.0,0.0,LH,LHLLHH,15.699999809265137,2025-10-14,17.290000915527344,2025-10-22,17.709999084472656,SB1-2025/10/09,15.949999809265137,True,0.83,5.0,1.0,3.0,1.0,16.7,17.709999084472656,18.719998168945317
2025-09-24,1223.HK,1.4700000286102295,1.590000033378601,1.440000057220459,1.5299999713897705,1.5299999713897705,3981992,0.0,0.0,LH,LHLLHH,1.409999966621399,2025-10-02,1.6799999475479126,2025-10-13,1.7599999904632568,SB1-2025/09/24,1.440000057220459,True,0.67,4.0,0.0,3.0,1.0,1.58,1.7599999904632568,1.9399999809265136
2025-09-22,1119.HK,1.1399999856948853,1.1799999475479126,1.1299999952316284,1.149999976158142,1.149999976158142,9894800,0.0,0.0,LH,LHLLHH,0.9900000095367432,2025-09-26,1.190000057220459,2025-10-03,1.2300000190734863,SB1-2025/09/22,1.0399999618530271,True,1.0,4.0,1.0,2.0,1.0,1.11,1.2300000190734863,1.3500000381469726
2025-09-30,1055.HK,3.9800000190734863,4.179999828338623,3.9800000190734863,4.159999847412109,4.159999847412109,27959755,0.0,0.0,LH,LHLLHH,3.759999990463257,2025-10-08,4.670000076293945,2025-10-20,4.739999771118164,SB1-2025/09/30,3.7799999713897705,True,0.75,6.0,3.0,2.0,1.0,4.25,4.739999771118164,5.229999542236328
2025-10-02,999.HK,10.550000190734863,10.550000190734863,9.93000030517578,9.93000030517578,9.93000030517578,224189,0.0,0.0,LH,LHLLHH,9.600000381469728,2025-10-06,11.09000015258789,2025-10-26,11.329999923706056,SB1-2025/10/02,9.729999542236328,True,0.64,7.0,2.0,3.0,2.0,10.47,11.329999923706056,12.189999847412112
2025-09-30,639.HK,2.759999990463257,2.8499999046325684,2.7699999809265137,2.8399999141693115,2.7799999713897705,10113433,0.0,0.0,LH,LHLLHH,2.720000028610229,2025-10-08,3.2699999809265137,2025-10-16,3.299999952316284,SB1-2025/09/30,2.7300000190734863,True,0.83,5.0,3.0,1.0,1.0,3.01,3.299999952316284,3.589999904632569
