index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,F10D,F20D,F30D,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,classification,BOSS_PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,VOLATILITY,22DLow,33DLow,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSSTU2,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,BOSS2,HHHL_PATTERN,WLow,WLDate,WHigh,WHDate,HHHL,MA_20,MA_50,MA_150,MA_200,High_52W,Low_52W,Trend_Template,Depth_60D,Depth_20D,Depth_5D,Contraction_Structure,Vol_MA50,Vol_MA10,Volume_Contraction,Resistance,Breakout_Detected,VCP,SVM,MLP,RF,SNO
2026-02-27,1772.HK,67.3499984741211,70.30000305175781,67.0999984741211,68.80000305175781,68.80000305175781,14574655,0.0,0.0,-0.115552386991262,0.0799418569191396,0.0799418569191396,65.29170642972352,63.367663655464185,59.90945446610509,53.806875169603,41.63658111527879,True,True,True,False,3.2000045776367188,3.2088239333208866,6.417647866641773,,,0.0,,0.0,,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,,0.0,,0.0,,False,63.04750003814697,59.54320014953613,46.64533334096273,40.29700002670288,72.44999694824219,16.219999313354492,True,0.3628709207484368,0.2538569637322354,0.1234221974067764,False,16545507.38,10769502.2,True,72.44999694824219,False,False,False,True,False,1772.HK
2026-03-02,1772.HK,67.5999984741211,68.9000015258789,65.0,66.3499984741211,66.3499984741211,10317244,0.0,0.0,-0.0467219072405887,0.119819212667164,,65.48412316506852,63.626997117956094,60.162024819360624,54.05525384890039,41.83350077550861,True,True,True,False,3.900001525878906,3.1705889982335704,6.341177996467141,,,0.0,,0.0,,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,,0.0,,0.0,,False,62.90500011444092,59.87660011291504,46.91966665903727,40.53195001602173,72.44999694824219,16.219999313354492,True,0.3628709207484368,0.2538569637322354,0.0960730127675183,False,16479499.58,11349283.6,True,71.30000305175781,False,False,False,True,False,1772.HK
2026-03-03,1772.HK,66.30000305175781,66.94999694824219,58.79999923706055,59.150001525878906,59.150001525878906,25900766,0.0,0.0,0.0481825596044014,0.2561285060871989,,64.33246468521585,63.23769315342765,60.12233763138095,54.15613994151382,41.97148086116893,False,True,True,False,8.14999771118164,3.0687510967254634,6.137502193450927,,,0.0,,0.0,,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,,0.0,,0.0,,False,62.42750034332276,60.04060012817383,47.14233333587647,40.73060002326965,72.44999694824219,16.219999313354492,False,0.3628709207484368,0.2538569637322354,0.1753156140207078,False,16626551.16,12724443.4,True,71.30000305175781,False,False,False,True,False,1772.HK
2026-03-26,1772.HK,65.55000305175781,69.75,65.4000015258789,68.0,68.0,20434674,0.0,0.0,0.0926471037023208,,,62.34626567628399,61.816573476339,60.59936913275366,56.11933765501414,44.37810156023187,True,True,True,False,4.349998474121094,3.2500007629394534,6.500001525878907,,,0.0,,0.0,,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,,0.0,,0.0,,False,61.44000034332275,62.549000091552735,50.81753339131673,44.250650024414064,72.44999694824219,16.219999313354492,True,0.2877846701500375,0.2275960614527625,0.203584240328881,False,15460218.36,15281393.8,False,71.30000305175781,False,False,False,True,False,1772.HK
2026-02-27,2015.HK,69.5,69.5,68.1500015258789,68.75,68.75,10412754,0.0,0.0,-0.012363614169034,0.0189091352982955,0.0189091352982955,70.54751151442808,69.66236423224478,69.89538404760262,74.92395549775384,85.16701921778105,False,False,False,False,1.3499984741210938,2.27499877081977,4.54999754163954,,,0.0,,0.0,,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,,0.0,,0.0,,False,69.80499954223633,67.09899993896484,83.16533345540364,89.88800006866455,138.3000030517578,61.150001525878906,False,0.1911375296282395,0.1613756242656329,0.0727890948860012,True,12230354.12,10491055.5,False,75.5999984741211,False,False,False,True,False,2015.HK
2026-03-04,2015.HK,65.8499984741211,66.80000305175781,64.44999694824219,65.8499984741211,65.8499984741211,11625492,0.0,0.0,0.015186029205346,0.0637813921785785,,68.78868229076139,68.9632412664122,69.54208144025651,74.45000414967384,84.73132021120065,False,False,False,False,2.350006103515625,2.4222215016682944,4.844443003336589,HL,HLLHHL,71.30000305175781,2026-03-12,69.9000015258789,2026-03-16,66.30000305175781,-0.07,64.44999694824219,64.44999694824219,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,LLHHHLHHHL,63.400001525878906,2026-02-02,75.5999984741211,2026-02-11,True,69.74999961853027,67.105,82.02466679890951,89.33700004577636,138.3000030517578,61.150001525878906,False,0.1911375296282395,0.1613756242656329,0.1023677686784678,False,12358290.84,11355489.5,False,75.5999984741211,False,False,False,True,False,2015.HK
2026-03-03,0285.HK,31.559999465942383,32.099998474121094,29.57999992370605,29.71999931335449,29.71999931335449,18693024,0.0,0.0,0.0531628519586169,0.0296097270675177,,32.053978183985606,32.767617048949695,33.622179421420086,34.69803804678423,36.51508449722836,False,False,False,False,2.5199985504150426,0.9105883205638214,1.3658824808457322,,,0.0,,0.0,,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,,0.0,,0.0,,False,32.818999671936034,33.68000007629394,36.435400072733565,35.48305012702942,58.75,26.64999961853028,False,0.1918032470787859,0.1490218253151708,0.1079613974722454,False,9352490.48,8924880.3,False,34.84000015258789,False,False,False,True,False,285.HK
2026-03-05,0285.HK,29.979999542236328,30.21999931335449,29.200000762939453,29.39999961853028,29.39999961853028,7695950,0.0,0.0,0.0585034436401501,0.0408163530105323,,31.137952177885715,32.18676573800462,33.287724987353045,34.485245632646375,36.400093227364685,False,False,False,False,1.0199985504150355,0.957777976989746,1.4366669654846191,,,0.0,,0.0,,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,,0.0,,0.0,,False,32.35499963760376,33.487200050354005,36.38000005086263,35.41925012588501,57.79999923706055,26.64999961853028,False,0.2234972333020999,0.1767091628209354,0.1212121229993334,False,9555852.82,9874589.3,False,34.65999984741211,False,False,False,True,False,285.HK
2026-03-10,0285.HK,30.68000030517578,31.1200008392334,30.5,30.89999961853028,30.89999961853028,6601940,0.0,0.0,0.0025889943266561,-0.0097087132933375,,30.822063849410156,31.761650105737967,32.96021103360714,34.246509262409674,36.25738592210659,False,False,False,False,0.6200008392333984,1.0044446521335175,1.5066669782002764,,,0.0,,0.0,,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,,0.0,,0.0,,False,32.01499967575073,33.31880001068115,36.30060002644857,35.34520011901856,56.0,26.64999961853028,False,0.2262294842758379,0.1796060452121184,0.0899743274068033,False,9753592.78,10986859.8,False,34.52000045776367,False,False,False,True,False,285.HK
2026-03-13,0285.HK,31.280000686645508,31.440000534057617,30.059999465942383,30.18000030517578,30.18000030517578,15455135,0.0,0.0,0.0139165033812778,0.0139165033812778,,30.963880196690425,31.62676432155031,32.76396187711127,34.071175439658,36.13845706787509,False,False,False,False,1.3800010681152344,1.0329414816463691,1.549412222469554,,,0.0,,0.0,,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,,0.0,,0.0,,False,31.641999816894533,33.20399993896484,36.24253335316976,35.297900114059445,53.0,26.64999961853028,False,0.2262294842758379,0.1728972457196347,0.1334149501112775,False,10024955.42,11778678.3,False,34.52000045776367,False,False,False,True,False,285.HK
