index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,F10D,F20D,F30D,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSSTU2,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,BOSS1,BOSS2,rolling_22_low,rolling_33_low,MA150,WLow,WHigh,HHHL,MA_20,MA_50,MA_150,MA_200,High_52W,Low_52W,Trend_Template,Depth_60D,Depth_20D,Depth_5D,Contraction_Structure,Vol_MA50,Vol_MA10,Volume_Contraction,Resistance,Breakout_Detected,VCP,classification,BOSS_PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,VOLATILITY,BOSS_STATUS,HHHL_PATTERN,WLDate,WHDate,22DLow,33DLow,SNO
2026-01-20,0116.HK,13.170000076293944,13.65999984741211,13.06999969482422,13.649999618530272,13.649999618530272,2207670,0.0,0.0,0.0219780365654813,0.0959707293938922,-0.0608058569158713,12.74255569229078,12.498056239551213,12.498018797875918,12.191091831304204,10.666560212498972,True,True,True,False,0.5900001525878888,0.3262500166893011,0.4893750250339516,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,False,11.699999809265137,11.670000076293944,11.707533302307128,0.0,0.0,False,12.390500020980834,12.347400016784668,11.707533302307128,10.655349986553192,15.739999771118164,6.309999942779541,True,0.2209612528097743,0.1434846310425322,0.0988286561402244,False,1174351.72,918318.3,True,13.100000381469728,True,True,,,,,,,,,,,,,,,116.HK
2026-03-04,1310.HK,7.300000190734863,7.480000019073486,7.21999979019165,7.440000057220459,7.440000057220459,7181046,0.0,0.0,0.0403225418804342,0.0712365227009415,,7.188676140853692,7.036955464419531,6.85804269941975,6.614770671983687,5.917847944886367,True,True,True,False,0.2600002288818359,0.1522221830156114,0.2283332745234171,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,False,6.78000020980835,6.550000190734863,6.32546669960022,0.0,0.0,False,7.027500009536743,6.757400026321411,6.32546669960022,5.995250008106232,9.40999984741211,4.869999885559082,True,0.1844919934387717,0.0935828619625916,0.0614973311462572,True,3671686.06,3081550.6,True,7.440000057220459,True,True,,,,,,,,,,,,,,,1310.HK
2026-01-16,0014.HK,19.549999237060547,20.420000076293945,19.450000762939453,20.3799991607666,19.546693801879883,3970065,0.0,0.0,0.0520118457772862,0.1099117650004131,0.008832203758001,19.27413991640587,18.855153857492144,18.13386511300645,17.160455679274158,15.533853546712397,True,True,True,False,0.9699993133544922,0.3599997202555331,0.5399995803832996,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,False,18.1200008392334,17.510000228881836,16.2282666460673,0.0,0.0,False,18.87549982070923,18.075799980163573,16.2282666460673,15.336499967575072,20.420000076293945,10.9399995803833,True,0.2384916683331837,0.1126346341071109,0.0759059368888042,True,1901084.22,1693785.2,False,19.520000457763672,True,True,,,,,,,,,,,,,,,14.HK
2026-02-27,1475.HK,7.5,7.599999904632568,7.360000133514404,7.599999904632568,7.599999904632568,439000,0.0,0.0,-0.0315789176486531,-0.0421052235315375,-0.0421052235315375,7.481756882283221,7.356885381892038,7.158689687838507,6.994500409390303,6.62936440741228,True,True,True,False,0.239999771118164,0.0923529512741986,0.1385294269112979,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,False,7.010000228881836,6.849999904632568,6.899600003560384,7.010000228881836,7.579999923706055,True,7.371500062942505,7.079600028991699,6.899600003560384,6.890000002384186,9.600000381469728,5.25,True,0.1710525960803357,0.0710526274512018,0.0315789176486532,True,289414.18,263600.0,False,7.579999923706055,True,True,HL,HLLHLL,7.550000190734863,2026-03-02 00:00:00,7.510000228881836,2026-03-03 00:00:00,7.349999904632568,-0.03,,HLHHHLHHHL,2026-01-26,2026-02-24,,,1475.HK
2026-03-19,1475.HK,7.380000114440918,7.599999904632568,7.349999904632568,7.599999904632568,7.599999904632568,327000,0.0,0.0,-0.0421052235315375,,,7.466054364137509,7.43157636671039,7.288147681998342,7.108409025601831,6.717502785401926,True,True,True,False,0.25,0.1156250238418579,0.1734375357627868,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,False,7.260000228881836,7.059999942779541,6.9636000029246015,7.539999961853027,7.309999942779541,False,7.485500001907349,7.268200016021728,6.9636000029246015,6.936949999332428,9.600000381469728,5.5,True,0.1368421019609614,0.0447368000022587,0.038157890196322,True,219102.32,114627.7,True,7.599999904632568,True,True,HH,HHLLLH,7.210000038146973,2026-03-23 00:00:00,7.309999942779541,2026-03-24 00:00:00,7.449999809265137,0.03,,LHLLLHHLHH,2026-03-11,2026-03-18,,,1475.HK
2026-01-23,1681.HK,17.049999237060547,17.899999618530273,17.0,17.799999237060547,17.799999237060547,4020135,0.0,0.0,0.010112377128703,0.0140449444222159,-0.0359550234314575,16.97974736250876,16.44604955108781,15.86896961726904,15.167492698951705,12.936427455500963,True,True,True,False,0.8999996185302734,0.425000250339508,0.6375003755092621,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,False,14.84000015258789,14.470000267028809,14.600266640981038,0.0,0.0,False,16.412500047683714,15.506800003051758,14.600266640981038,13.44514997959137,17.899999618530273,7.360000133514404,True,0.2301675962771537,0.1452513677767826,0.0692737317063684,True,1766529.9,1654044.4,False,17.399999618530273,True,True,,,,,,,,,,,,,,,1681.HK
2026-02-23,0173.HK,2.609999895095825,2.7699999809265137,2.609999895095825,2.759999990463257,2.759999990463257,4583910,0.0,0.0,-0.1159420051987344,-0.1702898660268984,-0.1702898660268984,2.6006585949444005,2.503364442978984,2.375235473641055,2.284327294355654,2.1430922142631723,True,True,True,False,0.1600000858306884,0.0685714312962122,0.1028571469443184,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,False,2.130000114440918,2.0999999046325684,2.25300000667572,0.0,0.0,False,2.520499956607819,2.290799984931946,2.25300000667572,2.1520000022649763,2.9200000762939453,1.6100000143051147,True,0.2527076001818523,0.2274367799134841,0.0938628130879234,False,2277796.7,1903930.6,True,2.680000066757202,True,True,,,,,,,,,,,,,,,173.HK
2026-02-09,1880.HK,95.0,103.4000015258789,95.0,101.6999969482422,101.6999969482422,6329257,0.0,0.0,-0.224188752276628,-0.3215339029447964,-0.3598820016951211,93.45851565929786,89.76739277947593,83.35483389288805,76.13932447279623,67.57463508018326,True,True,True,False,8.400001525878906,4.397058823529413,8.794117647058826,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,False,80.75,65.6500015258789,68.54433321634929,0.0,0.0,False,90.2724998474121,81.5829997253418,68.54433321634929,64.23074991226196,103.4000015258789,43.150001525878906,True,0.3650870352313481,0.2176015441776247,0.1431334896842692,False,4181759.24,3234133.9,True,97.9499969482422,True,True,,,,,,,,,,,,,,,1880.HK
2026-02-24,0189.HK,12.789999961853027,13.359999656677246,12.739999771118164,13.31999969482422,13.31999969482422,17735037,0.0,0.0,-0.0120120008316728,-0.1666666189352182,-0.1569069219573636,12.672941872589456,12.332569369733507,11.802590217195403,11.399493604872513,10.48271737452989,True,True,True,False,0.619999885559082,0.4281249046325682,0.6421873569488523,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,False,11.449999809265137,10.710000038146973,11.38139996210734,0.0,0.0,False,12.425999975204467,11.49299991607666,11.38139996210734,10.916449966430664,13.600000381469728,7.670000076293945,True,0.2687125217940642,0.1369760457135515,0.0860778179702655,False,11915092.68,9508227.1,True,13.079999923706056,True,True,,,,,,,,,,,,,,,189.HK
2026-02-03,2038.HK,20.100000381469727,22.1200008392334,20.100000381469727,21.479999542236328,21.479999542236328,1365576,0.0,0.0,-0.0018621512584328,-0.0279329792484371,-0.0912476315755357,20.22289031781355,19.869277623469195,19.38594180422082,18.20652939085248,14.987584042458776,True,True,True,False,2.020000457763672,0.6229410732493679,0.9344116098740518,False,False,False,False,False,False,False,False,0.78,7,5,1,1,True,False,18.530000686645508,18.530000686645508,16.941399974823,20.68000030517578,19.440000534057617,False,19.75900011062622,19.48120002746582,16.941399974823,14.873799986839296,22.1200008392334,6.800000190734863,True,0.223779411172527,0.162296564935949,0.1184448797391726,False,692560.5,665561.5,False,20.68000030517578,True,True,HH,HHLLHH,18.850000381469727,2026-02-06 00:00:00,22.0,2026-02-25 00:00:00,22.86000061035156,0.21,,LHLLHHHLHH,2026-01-22,2026-01-26,18.530000686645508,18.530000686645508,2038.HK
