Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,T1_22,T1_50
2025-10-14,9633.HK,54.20000076293945,54.34999847412109,53.150001525878906,53.5,53.5,5879407,0.0,0.0,53.61316819818366,52.94403190097789,50.50562308012573,46.76145096803033,41.54937920038207,True,True,True,False
2025-10-14,2888.HK,150.1999969482422,151.39999389648438,146.10000610351562,147.10000610351562,147.10000610351562,689508,0.0,0.0,151.05354348225333,150.2114515593051,146.72454932889772,139.2192653738569,120.5241785246725,True,True,True,False
2025-10-14,2688.HK,65.8499984741211,68.5999984741211,65.5,67.94999694824219,67.94999694824219,8176321,0.0,0.0,65.29269753098116,64.75332032685006,64.33069650374772,63.18597791863745,60.74303679812317,True,True,True,False
2025-10-14,2380.HK,3.380000114440918,3.400000095367432,3.299999952316284,3.3299999237060547,3.3299999237060547,19179800,0.0,0.0,3.3074877689507343,3.30290567589152,3.2605404095123576,3.1811596411049776,3.085813405309202,True,True,True,False
2025-10-14,1179.HK,29.100000381469727,29.39999961853028,28.34000015258789,28.39999961853028,28.39999961853028,1106945,0.0,0.0,29.60968446742301,29.53602292842063,28.71568242004429,27.97853419088681,27.465935776729683,True,True,True,False
2025-10-14,1088.HK,39.2400016784668,40.119998931884766,38.959999084472656,39.34000015258789,39.34000015258789,20080566,0.0,0.0,38.54761889725922,37.89672306662594,36.697711440265536,34.95202982810397,32.304260182599386,True,True,True,False
2025-10-14,788.HK,11.56999969482422,11.670000076293944,11.380000114440918,11.449999809265137,11.449999809265137,15153106,0.0,0.0,11.569674159032614,11.550649303112497,11.49272568239312,11.364458755577798,10.825548307171754,True,True,True,False
2025-10-14,384.HK,8.100000381469727,8.220000267028809,7.860000133514404,7.949999809265137,7.949999809265137,9904131,0.0,0.0,7.8611868105381,7.824596278821937,7.774828315805398,7.576140830681159,7.155624742101025,True,True,True,False
2025-10-14,101.HK,8.869999885559082,9.119999885559082,8.760000228881836,8.8100004196167,8.8100004196167,10893941,0.0,0.0,8.747134368946492,8.655032955307815,8.343159446495104,7.810804951806181,7.153383827125316,True,True,True,False
2025-10-14,83.HK,10.15999984741211,10.279999732971191,10.0600004196167,10.130000114440918,10.130000114440918,5600246,0.0,0.0,10.054208486179853,9.95742333409249,9.68147103160836,9.237161969485683,8.573487674557255,True,True,True,False
2025-10-14,16.HK,96.75,96.9000015258789,94.8000030517578,95.3499984741211,95.3499984741211,3313695,0.0,0.0,94.96819038845676,94.32261375692173,93.24314887461044,90.25294706172934,83.97008302481605,True,True,True,False
2025-10-14,12.HK,27.39999961853028,27.799999237060547,27.36000061035156,27.459999084472656,27.459999084472656,5887324,0.0,0.0,27.370499378617147,27.35882895414581,27.083956161566174,26.161129086958123,24.17121909497064,True,True,True,False
