sno,TP12,TP1,TP2,TP1C,CL1,BY1
1606.HK,0,0,0,1,0,0
1610.HK,0,1,0,0,0,0
1618.HK,0,0,0,1,0,0
1635.HK,0,0,0,1,1,0
1640.HK,1,0,0,0,0,0
1651.HK,1,0,0,0,1,0
1666.HK,0,0,0,0,2,0
1686.HK,1,0,0,1,1,0
1691.HK,1,0,0,0,1,0
1696.HK,1,0,0,0,0,0
1709.HK,1,0,0,0,0,0
1782.HK,0,0,0,0,1,0
1789.HK,1,0,0,0,0,0
1797.HK,0,0,0,0,1,0
1798.HK,0,1,0,0,0,0
1799.HK,1,0,0,0,0,0
1809.HK,0,0,0,0,1,0
1811.HK,0,1,0,0,0,0
1815.HK,1,0,0,0,0,0
1836.HK,1,0,0,0,0,0
1837.HK,0,0,0,0,1,0
1857.HK,1,0,0,0,0,1
1860.HK,0,0,0,0,1,0
1866.HK,2,0,0,0,0,0
1872.HK,0,0,1,1,0,0
1873.HK,0,0,0,0,1,0
1877.HK,1,0,0,0,0,0
1883.HK,1,0,0,0,1,0
1890.HK,0,0,0,1,0,0
1907.HK,0,0,0,0,1,0
1910.HK,0,0,0,0,1,0
1921.HK,0,1,0,0,0,0
1931.HK,1,0,0,0,0,0
1952.HK,1,0,0,0,0,0
1963.HK,1,0,0,0,0,0
1969.HK,0,0,1,0,0,0
1979.HK,0,0,1,0,0,0
2001.HK,1,0,0,0,0,0
2039.HK,0,0,1,0,0,0
2066.HK,0,0,0,1,0,0
2121.HK,0,0,0,1,0,0
2157.HK,0,0,0,0,1,0
2158.HK,0,0,1,0,0,0
2160.HK,1,0,0,0,0,0
2161.HK,1,0,0,0,0,0
2181.HK,1,0,0,0,0,0
2196.HK,1,0,0,0,0,0
2208.HK,1,0,0,0,0,0
2233.HK,1,0,0,0,0,0
2238.HK,1,0,0,0,0,0
2252.HK,0,0,0,1,0,0
2255.HK,2,0,0,0,0,0
2273.HK,0,0,0,1,0,0
2291.HK,1,0,0,0,0,0
2299.HK,0,1,0,0,0,0
2302.HK,1,0,0,0,0,0
2314.HK,0,0,0,0,1,0
2315.HK,0,0,0,0,1,0
2338.HK,1,0,0,0,2,0
2342.HK,2,0,0,0,0,0
2343.HK,0,0,0,0,1,0
2356.HK,1,0,0,0,0,0
2360.HK,0,0,0,0,2,0
2362.HK,1,0,0,1,0,0
2368.HK,0,0,0,0,1,0
2678.HK,0,0,0,0,1,0
2689.HK,0,0,0,0,1,0
2722.HK,1,0,0,0,0,0
2866.HK,1,0,0,0,1,0
3323.HK,1,0,0,0,0,0
3330.HK,1,0,0,0,1,0
3336.HK,1,0,0,0,0,0
3339.HK,0,0,0,0,1,0
3347.HK,0,0,0,1,0,0
3382.HK,1,0,0,0,0,0
3396.HK,1,0,0,0,0,0
3613.HK,1,0,0,0,0,0
3618.HK,1,0,0,0,2,0
3633.HK,2,0,0,0,1,0
3669.HK,0,0,0,1,0,0
3813.HK,0,0,0,0,2,0
3818.HK,1,0,0,0,0,0
3833.HK,1,0,1,0,1,0
3866.HK,0,0,0,1,0,0
3877.HK,0,0,0,1,0,0
3898.HK,2,0,0,0,0,0
3899.HK,2,0,0,0,0,0
6060.HK,0,1,0,0,1,0
6198.HK,0,0,1,0,2,0
6808.HK,0,0,0,1,1,0
6865.HK,0,0,0,1,0,0
6889.HK,0,1,0,0,1,0
6993.HK,0,0,1,0,0,0
8299.HK,1,0,0,0,0,0
9638.HK,1,0,0,0,0,0
9933.HK,1,0,0,0,0,0
9996.HK,1,0,0,0,0,0
9997.HK,0,0,0,0,1,0
