Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,LLLow,HHClose,HHHigh,22DLow,33DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,T1_100,classification,PATTERN,LLDate,HHDate,medium_bullish,weak_bullish,SNO
2025-10-30,1061.HK,4.360000133514404,4.360000133514404,4.260000228881836,4.260000228881836,4.260000228881836,359000,0.0,0.0,4.47500572302598,4.68922776599766,4.922994464549968,4.876638306558754,4.266289822524803,False,False,0.0,0.0,0.0,0.0,0.0,CL1-2025/07/04,False,False,False,False,True,False,False,0.0,0,0,False,False,,,,,,,1061.HK
2025-10-13,1066.HK,5.78000020980835,5.849999904632568,5.659999847412109,5.840000152587891,5.729942321777344,14288286,0.0,0.0,5.952420910991406,5.947220089086448,6.063425395130227,6.0392955244965565,5.79969262870096,False,False,0.0,0.0,0.0,0.0,0.0,BY1-2025/09/18,True,False,False,False,False,False,False,0.0,0,0,False,False,,,,,,,1066.HK
2025-10-30,1066.HK,5.639999866485596,5.650000095367432,5.329999923706055,5.360000133514404,5.360000133514404,21302273,0.0,0.0,5.614449850203428,5.718615367652492,5.891760006321058,5.949192557506164,5.783181799424019,False,False,0.0,0.0,0.0,0.0,0.0,CL1-2025/09/18,False,False,False,False,True,False,False,0.0,0,0,False,False,,,,,,,1066.HK
2025-10-15,1072.HK,17.889999389648438,18.07999992370605,17.3799991607666,18.0,18.0,11969400,0.0,0.0,17.946568426679686,17.5472150850061,17.141721238285886,16.02515730816528,13.607362517359393,True,True,0.0,0.0,0.0,0.0,0.0,BY1-2025/09/12,True,False,False,False,False,False,False,0.0,0,0,False,False,,,,,,,1072.HK
2025-10-27,1072.HK,18.75,20.440000534057617,18.6299991607666,20.059999465942383,20.059999465942383,43202900,0.0,0.0,18.446725160682675,18.000762876446352,17.474664576011786,16.36619044979557,13.899297113030002,True,True,0.0,0.0,0.0,0.0,0.0,TP1-2025/09/12,False,True,False,False,False,False,False,0.0,0,0,False,False,,,,,,,1072.HK
2025-11-06,1072.HK,20.57999992370605,21.420000076293945,20.299999237060547,21.299999237060547,21.299999237060547,27615688,0.0,0.0,19.78288305651874,18.995326143230603,18.10804849079981,16.847660005985407,14.233832978328214,True,True,0.0,0.0,0.0,0.0,0.0,TP2-2025/09/12,False,False,True,False,False,False,False,0.0,0,0,False,False,,,,,,,1072.HK
2025-10-24,1121.HK,1.309999942779541,1.350000023841858,1.2599999904632568,1.2899999618530271,1.2899999618530271,1234000,0.0,0.0,1.356981765205056,1.413942273671088,1.4824236353908755,1.5627012521763373,2.041065388864575,False,False,0.0,0.0,0.0,0.0,0.0,CL1-2025/08/08,False,False,False,False,True,False,False,0.0,0,0,False,False,,,,,,,1121.HK
2025-10-13,1205.HK,0.4149999916553497,0.4199999868869781,0.4050000011920929,0.4149999916553497,0.4149999916553497,4840000,0.0,0.0,0.4145297950271134,0.4061991366826046,0.4019523040692239,0.3962066359420056,0.3905775395059379,True,True,0.0,0.0,0.0,0.0,0.0,BY1-2025/09/15,True,False,False,False,False,False,False,0.0,0,0,False,False,,,,,,,1205.HK
2025-10-31,1250.HK,1.7000000476837158,1.7000000476837158,1.659999966621399,1.659999966621399,1.659999966621399,23000,0.0,0.0,1.687907601096332,1.7662643714602533,1.8867601186235512,1.9046624750316248,1.8720463629701425,False,False,1.600000023841858,1.7100000381469729,1.7400000095367432,1.600000023841858,1.600000023841858,,False,False,False,False,False,False,True,0.67,2,0,False,False,LH,LHLLHH,2025-11-05,2025-11-15,1.0,1.0,1250.HK
2025-10-28,1610.HK,1.6799999475479126,1.7100000381469729,1.6699999570846558,1.6799999475479126,1.6799999475479126,15299000,0.0,0.0,1.691295247941207,1.726018659703424,1.7554333748372593,1.727059238353739,1.6586467512777483,False,False,1.6299999952316284,1.7200000286102295,1.7200000286102295,1.649999976158142,1.649999976158142,,False,False,False,False,False,False,True,1.0,3,2,False,False,LH,LHLLHH,2025-11-05,2025-11-15,1.0,0.0,1610.HK
2025-10-14,1618.HK,2.890000104904175,2.9200000762939453,2.5999999046325684,2.630000114440918,2.630000114440918,120073000,0.0,0.0,2.70836810110318,2.5587453686260075,2.3335886787515263,2.0981099650483648,1.8424463353334568,True,True,0.0,0.0,0.0,0.0,0.0,BY1-2025/09/15,True,False,False,False,False,False,False,0.0,0,0,False,False,,,,,,,1618.HK
2025-10-13,1733.HK,0.8600000143051147,0.8600000143051147,0.8399999737739563,0.8500000238418579,0.8500000238418579,1780150,0.0,0.0,0.8684761340753436,0.8643458194945669,0.8796988162420561,0.905469894056312,1.0325170773044394,False,False,0.0,0.0,0.0,0.0,0.0,BY1-2025/09/18,True,False,False,False,False,False,False,0.0,0,0,False,False,,,,,,,1733.HK
2025-10-22,1733.HK,0.8299999833106995,0.8299999833106995,0.8100000023841858,0.8100000023841858,0.8100000023841858,3296600,0.0,0.0,0.839436732674899,0.8492931173036432,0.8684073607400953,0.8961171426571404,1.0217124167145972,False,False,0.0,0.0,0.0,0.0,0.0,CL1-2025/09/18,False,False,False,False,True,False,False,0.0,0,0,False,False,,,,,,,1733.HK
