sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,BY1,TOTAL,WR
0021.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0022.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0030.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0033.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0036.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0037.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0040.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0048.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0052.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0059.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0061.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0064.HK,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0
0072.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0080.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0082.HK,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0
0090.HK,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
0092.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0093.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0
0096.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0097.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0
0103.HK,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,100.0
0104.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0
0106.HK,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,66.67
0111.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0122.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
