sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,BY1,TOTAL,WR
0536.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0553.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0554.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0559.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0560.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0571.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0574.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0585.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0587.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
0591.HK,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,66.67
0595.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0
0603.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0605.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0612.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0618.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0619.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0620.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0628.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0632.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0637.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0661.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0
0675.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0689.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0690.HK,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
0703.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0711.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0712.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0713.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0
0722.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0745.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0750.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
0757.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0759.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0764.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0765.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0
