Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,T1_22,T1_50,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,BOSS1
2025-09-18,6929.HK,4.440000057220459,4.610000133514404,4.420000076293945,4.46999979019165,4.46999979019165,225500,0.15,0.0,4.400250864379669,4.450458056766072,4.392072596585179,4.176265238520146,4.050894399673967,False,False,False,False,LH,LHLLHH,4.159999847412109,2025-09-22,4.980000019073486,2025-10-03,True
2025-09-26,6896.HK,3.4600000381469727,3.539999961853028,3.4200000762939453,3.4800000190734863,3.4800000190734863,700383,0.0,0.0,3.4728657462702035,3.55058147308572,3.794385256286744,3.913552228199394,3.6283419305887104,False,False,True,False,LH,LHLLHH,3.3399999141693115,2025-10-03,3.670000076293945,2025-10-16,True
2025-09-19,6676.HK,2.299999952316284,2.390000104904175,2.2799999713897705,2.3499999046325684,2.3499999046325684,866500,0.0,0.0,2.41324555361394,2.712843513343922,3.188175936353438,3.9680854258090377,5.977447990521559,False,False,False,False,LH,LHLLHH,2.0999999046325684,2025-09-24,2.680000066757202,2025-10-06,True
2025-09-18,6601.HK,2.299999952316284,2.3299999237060547,2.25,2.2799999713897705,2.2799999713897705,2314000,0.0,0.0,2.3184273081062448,2.373534597910562,2.4451601941979493,2.4237598877960678,2.1953919612669544,False,False,False,False,LH,LHLLHH,2.180000066757202,2025-09-23,2.369999885559082,2025-10-08,True
2025-09-26,3866.HK,4.260000228881836,4.389999866485596,4.230000019073486,4.28000020980835,4.28000020980835,7098000,0.0,0.0,4.276046979891002,4.287266514403183,4.2501778158766825,4.06771042217625,3.5074945285710943,False,False,False,False,LH,LHLLHH,4.090000152587891,2025-10-13,4.449999809265137,2025-10-16,True
2025-09-29,3618.HK,6.090000152587891,6.210000038146973,6.059999942779541,6.130000114440918,6.130000114440918,16356592,0.0,0.0,5.988985671013964,6.004624256280454,6.121012546973568,6.084046103466063,5.404309857657275,False,False,False,False,LH,LHLLHH,5.639999866485596,2025-10-08,6.599999904632568,2025-10-16,True
2025-10-02,2883.HK,6.679999828338623,6.769999980926514,6.630000114440918,6.739999771118164,6.739999771118164,2883883,0.0,0.0,6.76413692496062,6.877659798527149,6.918682877261958,6.799110346856724,6.736116223522388,False,False,False,False,LH,LHLLHH,6.559999942779541,2025-10-08,6.980000019073486,2025-10-10,True
2025-09-26,2517.HK,3.2799999713897705,3.400000095367432,3.1600000858306885,3.1600000858306885,3.1600000858306885,24378573,0.0,0.0,3.204376654537733,3.259837617240896,3.287751536432621,3.137787310285584,3.06657437475467,False,False,False,False,LH,LHLLHH,3.059999942779541,2025-10-09,3.650000095367432,2025-10-16,True
2025-10-10,2469.HK,2.6700000762939453,2.8399999141693115,2.5799999237060547,2.740000009536743,2.740000009536743,64113100,0.0,0.0,2.773256717467472,2.8551681087582126,2.927525988827786,2.865125437603548,2.9726133070090675,False,False,False,False,LH,LHLLHH,2.569999933242798,2025-10-13,2.869999885559082,2025-10-17,True
2025-09-23,2356.HK,9.68000030517578,9.850000381469728,9.640000343322754,9.84000015258789,9.84000015258789,958440,0.0,0.0,9.864589536517231,9.84602695326778,9.577404731508915,9.112589410422643,8.068289263047584,True,True,False,False,LH,LHLLHH,9.550000190734863,2025-09-26,9.880000114440918,2025-10-02,True
2025-09-17,2338.HK,15.100000381469728,15.350000381469728,14.949999809265137,15.06999969482422,14.664030075073242,10132272,0.0,0.0,14.735408095717958,15.153144985860049,15.497543582645264,15.305984613503432,14.25805497033821,False,False,False,False,LH,LHLLHH,13.619999885559082,2025-09-26,15.460000038146973,2025-10-16,True
2025-09-24,2158.HK,5.760000228881836,6.090000152587891,5.670000076293945,5.880000114440918,5.880000114440918,18682634,0.0,0.0,5.957959695953864,6.06977944034231,6.153051155018328,6.09936652667384,5.695237382620221,False,False,False,False,LH,LHLLHH,5.550000190734863,2025-09-29,7.139999866485596,2025-10-03,True
2025-09-22,2039.HK,8.119999885559082,8.119999885559082,7.809999942779541,7.889999866485596,7.889999866485596,1275950,0.0,0.0,7.970308186433573,8.025548721620398,7.778112927870086,7.162645361828457,6.344646336007009,False,False,True,False,LH,LHLLHH,7.590000152587891,2025-09-25,8.300000190734863,2025-10-02,True
2025-09-30,2016.HK,2.5999999046325684,2.619999885559082,2.569999933242798,2.5799999237060547,2.5799999237060547,4647938,0.0,0.0,2.6296254146124163,2.678938917778828,2.7330848784502497,2.7065009237265425,2.497042602077222,False,False,False,False,LH,LHLLHH,2.4800000190734863,2025-10-13,2.630000114440918,2025-10-16,True
2025-09-24,1963.HK,7.360000133514404,7.480000019073486,7.340000152587891,7.400000095367432,7.400000095367432,1993501,0.0,0.0,7.445612280271517,7.539277611212499,7.7048983126946355,7.631982831444403,6.802069673014177,False,False,True,False,LH,LHLLHH,6.929999828338623,2025-10-08,7.71999979019165,2025-10-16,True
2025-09-22,1866.HK,7.420000076293945,7.429999828338623,7.179999828338623,7.309999942779541,7.309999942779541,1355000,0.0,0.0,7.360943629104914,7.319920091813992,6.896290340718313,6.167107978763269,5.065896376378618,True,True,False,False,LH,LHLLHH,7.050000190734863,2025-09-24,8.3100004196167,2025-10-06,True
2025-09-17,1501.HK,32.0,32.0,31.239999771118164,31.5,31.5,49000,0.0,0.0,32.17066449718461,31.888567129315305,30.125051429648607,28.556720342111927,27.65117108746555,True,True,False,False,LH,LHLLHH,29.520000457763672,2025-09-22,32.220001220703125,2025-09-30,True
2025-09-30,1313.HK,1.7899999618530271,1.830000042915344,1.7899999618530271,1.809999942779541,1.809999942779541,7946355,0.0,0.0,1.807982086534765,1.8258288415465325,1.835593166158504,1.804199488784528,1.762904219791226,False,False,False,False,LH,LHLLHH,1.7300000190734863,2025-10-08,1.8600000143051147,2025-10-10,True
