股票編號,股票名稱,行業編號,現價#,升跌,升跌(%),成交量,成交額,市盈率,市賬率,收益率,市值,股票編號_df4,流動比率,速動比率,資產回報率,股本回報率,毛利率,邊際利潤率,派息比率,債務股本比率,截至,股票編號_df6,收入,年度收入增長,經營溢利,經營利益率,股東應佔溢利,邊際利潤率_df6,每股盈利,每股盈利年度增長,截至_df6,sno,數字市值,type
00066.HK,港鐵公司,100504,31.980,-0.140,-0.436%,6.44百萬,2.06億,12.98,1.04,4.10%,"1,990.70億",00066.HK,0.57,0.52,2.25%,4.36%,100.00%,13.66%,103.97%,33.44%,2023/12,00066.HK,569.82億,19.000%,108.02億,18.957%,77.84億,13.660%,1.260,-20.755%,2023/12,0066.HK,199070000000.0,L
00083.HK,信和置業,090204,11.490,+0.040,+0.349%,1.22千萬,1.40億,25.41,0.62,5.05%,"1,089.77億",00083.HK,9.01,6.99,2.44%,2.66%,39.03%,50.22%,111.54%,0.55%,2024/06,00083.HK,87.65億,-26.000%,43.04億,49.104%,44.02億,50.222%,0.520,-28.767%,2024/06,0083.HK,108977000000.0,L
00087.HK,太古股份公司Ｂ,010101,12.800,-0.020,-0.156%,1.52百萬,1.95千萬,29.55,0.33,5.94%,364.66億,00087.HK,0.97,0.59,6.44%,10.76%,37.07%,30.43%,56.74%,27.71%,2023/12,00087.HK,948.23億,4.000%,306.21億,32.293%,288.53億,30.428%,3.990,612.500%,2023/12,0087.HK,36466000000.0,L
00100.HK,MINIMAX-,070401,929.500,-84.500,-8.333%,1.30百萬,12.42億,N/A,N/A,0.00%,"2,915.24億",00100.HK,1.36,1.36,-5.42%,-12.58%,7.05%,-23.82%,N/A,98.30%,2020/12,00100.HK,12.34億,-23.000%,-3.70億,-29.958%,-2.94億,-23.820%,-0.543,-202.640%,2020/12,0100.HK,291524000000.0,L
00101.HK,恒隆地產,090202,8.730,+0.110,+1.276%,6.00百萬,5.21千萬,23.77,0.33,5.96%,441.45億,00101.HK,1.52,0.58,1.83%,3.00%,71.63%,38.48%,88.64%,38.50%,2023/12,00101.HK,103.16億,N/A,67.53億,65.461%,39.70億,38.484%,0.880,3.529%,2023/12,0101.HK,44145000000.0,L
00135.HK,昆侖能源,120102,7.160,-0.170,-2.319%,2.33千萬,1.67億,10.42,0.82,4.85%,619.97億,00135.HK,1.65,1.62,3.96%,8.96%,100.00%,3.20%,43.25%,39.72%,2023/12,00135.HK,"1,954.05億",N/A,132.94億,6.838%,62.29億,3.204%,0.719,5.605%,2023/12,0135.HK,61997000000.0,L
00136.HK,中國儒意,100202,1.530,+0.030,+2.000%,7.40千萬,1.12億,無盈利,1.26,0.00%,257.05億,00136.HK,1.96,1.96,4.13%,6.25%,32.01%,19.02%,N/A,16.44%,2023/12,00136.HK,39.76億,167.000%,10.76億,27.071%,7.56億,19.016%,0.072,-24.498%,2023/12,0136.HK,25705000000.0,L
00142.HK,第一太平,020203,5.480,-0.080,-1.439%,5.02百萬,2.79千萬,4.99,0.77,4.65%,233.56億,00142.HK,1.32,1.08,1.83%,13.59%,32.11%,4.77%,24.91%,314.85%,2023/12,00142.HK,820.99億,2.000%,113.49億,13.824%,39.15億,4.768%,0.923,28.528%,2023/12,0142.HK,23356000000.0,L
00144.HK,招商局港口,100507,14.640,-1.070,-6.811%,1.28千萬,1.90億,7.76,0.59,6.05%,614.59億,00144.HK,0.87,0.86,3.62%,6.10%,44.90%,54.28%,45.69%,36.70%,2023/12,00144.HK,114.82億,-8.000%,29.13億,25.370%,62.33億,54.285%,1.532,-23.968%,2023/12,0144.HK,61459000000.0,L
00148.HK,建滔集團,060102,32.860,-1.020,-3.011%,2.68百萬,8.86千萬,8.27,0.56,6.70%,364.19億,00148.HK,2.33,1.32,2.08%,3.45%,19.12%,5.19%,54.81%,38.38%,2023/12,00148.HK,397.12億,-19.000%,26.97億,6.792%,20.63億,5.195%,1.861,-43.555%,2023/12,0148.HK,36419000000.0,L
00151.HK,中國旺旺,020203,4.610,+0.070,+1.542%,5.73百萬,2.63千萬,11.71,2.86,3.45%,544.12億,00151.HK,1.56,1.27,14.53%,24.38%,46.60%,16.92%,71.15%,33.83%,2024/03,00151.HK,254.40億,-2.000%,60.51億,23.784%,43.04億,16.919%,0.363,12.007%,2024/03,0151.HK,54412000000.0,L
00168.HK,青島啤酒股份,020204,48.480,+0.200,+0.414%,4.57百萬,2.21億,12.95,1.94,5.40%,317.58億,00168.HK,1.75,1.54,8.65%,15.52%,38.66%,12.55%,63.71%,0.41%,2023/12,00168.HK,372.01億,2.000%,62.89億,16.905%,46.70億,12.552%,3.441,11.485%,2023/12,0168.HK,31758000000.0,L
00175.HK,吉利汽車,020101,20.920,-0.140,-0.665%,7.28千萬,15.36億,11.27,2.22,2.39%,"2,258.69億",00175.HK,1.17,1.01,2.68%,6.70%,15.30%,2.88%,39.35%,10.51%,2023/12,00175.HK,"1,964.43億",17.000%,57.34億,2.919%,56.63億,2.883%,0.559,-2.828%,2023/12,0175.HK,225869000000.0,L
