股票編號,股票名稱,行業編號,現價#,升跌,升跌(%),成交量,成交額,市盈率,市賬率,收益率,市值,股票編號_df4,流動比率,速動比率,資產回報率,股本回報率,毛利率,邊際利潤率,派息比率,債務股本比率,截至,股票編號_df6,收入,年度收入增長,經營溢利,經營利益率,股東應佔溢利,邊際利潤率_df6,每股盈利,每股盈利年度增長,截至_df6,sno,數字市值,type
00883.HK,中國海洋石油,030201,28.000,-0.900,-3.114%,2.21億,61.92億,9.79,1.49,4.57%,"12,471.19億",00883.HK,2.02,1.97,12.32%,18.58%,100.00%,29.73%,43.86%,18.03%,2023/12,00883.HK,"4,566.87億",-4.000%,"1,839.08億",40.270%,"1,357.57億",29.726%,2.850,-16.618%,2023/12,0883.HK,1247119000000.0,L
00902.HK,華能國際電力股份,120101,5.900,-0.050,-0.840%,4.66千萬,2.76億,7.07,1.17,7.55%,277.32億,00902.HK,0.55,0.48,0.99%,3.92%,100.00%,2.14%,57.14%,212.33%,2023/12,00902.HK,"2,788.70億",N/A,203.47億,7.296%,59.65億,2.139%,0.384,N/A,2023/12,0902.HK,27732000000.0,L
00914.HK,海螺水泥,080201,21.200,-0.520,-2.394%,1.29千萬,2.74億,11.87,0.52,4.44%,275.52億,00914.HK,3.42,3.08,4.34%,5.77%,15.86%,7.58%,47.52%,12.47%,2023/12,00914.HK,"1,545.64億",3.000%,158.94億,10.283%,117.17億,7.581%,2.214,-34.352%,2023/12,0914.HK,27552000000.0,L
00916.HK,龍源電力,120101,7.130,-0.360,-4.806%,4.22千萬,3.02億,8.79,0.77,3.49%,236.56億,00916.HK,0.63,0.62,2.70%,9.04%,100.00%,16.47%,30.08%,180.76%,2023/12,00916.HK,427.13億,-7.000%,129.43億,31.370%,67.97億,16.474%,0.811,22.634%,2023/12,0916.HK,23656000000.0,L
00939.HK,建設銀行,040101,8.390,+0.150,+1.820%,3.56億,29.66億,6.01,0.62,5.18%,"20,171.01億",00939.HK,0.80,N/A,0.85%,10.88%,N/A,43.93%,30.53%,N/A,2023/12,00939.HK,"8,173.43億",-4.000%,"4,255.73億",52.068%,"3,590.53億",43.929%,1.436,-0.550%,2023/12,0939.HK,2017100999999.9998,L
00941.HK,中國移動,110101,79.150,+0.800,+1.021%,2.37千萬,18.73億,11.20,1.08,6.66%,"16,424.54億",00941.HK,0.89,0.87,6.61%,9.82%,100.00%,13.06%,71.53%,7.67%,2023/12,00941.HK,"11,064.05億",4.000%,"1,472.70億",13.311%,"1,444.42億",13.055%,6.753,1.799%,2023/12,0941.HK,1642454000000.0,L
00945.HK,宏利金融－Ｓ,040301,265.800,+1.800,+0.682%,3.09千,81.82萬,15.18,1.81,3.83%,"4,455.42億",00945.HK,N/A,N/A,0.55%,10.20%,100.00%,10.23%,57.06%,12.91%,2023/12,00945.HK,"2,763.93億",7.000%,380.25億,13.758%,282.89億,10.235%,15.441,N/A,2023/12,0945.HK,445542000000.0,L
00966.HK,中國太平,040301,20.480,+0.480,+2.400%,1.56千萬,3.16億,2.82,0.77,6.01%,736.05億,00966.HK,4.27,4.27,0.36%,6.80%,100.00%,3.74%,20.07%,128.41%,2023/12,00966.HK,"1,495.54億",N/A,118.21億,8.219%,53.74億,3.737%,1.495,25.000%,2023/12,0966.HK,73605000000.0,L
00968.HK,信義光能,060107,2.910,-0.110,-3.642%,7.12千萬,2.09億,28.14,0.80,1.72%,266.18億,00968.HK,1.15,1.03,6.93%,13.10%,26.62%,15.72%,47.83%,36.01%,2023/12,00968.HK,266.29億,29.000%,58.93億,22.129%,41.87億,15.724%,0.470,9.523%,2023/12,0968.HK,26618000000.0,L
00981.HK,中芯國際,070101,50.700,-0.700,-1.362%,4.92千萬,25.17億,75.94,2.43,0.00%,"4,056.74億",00981.HK,1.79,1.43,1.89%,4.49%,19.26%,14.28%,N/A,50.75%,2023/12,00981.HK,493.78億,-13.000%,27.94億,5.659%,70.50億,14.277%,0.859,-52.156%,2023/12,0981.HK,405674000000.0,L
00992.HK,聯想集團,070302,9.150,-0.080,-0.867%,5.36千萬,4.90億,10.41,2.64,4.26%,"1,135.03億",00992.HK,0.87,0.61,2.61%,18.10%,17.24%,1.78%,57.74%,64.84%,2024/03,00992.HK,"4,449.59億",-8.000%,156.95億,3.527%,79.07億,1.777%,0.658,-37.918%,2024/03,0992.HK,113503000000.0,L
00998.HK,中信銀行,040101,7.900,+0.040,+0.509%,2.53千萬,2.00億,5.89,0.55,5.33%,"1,175.69億",00998.HK,0.79,N/A,0.69%,9.77%,N/A,30.27%,28.03%,N/A,2023/12,00998.HK,"2,253.46億",-5.000%,812.85億,36.071%,682.14億,30.271%,1.392,5.478%,2023/12,0998.HK,117569000000.0,L
01024.HK,快手－Ｗ,070201,45.120,+0.100,+0.222%,3.54千萬,16.00億,9.32,2.20,2.55%,"1,964.17億",01024.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,01024.HK,"1,243.86億",17.000%,70.50億,5.668%,70.11億,5.637%,1.622,N/A,2023/12,1024.HK,196417000000.0,L
01038.HK,長江基建集團,100505,62.550,-0.200,-0.319%,3.09百萬,1.93億,19.07,1.23,4.17%,"1,576.02億",01038.HK,0.91,0.90,4.84%,6.51%,100.00%,134.01%,80.25%,19.93%,2023/12,01038.HK,67.74億,-10.000%,60.07億,100.284%,80.27億,134.007%,3.190,3.571%,2023/12,1038.HK,157602000000.0,L
01044.HK,恆安國際,020301,27.500,-0.180,-0.650%,2.99百萬,8.26千萬,11.09,1.32,5.67%,319.23億,01044.HK,1.41,1.18,6.96%,13.73%,33.70%,11.78%,57.97%,69.96%,2023/12,01044.HK,260.54億,2.000%,43.61億,16.737%,30.70億,11.783%,2.647,41.624%,2023/12,1044.HK,31923000000.0,L
01070.HK,ＴＣＬ電子,020402,12.760,+0.380,+3.069%,3.12千萬,3.95億,17.63,1.87,2.49%,321.67億,01070.HK,1.18,0.91,1.15%,4.45%,18.68%,0.94%,52.20%,37.22%,2023/12,01070.HK,789.86億,10.000%,19.43億,2.460%,7.44億,0.941%,0.307,65.407%,2023/12,1070.HK,32167000000.0,L
01088.HK,中國神華,030101,46.120,-1.660,-3.474%,2.81千萬,12.94億,13.80,2.04,5.31%,"1,557.69億",01088.HK,2.17,2.03,10.20%,15.71%,32.22%,18.84%,69.47%,9.44%,2023/12,01088.HK,"3,760.78億",-3.000%,977.93億,26.003%,708.42億,18.837%,3.566,-13.869%,2023/12,1088.HK,155769000000.0,L
01093.HK,石藥集團,050202,9.100,-0.180,-1.940%,7.81千萬,7.15億,24.06,2.84,3.19%,"1,048.54億",01093.HK,2.63,2.32,12.69%,17.69%,70.51%,18.68%,51.63%,2.13%,2023/12,01093.HK,344.76億,-1.000%,81.09億,23.522%,64.38億,18.675%,0.542,-5.946%,2023/12,1093.HK,104854000000.0,L
01099.HK,國藥控股,050202,20.200,-0.200,-0.980%,4.01百萬,8.11千萬,7.92,0.68,3.80%,271.05億,01099.HK,1.39,1.15,2.36%,12.14%,8.13%,1.52%,30.00%,98.93%,2023/12,01099.HK,"6,539.60億",4.000%,221.53億,3.388%,99.25億,1.518%,3.179,3.223%,2023/12,1099.HK,27105000000.0,L
01128.HK,永利澳門,100405,5.460,-0.060,-1.087%,2.41百萬,1.32千萬,17.52,N/A,7.47%,287.40億,01128.HK,1.59,1.56,2.61%,-7.41%,100.00%,4.83%,34.09%,-334.14%,2023/12,01128.HK,242.68億,329.000%,37.02億,15.256%,11.72億,4.828%,0.220,N/A,2023/12,1128.HK,28739999999.999996,L
01138.HK,中遠海能,100506,17.930,-0.520,-2.818%,2.43千萬,4.39億,19.50,1.90,2.36%,232.37億,01138.HK,1.09,0.95,4.65%,9.74%,29.64%,15.28%,49.86%,86.39%,2023/12,01138.HK,240.20億,14.000%,46.95億,19.544%,36.71億,15.282%,0.769,122.602%,2023/12,1138.HK,23237000000.0,L
01164.HK,中廣核礦業,080402,3.860,-0.240,-5.854%,6.21千萬,2.43億,64.77,6.43,0.36%,293.39億,01164.HK,1.59,1.09,7.36%,12.81%,1.79%,6.75%,N/A,45.44%,2023/12,01164.HK,73.63億,101.000%,2.26億,3.072%,4.97億,6.751%,0.065,-8.914%,2023/12,1164.HK,29339000000.0,L
01171.HK,兗礦能源,030101,14.570,-0.770,-5.020%,8.74千萬,12.73億,9.66,2.35,5.76%,593.80億,01171.HK,0.81,0.74,4.29%,20.46%,37.08%,15.01%,62.34%,115.84%,2023/12,01171.HK,"1,298.28億",-25.000%,315.57億,24.307%,194.89億,15.012%,2.015,-43.356%,2023/12,1171.HK,59379999999.99999,L
01177.HK,中國生物製藥,050201,5.890,+0.040,+0.684%,1.11億,6.46億,40.65,3.24,1.70%,"1,105.01億",01177.HK,1.05,0.96,3.67%,7.65%,80.95%,8.90%,36.23%,41.73%,2023/12,01177.HK,287.20億,-2.000%,65.07億,22.656%,25.56億,8.901%,0.138,-10.439%,2023/12,1177.HK,110501000000.0,L
01179.HK,華住集團－Ｓ,100401,39.100,+0.740,+1.929%,2.56百萬,9.93千萬,21.24,8.42,4.20%,"1,200.13億",01179.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,01179.HK,239.87億,53.000%,51.67億,21.936%,44.78億,19.009%,1.403,N/A,2023/12,1179.HK,120013000000.00002,L
01193.HK,華潤燃氣,120102,19.030,-0.100,-0.523%,7.98百萬,1.50億,10.56,1.07,4.99%,440.36億,01193.HK,0.69,0.66,3.79%,12.81%,18.22%,5.16%,50.30%,56.89%,2023/12,01193.HK,"1,012.72億",7.000%,85.42億,8.435%,52.24億,5.158%,2.300,10.048%,2023/12,1193.HK,44036000000.0,L
01199.HK,中遠海運港口,100506,5.160,-0.060,-1.149%,1.01千萬,5.20千萬,8.14,0.41,4.90%,204.33億,01199.HK,0.96,0.94,2.72%,5.62%,28.94%,22.32%,39.93%,70.11%,2023/12,01199.HK,113.60億,N/A,21.47億,18.896%,25.35億,22.316%,0.729,2.342%,2023/12,1199.HK,20433000000.0,L
01208.HK,五礦資源,080402,7.220,-0.260,-3.476%,6.34千萬,4.58億,22.10,2.84,0.00%,876.55億,01208.HK,0.63,0.46,0.08%,0.42%,100.00%,0.21%,N/A,228.63%,2023/12,01208.HK,339.51億,33.000%,14.81億,4.362%,7.03千萬,0.207%,0.007,-94.998%,2023/12,1208.HK,87655000000.0,L
01209.HK,華潤萬象生活,090203,47.040,+2.880,+6.522%,7.01百萬,3.26億,27.82,6.12,4.90%,"1,073.69億",01209.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,01209.HK,161.88億,19.000%,42.88億,26.492%,32.10億,19.833%,1.406,28.927%,2023/12,1209.HK,107369000000.0,L
01211.HK,比亞迪股份,020101,105.800,0.000,0.000%,2.73千萬,29.04億,21.57,5.09,1.37%,"3,897.04億",01211.HK,0.67,0.47,4.41%,21.61%,20.21%,4.98%,30.00%,33.78%,2023/12,01211.HK,"6,602.58億",38.000%,417.69億,6.326%,328.87億,4.981%,11.313,75.625%,2023/12,1211.HK,389704000000.0,L
01258.HK,中國有色礦業,080402,11.490,-0.100,-0.863%,1.16千萬,1.33億,14.25,2.32,2.81%,448.34億,01258.HK,1.87,1.11,7.27%,15.07%,24.33%,7.70%,39.98%,9.64%,2023/12,01258.HK,281.70億,-11.000%,46.20億,16.399%,21.69億,7.699%,0.580,4.394%,2023/12,1258.HK,44834000000.0,L
01288.HK,農業銀行,040101,5.570,+0.170,+3.148%,1.93億,10.61億,6.98,0.71,4.73%,"1,712.15億",01288.HK,0.72,N/A,0.64%,10.18%,N/A,36.42%,32.07%,N/A,2023/12,01288.HK,"7,623.72億",-2.000%,"3,367.86億",44.176%,"2,776.60億",36.421%,0.789,1.397%,2023/12,1288.HK,171215000000.0,L
01299.HK,友邦保險,040302,84.850,-0.100,-0.118%,2.56千萬,21.67億,18.45,2.65,2.28%,"8,916.23億",01299.HK,10.24,10.24,1.31%,9.16%,100.00%,12.36%,62.60%,29.59%,2023/12,01299.HK,"2,401.73億",-45.000%,377.35億,15.863%,294.01億,12.360%,2.578,17.902%,2023/12,1299.HK,891623000000.0,L
01308.HK,海豐國際,100507,34.080,-0.180,-0.525%,5.58百萬,1.91億,9.51,4.77,8.80%,920.16億,01308.HK,1.25,1.25,20.03%,27.76%,25.65%,21.88%,70.41%,19.36%,2023/12,01308.HK,189.73億,-40.000%,43.24億,22.793%,41.51億,21.877%,1.562,-72.592%,2023/12,1308.HK,92016000000.0,L
01318.HK,毛戈平,020305,75.400,+1.000,+1.344%,1.64百萬,1.24億,27.56,7.12,1.48%,369.60億,01318.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,01318.HK,3.14億,-34.000%,-3.52億,-111.948%,-3.45億,-109.724%,-0.275,-34.052%,2014/12,1318.HK,36960000000.0,L
01336.HK,新華保險,040301,46.280,+0.820,+1.804%,1.16千萬,5.34億,5.18,1.41,5.98%,478.58億,01336.HK,3.20,3.20,0.62%,8.29%,100.00%,12.06%,30.47%,121.84%,2023/12,01336.HK,792.05億,-35.000%,67.46億,8.517%,95.50億,12.057%,3.058,-60.652%,2023/12,1336.HK,47858000000.0,L
01339.HK,中國人民保險集團,040303,5.400,-0.130,-2.351%,6.09千萬,3.29億,4.64,0.69,4.51%,471.22億,01339.HK,0.08,0.08,1.43%,9.18%,100.00%,4.03%,31.20%,16.80%,2023/12,01339.HK,"6,067.11億",1.000%,367.85億,6.063%,244.69億,4.033%,0.548,-14.761%,2023/12,1339.HK,47122000000.0,L
01347.HK,華虹半導體,070101,77.650,-3.850,-4.724%,1.69千萬,13.35億,314.25,2.62,0.00%,"1,349.27億",01347.HK,6.76,6.11,2.56%,4.44%,21.31%,12.25%,N/A,33.67%,2023/12,01347.HK,178.57億,-7.000%,12.84億,7.189%,21.87億,12.249%,1.476,-45.196%,2023/12,1347.HK,134927000000.0,L
01364.HK,古茗,020205,27.300,+0.040,+0.147%,4.74百萬,1.31億,18.30,10.02,5.24%,649.24億,01364.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,01364.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,1364.HK,64924000000.0,L
01378.HK,中國宏橋,080401,34.760,-1.020,-2.851%,5.32千萬,18.47億,13.10,2.34,4.75%,"3,468.60億",01378.HK,1.18,0.72,5.72%,12.42%,15.68%,8.58%,47.52%,69.80%,2023/12,01378.HK,"1,464.78億",-1.000%,161.11億,10.999%,125.63億,8.577%,1.326,25.593%,2023/12,1378.HK,346860000000.0,L
01398.HK,工商銀行,040101,6.860,+0.120,+1.780%,3.19億,21.74億,6.55,0.63,4.89%,"5,954.07億",01398.HK,0.79,N/A,0.78%,9.87%,N/A,43.28%,31.27%,N/A,2023/12,01398.HK,"8,840.39億",-6.000%,"4,570.54億",51.701%,"3,826.06億",43.279%,1.074,-1.826%,2023/12,1398.HK,595407000000.0,L
01415.HK,高偉電子,070304,25.920,+2.620,+11.245%,1.41千萬,3.64億,24.07,5.57,0.00%,225.05億,01415.HK,1.45,1.19,4.94%,11.37%,13.83%,5.04%,N/A,70.60%,2023/12,01415.HK,72.16億,-17.000%,4.66億,6.460%,3.64億,5.043%,0.430,-45.524%,2023/12,1415.HK,22505000000.0,L
01519.HK,極兔速遞－Ｗ,100508,10.110,+1.030,+11.344%,1.27億,12.85億,112.84,4.09,0.00%,899.19億,01519.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,01519.HK,691.21億,N/A,-137.99億,-19.963%,-86.00億,-12.442%,-2.054,N/A,2023/12,1519.HK,89919000000.0,L
01530.HK,三生製藥,050201,22.640,-1.640,-6.755%,6.24千萬,14.40億,24.68,3.30,1.10%,574.60億,01530.HK,2.47,2.26,6.56%,11.04%,84.98%,19.82%,35.63%,34.47%,2023/12,01530.HK,85.68億,10.000%,22.03億,25.708%,16.98億,19.822%,0.702,-20.269%,2023/12,1530.HK,57460000000.0,L
01548.HK,金斯瑞生物科技,050204,10.950,-0.050,-0.455%,5.82百萬,6.39千萬,無盈利,0.78,0.00%,239.42億,01548.HK,4.76,4.65,-2.82%,-6.86%,48.78%,-11.37%,N/A,35.39%,2023/12,01548.HK,65.58億,34.000%,-27.41億,-41.807%,-7.46億,-11.373%,-0.354,58.117%,2023/12,1548.HK,23942000000.0,L
01585.HK,雅迪控股,020101,13.250,+0.480,+3.759%,2.08千萬,2.73億,29.55,4.43,3.40%,412.43億,01585.HK,1.03,0.97,10.29%,31.43%,16.93%,7.59%,49.48%,5.01%,2023/12,01585.HK,381.07億,8.000%,34.33億,9.010%,28.94億,7.595%,0.970,16.213%,2023/12,1585.HK,41243000000.0,L
01658.HK,郵儲銀行,040101,4.910,-0.020,-0.406%,5.66千萬,2.77億,5.71,0.55,5.75%,974.94億,01658.HK,0.68,N/A,0.51%,10.31%,N/A,23.61%,31.45%,N/A,2023/12,01658.HK,"3,759.00億",N/A,"1,577.88億",41.976%,887.42億,23.608%,0.910,-5.114%,2023/12,1658.HK,97494000000.0,L
01698.HK,騰訊音樂－ＳＷ,100202,37.180,-0.120,-0.322%,2.10百萬,7.71千萬,9.27,1.29,2.51%,"1,151.77億",01698.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,01698.HK,304.22億,-4.000%,66.42億,21.833%,53.93億,17.728%,1.732,33.506%,2023/12,1698.HK,115177000000.0,L
01729.HK,匯聚科技,070301,15.450,-0.540,-3.377%,1.04千萬,1.64億,66.71,17.05,0.15%,323.23億,01729.HK,1.21,0.89,4.50%,20.36%,14.09%,5.74%,10.18%,219.12%,2023/12,01729.HK,48.26億,-16.000%,3.42億,7.096%,2.77億,5.742%,0.142,N/A,2023/12,1729.HK,32323000000.0,L
01735.HK,中環新能源,060106,8.040,-0.010,-0.124%,6.32百萬,5.08千萬,319.05,30.41,0.00%,339.61億,01735.HK,1.12,0.99,1.90%,7.80%,4.29%,1.65%,N/A,132.06%,2023/12,01735.HK,40.28億,149.000%,8.29千萬,2.057%,6.63千萬,1.646%,0.016,N/A,2023/12,1735.HK,33961000000.0,L
01757.HK,環球華商（一千）,090101,18.250,-0.350,-1.882%,38.61萬,7.21百萬,"20,277.78",245.63,0.00%,219.00億,01757.HK,1.92,1.92,1.08%,2.75%,2.29%,1.21%,N/A,50.26%,2024/03,01757.HK,1.99億,-38.000%,24.30萬,0.122%,2.42百萬,1.215%,0.002,185.714%,2024/03,1757.HK,21900000000.0,L
01766.HK,中國中車,060202,5.070,+0.030,+0.595%,6.21千萬,3.14億,11.05,0.81,4.53%,221.61億,01766.HK,1.26,0.99,2.48%,7.28%,22.27%,5.00%,48.78%,11.15%,2023/12,01766.HK,"2,567.97億",2.000%,175.67億,6.841%,128.38億,4.999%,0.449,-2.828%,2023/12,1766.HK,22161000000.0,L
01768.HK,鳴鳴很忙,020203,352.200,-19.800,-5.323%,18.02萬,6.41千萬,N/A,N/A,0.00%,760.46億,01768.HK,1.77,1.49,4.20%,5.40%,38.37%,13.09%,30.59%,21.66%,2015/12,01768.HK,34.40億,-7.000%,6.11億,17.757%,4.50億,13.090%,0.132,54.446%,2015/12,1768.HK,76046000000.0,L
01772.HK,贛鋒鋰業,080402,72.750,-1.800,-2.414%,1.49千萬,10.93億,無盈利,3.30,0.23%,351.46億,01772.HK,1.39,0.98,5.43%,10.59%,14.05%,15.19%,32.39%,53.56%,2023/12,01772.HK,359.69億,-22.000%,47.91億,13.320%,54.62億,15.185%,2.708,-76.423%,2023/12,1772.HK,35146000000.0,L
01776.HK,廣發証券,040202,14.400,-0.420,-2.834%,1.09千萬,1.57億,11.80,0.85,3.77%,276.59億,01776.HK,1.38,1.38,0.92%,5.56%,100.00%,19.61%,36.14%,294.20%,2023/12,01776.HK,365.02億,-2.000%,88.02億,25.019%,68.97億,19.605%,0.910,-20.928%,2023/12,1776.HK,27658999999.999996,L
01787.HK,山東黃金,080601,32.340,-0.420,-1.282%,1.61千萬,5.27億,30.92,4.33,1.21%,321.94億,01787.HK,0.58,0.40,1.34%,7.80%,14.56%,3.04%,35.00%,221.69%,2023/12,01787.HK,649.78億,14.000%,38.07億,5.859%,19.77億,3.043%,0.438,104.573%,2023/12,1787.HK,32194000000.0,L
01788.HK,國泰君安國際,040202,2.320,-0.020,-0.855%,2.97千萬,6.95千萬,16.43,1.39,3.02%,221.09億,01788.HK,1.15,1.15,0.19%,1.36%,100.00%,6.26%,95.24%,375.37%,2023/12,01788.HK,32.30億,39.000%,16.86億,52.416%,2.01億,6.255%,0.021,162.500%,2023/12,1788.HK,22109000000.0,L
01797.HK,東方甄選,070201,27.160,-0.220,-0.804%,1.06千萬,2.91億,"4,526.67",5.09,0.00%,287.79億,01797.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,01797.HK,70.28億,64.000%,4.63億,6.589%,18.52億,26.350%,1.809,69.621%,2024/05,1797.HK,28779000000.000004,L
01801.HK,信達生物,050201,84.900,-1.200,-1.394%,1.45千萬,12.36億,157.28,6.84,0.00%,"1,473.17億",01801.HK,3.00,2.78,-4.98%,-8.21%,81.69%,-16.56%,N/A,28.90%,2023/12,01801.HK,68.03億,32.000%,-12.55億,-18.440%,-11.27億,-16.563%,-0.723,56.073%,2023/12,1801.HK,147317000000.0,L
01810.HK,小米集團－Ｗ,070306,31.760,-0.620,-1.915%,1.73億,55.32億,17.58,2.79,0.00%,"8,236.53億",01810.HK,1.72,1.34,5.39%,10.66%,21.21%,6.45%,N/A,16.99%,2023/12,01810.HK,"2,970.37億",-5.000%,219.34億,7.384%,191.56億,6.449%,0.767,580.206%,2023/12,1810.HK,823653000000.0001,L
01816.HK,中廣核電力,120101,3.520,-0.050,-1.401%,8.73千萬,3.06億,16.36,1.30,2.72%,392.96億,01816.HK,0.94,0.67,2.58%,9.47%,35.97%,12.99%,44.34%,177.03%,2023/12,01816.HK,904.90億,-3.000%,225.76億,24.948%,117.56億,12.992%,0.232,4.571%,2023/12,1816.HK,39296000000.0,L
01818.HK,招金礦業,080601,31.740,-0.160,-0.502%,2.24千萬,7.21億,27.70,5.21,0.35%,914.61億,01818.HK,1.06,0.64,1.46%,5.82%,40.01%,8.15%,28.57%,150.87%,2023/12,01818.HK,92.34億,3.000%,12.34億,13.362%,7.52億,8.149%,0.153,94.344%,2023/12,1818.HK,91461000000.0,L
01828.HK,富衛集團,040301,30.380,+0.220,+0.729%,13.43萬,4.07百萬,30.24,0.75,0.00%,387.65億,01828.HK,1.34,0.80,3.01%,7.98%,13.61%,1.61%,39.52%,67.80%,2018/12,01828.HK,508.78億,N/A,15.42億,3.031%,8.20億,1.612%,0.441,0.892%,2018/12,1828.HK,38765000000.0,L
01833.HK,平安好醫生,050102,11.520,-0.150,-1.285%,1.00千萬,1.16億,56.11,2.26,0.00%,249.00億,01833.HK,4.30,4.24,-1.95%,-2.43%,32.28%,-6.90%,N/A,0.70%,2023/12,01833.HK,51.23億,-26.000%,-6.31億,-12.309%,-3.54億,-6.903%,-0.329,50.590%,2023/12,1833.HK,24900000000.0,L
01860.HK,匯量科技,100201,13.150,-0.530,-3.874%,1.05千萬,1.41億,41.95,9.19,0.00%,207.00億,01860.HK,1.12,1.12,3.15%,8.72%,20.61%,2.07%,N/A,51.05%,2023/12,01860.HK,82.34億,17.000%,2.31億,2.806%,1.70億,2.069%,0.111,46.448%,2023/12,1860.HK,20700000000.0,L
01876.HK,百威亞太,020204,7.200,+0.060,+0.840%,1.06千萬,7.65千萬,24.99,1.19,6.12%,953.52億,01876.HK,0.92,0.82,5.25%,7.90%,50.36%,12.43%,82.02%,3.07%,2023/12,01876.HK,535.52億,5.000%,100.68億,18.801%,66.55億,12.427%,0.504,-6.621%,2023/12,1876.HK,95352000000.0,L
01882.HK,海天國際,060203,20.120,-0.240,-1.179%,3.03百萬,6.08千萬,8.74,1.25,3.98%,321.12億,01882.HK,2.46,1.99,8.56%,13.24%,32.14%,19.06%,38.59%,14.61%,2023/12,01882.HK,143.27億,3.000%,30.56億,21.333%,27.31億,19.064%,1.710,6.753%,2023/12,1882.HK,32112000000.0,L
01888.HK,建滔積層板,060101,19.140,-0.900,-4.491%,1.86千萬,3.58億,24.47,3.67,3.55%,600.10億,01888.HK,2.47,1.96,3.85%,6.07%,15.98%,5.42%,54.98%,29.78%,2023/12,01888.HK,167.50億,-25.000%,11.93億,7.122%,9.07億,5.417%,0.291,-52.451%,2023/12,1888.HK,60010000000.0,L
01898.HK,中煤能源,030101,13.200,-0.700,-5.036%,7.33千萬,9.58億,9.06,1.09,4.91%,542.08億,01898.HK,1.22,1.13,5.78%,14.03%,21.55%,10.46%,29.08%,51.10%,2023/12,01898.HK,"2,115.32億",-14.000%,367.38億,17.368%,221.25億,10.460%,1.666,-0.871%,2023/12,1898.HK,54208000000.00001,L
01910.HK,新秀麗,020302,14.560,-0.030,-0.206%,5.22百萬,7.59千萬,8.98,1.62,5.39%,201.94億,01910.HK,1.59,0.98,8.16%,28.74%,59.28%,11.32%,N/A,158.24%,2023/12,01910.HK,287.63億,27.000%,58.09億,20.196%,32.57億,11.324%,2.257,32.620%,2023/12,1910.HK,20194000000.0,L
01913.HK,普拉達,020606,36.920,+0.420,+1.151%,2.95百萬,1.09億,12.14,2.23,4.11%,944.72億,01913.HK,1.49,0.95,8.81%,17.41%,80.44%,14.20%,52.29%,67.40%,2023/12,01913.HK,407.49億,16.000%,91.53億,22.463%,57.85億,14.197%,2.259,48.459%,2023/12,1913.HK,94472000000.0,L
01919.HK,中遠海控,100506,14.900,-0.360,-2.359%,2.28千萬,3.42億,6.74,0.89,7.41%,410.72億,01919.HK,1.59,1.54,5.16%,12.17%,15.72%,13.60%,50.00%,43.03%,2023/12,01919.HK,"1,923.26億",-56.000%,270.11億,14.044%,261.56億,13.600%,1.622,-78.974%,2023/12,1919.HK,41072000000.0,L
01928.HK,金沙中國有限公司,100405,16.490,+0.140,+0.856%,1.33千萬,2.19億,19.14,12.24,4.55%,"1,334.60億",01928.HK,1.23,1.21,6.75%,"-17,300.00%",100.00%,10.59%,N/A,"-208,200.00%",2023/12,01928.HK,510.37億,307.000%,95.68億,18.748%,54.05億,10.591%,0.669,N/A,2023/12,1928.HK,133459999999.99998,L
01929.HK,周大福,100307,10.880,+0.060,+0.555%,9.69百萬,1.05億,18.37,4.11,4.78%,"1,073.31億",01929.HK,1.38,0.25,7.32%,25.27%,20.50%,5.98%,84.62%,116.24%,2024/03,01929.HK,"1,087.13億",14.000%,87.48億,8.047%,64.99億,5.978%,0.650,20.818%,2024/03,1929.HK,107331000000.0,L
01988.HK,民生銀行,040101,3.670,-0.180,-4.675%,5.68千萬,2.11億,5.40,0.28,5.72%,305.35億,01988.HK,0.75,N/A,0.41%,5.73%,N/A,22.93%,30.00%,N/A,2023/12,01988.HK,"1,506.08億",-4.000%,409.52億,27.191%,345.38億,22.932%,0.789,-1.459%,2023/12,1988.HK,30535000000.000004,L
02015.HK,理想汽車－Ｗ,020101,67.700,-1.100,-1.599%,8.43百萬,5.73億,109.00,1.79,0.00%,"1,463.21億",02015.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,02015.HK,"1,357.66億",165.000%,81.19億,5.980%,128.30億,9.450%,6.522,N/A,2023/12,2015.HK,146321000000.0,L
02018.HK,瑞聲科技,070305,33.100,-0.680,-2.013%,5.07百萬,1.69億,13.67,1.43,1.06%,385.80億,02018.HK,1.63,1.34,1.90%,3.38%,16.90%,3.63%,14.48%,43.78%,2023/12,02018.HK,223.83億,-3.000%,9.02億,4.031%,8.12億,3.626%,0.691,-11.278%,2023/12,2018.HK,38580000000.0,L
