index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,VOLATILITY,22DLow,33DLow,BOSS_STATUS,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSSTU2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,WLow,WLDate,WHigh,WHDate,HHHL,medium_bullish,weak_bullish,buy_price,tp1_price,tp2_price,tp3_price,SNO
2026-01-08,1115.HK,0.5899999737739563,0.6299999952316284,0.5899999737739563,0.6100000143051147,0.6100000143051147,17210000,0.0,0.0,0.5861269550812349,0.5743821432824721,0.56625768568928,0.5382940887331286,0.4579134380517242,True,True,True,False,0.0400000214576721,0.0253846186857957,0.0380769280286935,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP1-2025/12/01,False,False,False,False,True,False,False,False,False,False,False,False,0.0,0,0,False,0.0,,0.0,,False,,,,,,,1115.HK
2026-01-13,1797.HK,19.799999237060547,21.920000076293945,19.63999938964844,21.76000022888184,21.76000022888184,20137466,0.0,0.0,19.48210178751578,19.286560280445972,20.027339495037182,20.530739001968996,19.407046819534344,False,False,False,False,2.2800006866455043,0.8521430151803163,1.2782145227704744,HL,HLLHLLLHLL,21.920000076293945,2026-01-14,21.76000022888184,2026-01-15,19.63999938964844,-0.1,17.59000015258789,17.59000015258789,TP1-2025/12/29,False,False,False,True,True,False,False,False,False,False,False,False,0.0,0,0,False,19.63999938964844,2026-01-15,21.920000076293945,2026-01-16,False,,,,,,,1797.HK
2026-01-05,1873.HK,1.7699999809265137,1.8600000143051147,1.7599999904632568,1.7699999809265137,1.7699999809265137,12016500,0.0,0.0,1.849219068011745,1.9164873135610256,2.05000333816423,2.0916375273028445,1.819785973724404,False,False,False,False,0.1000000238418579,0.0793749913573265,0.1190624870359898,LH,LHLLHHHLLH,1.7300000190734863,2026-01-06,2.130000114440918,2026-01-12,2.140000104904175,0.24,1.7300000190734863,1.7300000190734863,SB1-2026/01/05,False,False,False,False,False,False,False,False,False,False,False,True,1.0,4,2,True,2.140000104904175,2026-01-12,1.9600000381469729,2026-01-13,False,1.0,1.0,1.94,2.140000104904175,2.3400002098083497,2.5400003147125245,1873.HK
2026-01-06,2198.HK,3.2300000190734863,3.4100000858306885,3.119999885559082,3.400000095367432,3.400000095367432,8296400,0.0,0.0,3.1263805538521483,3.028355965989332,2.845560892980909,2.590689316981646,2.198795430618984,True,True,True,False,0.2900002002716064,0.1331249624490738,0.1996874436736107,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP2-2025/10/28,False,False,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,0.0,,0.0,,False,,,,,,,2198.HK
2026-01-13,2698.HK,32.68000030517578,35.5,32.0,34.63999938964844,34.63999938964844,1411200,0.0,0.0,32.67214497704613,32.08169681980425,,,,False,False,False,False,3.5,1.4894120833453008,2.234118125017951,HL,HLLHLLLHLL,35.5,2026-01-14,34.63999938964844,2026-01-15,32.0,-0.1,30.059999465942383,30.059999465942383,TP1-2025/12/29,False,False,False,True,True,False,False,False,False,False,False,False,0.0,0,0,False,32.0,2026-01-15,35.5,2026-01-16,False,,,,,,,2698.HK
2026-01-02,0326.HK,2.650000095367432,2.9800000190734863,2.650000095367432,2.950000047683716,2.950000047683716,17977250,0.0,0.0,2.408031152488727,2.209511052789016,2.110355990860908,2.0724041625570924,1.7685144588012804,True,True,True,False,0.3299999237060542,0.1346666256586711,0.2019999384880066,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP1-2025/12/02,False,False,False,False,True,False,False,False,False,False,False,False,0.0,0,0,False,0.0,,0.0,,False,,,,,,,326.HK
2026-01-05,0326.HK,3.109999895095825,3.309999942779541,3.109999895095825,3.220000028610229,3.220000028610229,13932208,0.0,0.0,2.555661857238091,2.297379659382165,2.153871443321666,2.095128833172006,1.7800800808714712,True,True,True,False,0.2000000476837158,0.1456249579787255,0.2184374369680882,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP2-2025/12/02,False,False,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,0.0,,0.0,,False,,,,,,,326.HK
2026-01-07,0326.HK,3.400000095367432,3.569999933242798,3.309999942779541,3.5299999713897705,3.5299999713897705,12070604,0.0,0.0,2.8584182770535045,2.492106677650088,2.2547886742956886,2.148869493875337,1.8068285444237824,True,True,True,False,0.2599999904632568,0.1618749648332596,0.2428124472498894,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP3-2025/12/02,False,False,False,False,False,False,True,False,False,False,False,False,0.0,0,0,False,0.0,,0.0,,False,,,,,,,326.HK
2026-01-05,3336.HK,2.039999961853028,2.0799999237060547,1.899999976158142,1.9800000190734863,1.9800000190734863,2698000,0.0,0.0,1.9366842042841876,1.8585481785236877,1.767087881482407,1.6428615720533264,1.4589950131822111,True,True,True,False,0.1799999475479126,0.0921428629330226,0.1382142943995339,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2025/11/21,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,,0.0,,False,,,,,,,3336.HK
2026-01-12,3788.HK,4.409999847412109,4.46999979019165,4.010000228881836,4.230000019073486,4.230000019073486,14576000,0.0,0.0,3.855346685485565,3.796079732279949,3.7888930011793054,3.5501163799924766,2.7087022319814844,True,True,True,False,0.4599995613098144,0.1425000131130217,0.2137500196695326,HH,HHHLLHLLLH,4.010000228881836,2026-01-13,4.230000019073486,2026-01-14,4.46999979019165,0.11,3.5199999809265137,3.430000066757202,TP2-2025/11/20,True,True,True,False,True,True,False,False,False,False,False,False,0.0,0,0,False,4.46999979019165,2026-01-14,4.010000228881836,2026-01-15,False,,,,,,,3788.HK
