sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,BY1,TOTAL,WR
0604.HK,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,5.0,20.0
0631.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0639.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0662.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0
0667.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0694.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0
0697.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0709.HK,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0
0710.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0732.HK,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0
0751.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0752.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0
0763.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0775.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0777.HK,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
0806.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0807.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0816.HK,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
0819.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0826.HK,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0
0842.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0
0856.HK,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
0863.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0866.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0874.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0881.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0882.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0902.HK,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,33.33
0909.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0914.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0
0921.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0
0931.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0933.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0934.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0956.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0968.HK,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
0975.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0
0990.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0991.HK,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
0995.HK,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,60.0
