sno,TP12,TP1,TP2,TP1C,CL1,BY1,,,
0001.HK,3,0,0,0,7,0,10,30.00%,
0002.HK,1,0,3,1,4,0,9,44.44%,
0003.HK,1,1,0,0,3,3,8,25.00%,
0004.HK,6,0,2,1,5,1,15,53.33%,
0005.HK,2,1,0,2,7,0,12,25.00%,
0006.HK,0,1,1,0,1,0,3,66.67%,
0008.HK,2,0,1,0,3,1,7,42.86%,
0011.HK,5,0,0,0,1,0,6,83.33%,
0012.HK,5,1,0,2,5,2,15,40.00%,
0016.HK,3,1,0,0,5,0,9,44.44%,
0019.HK,3,4,0,1,3,0,11,63.64%,
0020.HK,0,0,0,0,2,0,2,0.00%,
0023.HK,4,1,1,0,5,1,12,50.00%,
0027.HK,4,0,0,1,4,2,11,36.36%,
0066.HK,3,0,0,1,4,1,9,33.33%,
0083.HK,3,0,0,0,5,0,8,37.50%,
0087.HK,6,1,0,0,7,0,14,50.00%,
0101.HK,0,2,0,0,5,0,7,28.57%,
0135.HK,6,0,0,0,1,0,7,85.71%,
0136.HK,1,0,0,0,2,1,4,25.00%,
0144.HK,7,0,0,4,3,0,14,50.00%,
0148.HK,4,1,0,0,8,1,14,35.71%,
0151.HK,3,1,1,1,1,0,7,71.43%,
0168.HK,4,0,1,1,3,3,12,41.67%,
0175.HK,1,0,0,0,2,1,4,25.00%,
0179.HK,4,1,0,5,6,0,16,31.25%,
0220.HK,0,0,0,0,3,0,3,0.00%,
0241.HK,1,0,0,0,6,2,9,11.11%,
0247.HK,1,0,0,0,0,0,1,100.00%,
0267.HK,5,0,0,2,7,0,14,35.71%,
0268.HK,2,1,0,0,2,0,5,60.00%,
0270.HK,3,2,1,0,2,0,8,75.00%,
0285.HK,4,0,0,1,2,1,8,50.00%,
0288.HK,2,0,0,0,0,0,2,100.00%,
0291.HK,1,2,1,0,2,0,6,66.67%,
0293.HK,3,0,1,1,3,1,9,44.44%,
0300.HK,0,0,1,0,0,0,1,100.00%,
0316.HK,2,1,0,0,2,0,5,60.00%,
0322.HK,2,0,1,2,3,2,10,30.00%,
0358.HK,5,0,0,0,3,1,9,55.56%,
0384.HK,0,0,0,1,2,1,4,0.00%,
0386.HK,2,0,0,0,7,1,10,20.00%,
0388.HK,1,0,0,0,4,0,5,20.00%,
0392.HK,4,0,0,2,4,1,11,36.36%,
0425.HK,1,2,0,1,1,0,5,60.00%,
0486.HK,3,0,0,0,2,0,5,60.00%,
0522.HK,5,0,0,1,4,0,10,50.00%,
0656.HK,2,0,0,0,4,1,7,28.57%,
0659.HK,1,0,0,0,2,4,7,14.29%,
0669.HK,4,1,0,0,3,0,8,62.50%,
0700.HK,3,0,0,1,0,0,4,75.00%,
0728.HK,2,1,0,1,2,1,7,42.86%,
0753.HK,3,0,2,1,0,0,6,83.33%,
0762.HK,2,0,2,0,5,0,9,44.44%,
0763.HK,1,1,0,0,1,2,5,40.00%,
0772.HK,0,0,0,0,5,1,6,0.00%,
0788.HK,1,0,0,0,4,0,5,20.00%,
0836.HK,2,1,0,0,5,0,8,37.50%,
0857.HK,2,0,0,1,2,0,5,40.00%,
0867.HK,0,0,0,0,3,0,3,0.00%,
0868.HK,1,0,1,0,1,1,4,50.00%,
0881.HK,0,0,0,1,5,0,6,0.00%,
0883.HK,2,0,0,0,3,0,5,40.00%,
0914.HK,3,0,0,0,4,2,9,33.33%,
0939.HK,6,1,0,0,4,0,11,63.64%,
0941.HK,2,1,0,0,2,0,5,60.00%,
0945.HK,1,1,0,1,7,0,10,20.00%,
0966.HK,6,0,0,1,4,0,11,54.55%,
0968.HK,0,2,0,1,1,0,4,50.00%,
0981.HK,3,0,0,1,3,1,8,37.50%,
0992.HK,3,1,0,0,2,0,6,66.67%,
0998.HK,2,1,0,0,1,0,4,75.00%,
1024.HK,1,0,0,0,0,0,1,100.00%,
1038.HK,3,2,0,0,2,1,8,62.50%,
1044.HK,2,2,0,0,4,0,8,50.00%,
1088.HK,3,1,0,0,9,1,14,28.57%,
1093.HK,1,0,0,0,6,0,7,14.29%,
1128.HK,2,0,0,0,2,1,5,40.00%,
