sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,TU1,BY1,TOTAL,WR
2588.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,100.0
2600.HK,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,6.0,83.33
2601.HK,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,5.0,100.0
2618.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2628.HK,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,75.0
2688.HK,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,7.0,85.71
2799.HK,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,33.33
2888.HK,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,50.0
2899.HK,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
3328.HK,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
3606.HK,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
3668.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
3690.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3800.HK,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,6.0,50.0
3808.HK,2.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,66.67
3939.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
3968.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
3988.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
6088.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
6181.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0
6186.HK,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
6690.HK,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,50.0
6823.HK,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,33.33
6862.HK,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,100.0
6969.HK,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,50.0
9618.HK,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,50.0
9633.HK,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,66.67
9866.HK,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
9888.HK,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,33.33
9896.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
9961.HK,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
9992.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
9999.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
,110.0,68.0,82.0,4.0,19.0,49.0,176.0,45.0,38.0,508.0,65.35
