Date,sno,Open,High,Low,Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,T1_22,T1_10
2025-10-07,ZION,56.959999084472656,57.29999923706055,56.369998931884766,56.709999084472656,1307200,0.0,0.0,56.90296982974131,56.89107951932034,55.85370625488362,54.06543303091589,51.1318025661469,True,True,True,True
2025-10-07,ZIMV,18.920000076293945,18.93000030517578,18.90999984741211,18.920000076293945,161100,0.0,0.0,18.918724209960672,18.848313365685748,17.87309011137798,16.01932345589596,14.51397957440466,True,True,True,True
2025-10-07,WTW,349.44000244140625,352.7900085449219,347.9700012207031,349.92999267578125,443900,0.0,0.0,344.70158674133216,339.8667454562685,332.07232171284085,324.589375357266,311.02096295791745,True,True,True,True
2025-10-07,WTBA,20.299999237060547,20.38999938964844,19.88999938964844,19.93000030517578,36300,0.0,0.0,20.25166516042101,20.230912964511333,19.92053985896236,19.713384085587705,19.485733361311222,True,True,True,True
2025-10-07,WSBCP,25.290000915527344,25.31999969482422,25.290000915527344,25.31800079345703,4200,0.0,0.0,25.27579050763321,25.242518774165383,25.164664575914987,24.99724085777152,24.40140727642892,True,True,True,True
2025-10-07,WMG,33.540000915527344,33.540000915527344,32.4900016784668,32.720001220703125,1783000,0.0,0.0,33.576361264266524,33.44317616935112,32.59044322768048,31.50888352040896,30.77802758900894,True,True,True,True
2025-10-07,WHFCL,25.14999961853028,25.190000534057617,25.14999961853028,25.190000534057617,1000,0.0,0.0,25.168265171230907,25.14121781286914,25.03800846672918,24.830324098939776,24.227600417363107,True,True,True,True
2025-10-07,WAFDP,16.440000534057617,16.59000015258789,16.417999267578125,16.530000686645508,10200,0.0,0.0,16.522136420180306,16.5218849695891,16.36033381031931,16.13358600817212,15.81111801126716,True,True,True,True
2025-10-07,VLYPP,25.32999992370605,25.61000061035156,25.309999465942383,25.309999465942383,5100,0.0,0.0,25.401151500501545,25.331785005433733,25.082824081763228,24.70404847787647,23.69342444041421,True,True,True,True
2025-10-07,VLYPO,25.100000381469727,25.15999984741211,25.100000381469727,25.15999984741211,10200,0.0,0.0,25.11834231551785,25.039044049862035,24.83687805719435,24.539946957580188,23.748625876500885,True,True,True,True
2025-10-07,VLYPN,26.09000015258789,26.14999961853028,26.040000915527344,26.040000915527344,15000,0.0,0.0,26.082823419841965,26.0002034359466,25.674301740561177,25.23442501471652,24.524093813262272,True,True,True,True
2025-10-07,VLY,10.920000076293944,11.100000381469728,10.770000457763672,10.829999923706056,12651300,0.0,0.0,10.71701666154716,10.62009095711175,10.265094282533088,9.813302078560628,9.21910624756352,True,True,True,True
2025-10-07,VIASP,25.799999237060547,25.799999237060547,25.39999961853028,25.39999961853028,13200,0.0,0.0,25.314979049429223,25.220556505678708,25.002277600222243,24.43130639971839,22.57795195398844,True,True,True,True
2025-10-07,TTWO,257.5,261.0899963378906,257.5,260.5,1383200,0.0,0.0,255.8315484749666,251.1340850063502,243.89697577259412,235.7043642800199,214.2230181469124,True,True,True,True
2025-10-07,TRINZ,25.14999961853028,25.18899917602539,25.11000061035156,25.18899917602539,51300,0.0,0.0,25.176472517319816,25.127308207915107,25.01544101095414,24.81134669982116,24.281699392565915,True,True,True,True
2025-10-07,TRINI,25.200000762939453,25.249000549316406,25.1299991607666,25.239999771118164,28900,0.0,0.0,25.21950247600473,25.178602330825647,25.0702163808404,24.865094705898745,24.350546877567137,True,True,True,True
2025-10-07,TFSL,13.649999618530272,13.81999969482422,13.56999969482422,13.56999969482422,335800,0.0,0.0,13.369200814702282,13.307751656320846,13.166449264047298,12.943141364454284,12.519899696601808,True,True,True,True
2025-10-07,TCBIO,21.6200008392334,21.690000534057617,21.39999961853028,21.56999969482422,32500,0.0,0.0,21.460923158124167,21.23787204530152,20.857586788131776,20.457997232351463,19.77066916879152,True,True,True,True
2025-10-07,TBLD,20.270000457763672,20.290000915527344,20.049999237060547,20.229999542236328,95500,0.0,0.0,20.057681874849823,19.9909812035206,19.779015499217863,19.24443088810448,17.889463562024705,True,True,True,True
2025-10-07,STRF,116.7300033569336,117.0500030517578,114.5,114.5,208400,0.0,0.0,113.7141841083336,112.44739988689388,111.13522420111364,107.5791360487718,100.00079463569908,True,True,True,True
2025-10-07,SPNS,43.04999923706055,43.08000183105469,42.959999084472656,43.02999877929688,649600,0.0,0.0,43.00178139457159,42.56401039076683,39.92800493641506,36.27459257096815,32.529639108835454,True,True,True,True
2025-10-07,SIGIP,18.38999938964844,18.59000015258789,18.38999938964844,18.540000915527344,1700,0.0,0.0,18.52167142416775,18.36090601996717,17.94345491300944,17.563566296874622,17.266028952846767,True,True,True,True
2025-10-07,SHC,16.34000015258789,16.542999267578125,15.979999542236328,16.079999923706055,1164900,0.0,0.0,15.97947546802667,15.857214104719477,15.131484109144552,14.181722985128385,13.578782537348191,True,True,True,True
2025-10-07,SBCF,31.51000022888184,31.959999084472656,31.280000686645508,31.71999931335449,615200,0.0,0.0,30.941378047667275,30.696414970569062,29.962223011093588,28.812010829160464,27.27315552006529,True,True,True,True
2025-10-07,RWAYZ,25.3799991607666,25.40999984741211,25.3799991607666,25.40999984741211,1600,0.0,0.0,25.36439345112612,25.32617234106312,25.20912999712669,24.97464729871256,24.329112478086376,True,True,True,True
2025-10-07,RWAYL,25.299999237060547,25.34000015258789,25.299999237060547,25.34000015258789,600,0.0,0.0,25.27266556610544,25.23024975211543,25.11812055166971,24.887644958802284,24.25451425069457,True,True,True,True
