sno,TP12,TP1,TP2,TP1C,CL1,BY1
0010.HK,0,1,0,0,3,0
0013.HK,0,1,0,0,1,0
0014.HK,0,1,0,0,2,0
0017.HK,2,0,0,0,4,2
0026.HK,1,1,0,1,1,0
0028.HK,0,0,0,0,0,1
0029.HK,1,0,0,2,0,2
0032.HK,0,2,0,0,2,0
0034.HK,0,0,0,1,2,0
0035.HK,2,0,0,0,1,0
0038.HK,0,0,0,0,2,0
0041.HK,3,0,1,0,5,1
0045.HK,2,0,0,0,3,0
0051.HK,2,1,0,0,4,1
0053.HK,0,0,0,1,1,0
0062.HK,0,0,0,0,4,0
0069.HK,2,1,0,1,3,0
0071.HK,1,0,0,2,1,1
0081.HK,1,0,1,0,1,1
0085.HK,2,1,2,0,1,0
0086.HK,1,0,0,0,1,0
0098.HK,2,0,0,0,0,0
0103.HK,2,0,0,0,1,1
0107.HK,2,0,0,2,0,0
0108.HK,0,2,0,0,0,1
0113.HK,0,0,0,0,3,0
0116.HK,2,1,0,0,3,0
0119.HK,3,0,0,1,2,0
0123.HK,3,0,0,0,1,1
0127.HK,0,0,1,1,1,2
0133.HK,1,0,0,1,1,0
0142.HK,4,1,0,1,1,0
0147.HK,1,1,0,0,0,1
0152.HK,0,0,0,0,2,2
0165.HK,1,0,0,1,2,1
0173.HK,0,2,0,0,3,0
0177.HK,2,1,0,0,1,0
0182.HK,0,0,0,1,0,0
0189.HK,1,0,0,0,1,0
0200.HK,1,0,0,0,2,1
0207.HK,0,0,0,0,0,1
0215.HK,3,0,0,0,1,0
0218.HK,0,0,0,1,2,1
0230.HK,2,0,0,0,0,1
0242.HK,2,0,0,1,3,1
0245.HK,0,0,0,1,1,2
0257.HK,1,0,0,0,1,1
0258.HK,1,0,0,1,1,0
0259.HK,0,0,0,0,3,0
0272.HK,1,0,0,0,2,0
0289.HK,1,1,0,1,1,0
0290.HK,3,1,0,0,0,0
0297.HK,2,0,0,0,5,0
0303.HK,2,1,0,0,1,0
0308.HK,2,0,1,0,2,0
0315.HK,0,0,0,0,1,0
0317.HK,1,1,0,1,2,0
0323.HK,1,1,0,0,1,1
0326.HK,0,1,1,0,0,1
