index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,classification,PATTERN,LLLow,HHClose,HHHigh,VOLATILITY,22DLow,33DLow,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSSTU2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,WLow,WLDate,WHigh,WHDate,HHHL,ADX,DIplus,DIminus,RSI,KC_middle,KC_upper,KC_lower,KC_Width,Price_zscore,Volume_zscore,Anomaly_Score,MA_50,MA_20,Price_Above_MA50,Price_Increase_50D,Price_Increase_30D,Resistance,Above_Resistance,Breakout_Percentage,Volatility_Decrease,Volatility_Decrease_Pct,Contraction_Structure,Contraction_Count,Valid_Contractions,KC_Contraction,Volume_Contraction,Volume_Spike,Breakout_Detected,ADX_Strength,DI_Bullish,RSI_Value,Anomaly_Free,Uptrend_Requirement,Contraction_Pattern,Volume_Signature,Momentum_Confirmation,VCP,LLDate,HHDate,SNO
2026-02-06,1171.HK,11.979999542236328,12.40999984741211,11.880000114440918,12.300000190734863,12.300000190734863,32541919,0.0,0.0,11.73583479016242,11.31981915359228,10.90749592751642,10.526553149274376,10.033520517088723,True,True,True,False,0.5299997329711914,0.3606250286102295,0.5409375429153442,HL,LLHHHLHHHL,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,10.829999923706056,2026-02-02,12.449999809265137,2026-02-04,True,47.990430713147184,25.64103016939405,14.102575423485057,66.1202234203661,11.373165719757388,12.2431657006839,10.503165738830877,15.299170035219923,1.9703645722041985,0.1022687126740427,1,10.601199989318848,11.324500036239623,True,19.186051884320023,23.12312785326665,12.449999809265137,False,-1.204816231552434,-18.8%,-18.82201547984582,False,1,False,False,False,False,False,True,True,66.1,True,False,False,False,True,False,,,1171.HK
2026-02-05,1308.HK,29.799999237060547,29.979999542236328,29.07999992370605,29.68000030517578,29.68000030517578,3695925,0.0,0.0,29.089745234969385,28.37448639877138,28.06405767898111,27.78571700200685,25.69351347019101,True,True,True,False,0.899999618530277,0.8611108991834856,1.2916663487752285,HL,LLHHHLHHHL,30.6200008392334,29.739999771118164,29.280000686645508,-0.04,25.63999938964844,25.63999938964844,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,28.299999237060547,2026-02-02,30.780000686645508,2026-02-04,True,32.377613597506055,43.093121000939874,17.867876296123615,77.63580649967508,28.44633578371728,30.32033537935937,26.57233618807519,13.175683574084571,1.2545629615545468,0.8449152593633564,1,27.551999816894533,27.999999904632567,True,8.321170505066606,9.117645120125797,30.780000686645508,False,-3.5737503474032826,12.5%,12.538038687426113,False,1,False,False,False,False,False,True,True,77.6,True,False,False,False,False,False,2026-02-10,2026-02-11,1308.HK
2026-02-02,1398.HK,6.489999771118164,6.5,6.360000133514404,6.409999847412109,6.409999847412109,259048336,0.0,0.0,6.398411889521737,6.327563505343225,6.262224106228721,6.167266864478144,5.8331267094955885,True,True,True,False,0.1399998664855957,0.1213333129882812,0.1819999694824218,HL,HLHHHLHHHL,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,6.119999885559082,2026-01-26,6.659999847412109,2026-01-29,True,27.687425201650576,26.53061720988406,17.346950443227538,55.045855104519184,6.335291424062799,6.592291441228936,6.078291406896661,8.113281614480943,0.7549946299201632,0.5605526661930139,1,6.2837999820709225,6.297999978065491,True,-1.536104116034766,5.254510456592317,6.659999847412109,False,-3.753753839756364,-2.7%,-2.6983938680777086,False,1,False,False,False,False,False,True,True,55.0,True,False,False,False,True,False,,,1398.HK
2026-02-03,1797.HK,28.239999771118164,28.81999969482422,26.559999465942383,28.26000022888184,28.26000022888184,22764029,0.0,0.0,24.98162274527112,23.11888071999653,21.82963485858965,21.39062683948873,19.958436221762756,True,True,True,False,2.260000228881836,1.289375185966492,1.934062778949738,HL,HLHHHLHHHL,33.0,29.200000762939453,28.89999961853028,-0.12,21.21999931335449,18.0,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,21.799999237060547,2026-01-28,29.280000686645508,2026-02-02,True,77.66328477674577,39.03312630548567,4.297228752466896,82.39702053419005,23.3378798786872,26.269880229639345,20.40587952773505,25.126535625283875,2.1837698597812243,0.6470059656611552,1,20.5160001373291,22.7895001411438,True,48.97206774798026,50.00000000000002,29.280000686645508,False,-3.4836080390834363,-14.5%,-14.536190725654164,False,1,False,False,False,True,False,True,True,82.4,True,True,False,True,False,False,2026-02-06,2026-02-10,1797.HK
2026-02-10,1797.HK,32.29999923706055,32.52000045776367,28.89999961853028,29.200000762939453,29.200000762939453,26557516,0.0,0.0,28.511488105204045,25.834763162172905,23.40871710930652,22.260791910136405,20.37297980344816,True,True,True,False,3.620000839233395,1.5512499809265137,2.3268749713897705,HL,HLHHHLHHHL,32.52000045776367,29.200000762939453,28.89999961853028,-0.11,21.799999237060547,18.93000030517578,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,26.559999465942383,2026-02-03,33.0,2026-02-06,True,78.74634686641753,36.842110343459815,8.097170785623602,69.79786408652153,26.17806050464873,29.880060550425096,22.476060458872364,28.28322629263509,1.0444667902742364,0.5764801143348903,1,21.69560009002685,25.36800012588501,True,56.14973032947356,62.67409204364694,33.0,False,-11.51514920321378,-27.1%,-27.127902698820204,False,1,False,False,False,True,False,True,True,69.8,True,True,False,True,True,False,2026-02-11,2026-02-12,1797.HK
2026-02-02,0019.HK,75.5,76.4000015258789,74.0,74.5999984741211,74.5999984741211,1606096,0.0,0.0,74.15151176445285,71.7638750277111,69.2935835904098,68.1920189581326,67.43249706848378,True,True,True,False,2.4000015258789062,1.347057566923254,2.694115133846508,HL,LLHHHLHHHL,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,72.05000305175781,2026-01-27,76.75,2026-01-30,True,78.58353916240533,39.88214454126335,14.341858773102912,79.7520760165703,72.09253213960332,75.41753061372441,68.76753366548223,9.224252153281029,0.8021067981606748,0.2686695873844067,1,68.00300025939941,71.41749992370606,True,7.260956435336414,14.681006878300549,76.75,False,-2.8013049197119297,-10.9%,-10.873300929013062,False,1,False,False,False,False,False,True,True,79.8,True,False,False,False,False,False,,,19.HK
2026-02-04,2276.HK,61.900001525878906,61.900001525878906,57.25,60.95000076293945,60.95000076293945,2930800,0.0,0.0,60.88000298353691,59.020708865226695,55.3906708112427,50.8737434081971,41.023151430775336,True,True,True,False,4.650001525878906,3.153125524520875,6.30625104904175,HL,HLHHHLHHHL,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,56.900001525878906,2026-01-26,65.3499984741211,2026-01-27,True,42.61473657882721,30.59273467190065,20.458892770608813,67.40331060884037,59.33015094755151,66.72015148160912,51.94015041349389,24.911450303204035,0.5361508138120388,0.2371683210586438,1,54.58799987792969,59.16250019073486,True,25.566542260699265,14.460095329463762,65.3499984741211,False,-6.732972936371315,-15.7%,-15.710499393502175,False,1,False,False,False,False,False,True,True,67.4,True,True,False,False,True,False,,,2276.HK
2026-02-02,0023.HK,14.869999885559082,14.899999618530272,14.350000381469728,14.619999885559082,14.619999885559082,1446672,0.0,0.0,14.362269325758984,14.016588982495202,13.652970867610897,13.245137786582433,12.32962413155176,True,True,True,False,0.5499992370605433,0.2060000737508139,0.3090001106262209,HL,LLHHHLHHHL,16.440000534057617,16.030000686645508,15.59000015258789,-0.05,13.520000457763672,13.399999618530272,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,13.520000457763672,2026-01-21,14.920000076293944,2026-01-30,True,31.095988929433265,35.872207661963486,17.6903980007989,69.91149396864355,14.0585820644083,14.609582182663916,13.507581946152683,7.838630037243457,1.4200188613039375,0.1330297544421801,1,13.526800022125244,13.942500114440918,True,7.421015829242263,11.432926928993496,14.920000076293944,False,-2.0107251286916887,-2.9%,-2.8734672530513983,True,2,False,True,True,False,False,True,True,69.9,True,False,False,True,True,False,2026-02-10,2026-02-11,23.HK
2026-02-11,0023.HK,15.640000343322754,16.440000534057617,15.59000015258789,16.030000686645508,16.030000686645508,4469167,0.0,0.0,15.211189951487588,14.657115122559423,14.061085792808829,13.514031293256526,12.49090561760194,True,True,True,False,0.8500003814697266,0.3186667124430339,0.4780000686645509,HL,HLHHHLHHHL,16.440000534057617,16.030000686645508,15.59000015258789,-0.05,13.520000457763672,13.399999618530272,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,14.350000381469728,2026-02-02,16.440000534057617,2026-02-10,True,47.14858445906909,48.73095979803406,6.768182137246698,83.43192661792966,14.727128118591736,15.454128164368102,14.00012807281537,9.872937071262264,1.9388981645904213,2.109709694197969,1,13.815800037384031,14.524000072479248,True,21.71602576904747,20.889897510938845,16.440000534057617,False,-2.4939162657734766,-4.8%,-4.840957440627969,True,2,False,True,True,True,False,True,True,83.4,True,True,False,True,False,False,2026-02-12,2026-02-13,23.HK
2026-02-06,2338.HK,25.700000762939453,27.0,25.700000762939453,26.76000022888184,26.76000022888184,15184402,0.0,0.0,26.489259066219613,24.911972984107678,22.47424806163036,20.258920350360647,17.580638539090938,True,True,True,False,1.2999992370605469,1.1359998067220056,1.7039997100830084,HL,HLHHHLHHHL,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,25.0,2026-02-02,28.739999771118164,2026-02-04,True,78.98271809430426,30.230117811692608,16.108775529117125,61.89590804594444,25.15465258655149,27.69465254840452,22.61465262469846,20.195070896832785,0.7934820935244031,1.1718315932638348,1,21.714799995422364,25.07800006866455,True,45.43478686777999,36.3914326413832,28.739999771118164,False,-6.889351280462068,-16.7%,-16.713216385876894,True,3,False,True,False,False,False,True,True,61.9,True,True,False,False,True,False,,,2338.HK
