date,sno,stype,price,close,type,classification,PATTERN,HHClose,HLLow,BOSS1,BOSS2
2025-09-23 00:00:00+08:00,2551.HK,S,3.119999885559082,3.0899999141693115,high,LH,LHLLHH,3.200000047683716,2.789999961853028,True,False
2025-09-24 00:00:00+08:00,2219.HK,S,2.7100000381469727,2.680000066757202,high,LH,LHLLHH,2.720000028610229,2.569999933242798,True,False
2025-09-16 00:00:00+08:00,2086.HK,S,0.6200000047683716,0.5799999833106995,high,LH,LHLLHH,0.6700000166893005,0.5,True,False
2025-09-22 00:00:00+08:00,2039.HK,M,8.119999885559082,7.889999866485596,high,LH,LHLLHH,8.300000190734863,7.590000152587891,True,False
2025-09-17 00:00:00+08:00,1961.HK,S,0.2750000059604645,0.2549999952316284,high,LH,LHLLHH,0.3050000071525574,0.2399999946355819,True,False
2025-09-15 00:00:00+08:00,1865.HK,S,0.2549999952316284,0.2549999952316284,high,LH,LHLLHH,0.2649999856948852,0.2399999946355819,True,False
2025-09-18 00:00:00+08:00,1725.HK,S,1.0700000524520874,1.0099999904632568,high,LH,LHLLHH,1.2599999904632568,0.8700000047683716,True,False
2025-09-18 00:00:00+08:00,1393.HK,S,0.061999998986721,0.0610000006854534,high,LH,LHLLHH,0.0649999976158142,0.0579999983310699,True,False
2025-09-16 00:00:00+08:00,1283.HK,S,1.3899999856948853,1.3700000047683716,high,LH,LHLLHH,1.4800000190734863,1.2799999713897705,True,False
2025-09-22 00:00:00+08:00,1119.HK,S,1.1799999475479126,1.149999976158142,high,LH,LHLLHH,1.190000057220459,0.9900000095367432,True,False
2025-09-17 00:00:00+08:00,1010.HK,S,0.0970000028610229,0.0930000022053718,high,LH,LHLLHH,0.1030000001192092,0.0850000008940696,True,False
2025-09-19 00:00:00+08:00,863.HK,M,16.489999771118164,16.239999771118164,high,LH,LHLLHH,17.290000915527344,14.220000267028809,True,False
2025-09-22 00:00:00+08:00,731.HK,S,0.1889999955892563,0.1889999955892563,high,LH,LHLLHH,0.1899999976158142,0.1720000058412552,True,False
2025-09-23 00:00:00+08:00,255.HK,S,1.75,1.690000057220459,high,LH,LHLLHH,1.850000023841858,1.6200000047683716,True,False
2025-09-19 00:00:00+08:00,42.HK,S,0.3100000023841858,0.2899999916553497,high,LH,LHLLHH,0.3199999928474426,0.2599999904632568,True,False
2025-09-16 00:00:00+08:00,41.HK,M,14.920000076293944,14.869999885559082,high,LH,LHLLHH,14.979999542236328,13.539999961853027,True,False
