index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,F10D,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,LLLow,HHClose,HHHigh,VOLATILITY,22DLow,33DLow,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSSTU2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,WLow,WHigh,HHHL,ADX,DIplus,DIminus,RSI,KC_middle,KC_upper,KC_lower,KC_Width,Price_zscore,Volume_zscore,Anomaly_Score,MA_50,MA_20,Price_Above_MA50,Price_Increase_50D,Price_Increase_30D,Resistance,Above_Resistance,Breakout_Percentage,Volatility_Decrease,Volatility_Decrease_Pct,Contraction_Structure,Contraction_Count,Valid_Contractions,KC_Contraction,Volume_Contraction,Volume_Spike,Breakout_Detected,ADX_Strength,DI_Bullish,RSI_Value,Anomaly_Free,Uptrend_Requirement,Contraction_Pattern,Volume_Signature,Momentum_Confirmation,VCP,classification,BOSS_PATTERN,LLDate,HHDate,HHHL_PATTERN,WLDate,WHDate,SNO
2026-02-13,0101.HK,9.75,9.829999923706056,9.649999618530272,9.770000457763672,9.770000457763672,5787848,0.0,0.0,9.770000457763672,9.635308738614626,9.460779935176143,9.2349199968683,8.917522994080738,8.254293379331301,True,True,True,False,0.1800003051757848,0.2794444825914171,0.4191667238871256,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,24.500822995189115,19.27440319136998,9.29706863058665,56.49719097037198,9.484397186737745,10.084397186737744,8.884397186737745,12.652359199781168,1.4023751267887226,0.7310077910784456,1,9.154199981689452,9.446500015258788,True,8.555560641818577,12.04128622226101,9.93000030517578,False,-1.611277366514394,-29.7%,-29.6651709269424,False,1,False,False,False,False,False,True,True,56.5,True,False,False,False,True,False,,,,,,,,101.HK
2026-02-13,1038.HK,64.75,64.80000305175781,64.0,64.4000015258789,64.4000015258789,1096610,0.0,0.0,64.4000015258789,64.23071285145056,63.08232088619635,60.34559679081183,57.63381262945472,54.61509095790852,True,True,True,False,0.8000030517578125,1.2000003141515407,2.400000628303081,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,46.50577828115808,15.053760573993028,14.51611381580917,60.162624319090526,63.302342254169496,65.96734278822711,60.63734172011188,8.4199112991971,0.5151240666514654,1.4646854999425434,1,59.4239998626709,63.63999977111816,True,19.480518929036865,12.784594127557348,65.44999694824219,False,-1.604271155571813,-11.5%,-11.526151935123163,False,1,False,False,False,False,False,True,True,60.2,True,False,False,False,True,False,,,,,,,,1038.HK
2026-02-13,1044.HK,29.299999237060547,29.420000076293945,28.799999237060547,29.15999984741211,29.15999984741211,2932720,0.0,0.0,29.15999984741211,28.66468289021868,28.2937660484331,28.00209797062732,27.31123802178955,25.80289544710447,True,True,True,False,0.6200008392333984,0.5674998760223391,0.8512498140335086,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,38.6634679306832,27.13936122462062,13.202935638629542,75.56819536470493,28.33026848042401,29.52026844227704,27.14026851857098,8.400908467742266,1.6294630427765415,0.0149287122366587,1,28.171999855041506,28.104999923706053,True,3.920172496100165,3.184712000145232,29.34000015258789,False,-0.6134979694603191,2.3%,2.2738587198169125,False,1,False,False,False,False,False,True,True,75.6,True,False,False,False,False,False,,,,,,,,1044.HK
2026-02-13,1070.HK,12.56999969482422,12.710000038146973,12.399999618530272,12.59000015258789,12.59000015258789,3631788,0.0,0.0,12.59000015258789,12.46709515538975,12.074376888433784,11.433399064769608,10.851088979757543,9.614969870218678,True,True,True,False,0.310000419616701,0.6088233835556927,0.913235075333539,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,40.222847293942046,13.15454434397368,17.752241713476486,45.92145815920136,12.137441261903916,13.568441017763291,10.70644150604454,23.579924713636125,0.6129868199128998,0.7281546133850623,1,11.305400009155273,12.277000093460083,True,23.18982214907609,20.248326948330615,13.100000381469728,False,-3.893131404814656,-26.1%,-26.13711496162987,False,1,False,False,False,False,False,True,False,45.9,True,True,False,False,False,False,,,,,,,,1070.HK
2026-02-13,1093.HK,10.079999923706056,10.109999656677246,9.899999618530272,10.109999656677246,10.109999656677246,45442545,0.0,0.0,10.109999656677246,10.022959235916309,9.792924136901537,9.320088020855865,8.974219449011919,8.175832429259433,True,True,True,False,0.2100000381469744,0.4382351707009711,0.6573527560514567,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,24.338563837290803,21.08362317987529,22.26149497462037,55.21471614929349,9.835197670512988,10.899197704845264,8.771197636180712,21.636576507704884,0.5362317020462833,0.736513817322238,1,9.002599973678588,9.90949993133545,True,27.812893194743918,19.22170050036415,10.960000038146973,False,-7.755477906124512,-28.7%,-28.66800211718361,False,1,False,False,False,False,False,True,False,55.2,True,True,False,False,False,False,,,,,,,,1093.HK
2026-02-13,1099.HK,21.34000015258789,21.479999542236328,21.07999992370605,21.299999237060547,21.299999237060547,4517635,0.0,0.0,21.299999237060547,21.140570363570305,20.937241597053024,20.574631697926,20.14320840141021,19.747614451342383,True,True,True,False,0.399999618530277,0.3917645847096146,0.5876468770644219,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,23.515938025227,21.192112791340776,11.25822900012234,64.64645199698309,20.969728818749022,21.83572842202051,20.103729215477543,8.259521243757744,1.1993018266364517,0.8048926496309206,1,20.4707999420166,20.96299991607666,True,6.287416486877176,7.957423878613352,21.520000457763672,False,-1.022310483379921,-5.4%,-5.428179456210803,False,1,False,False,False,False,False,True,True,64.6,True,False,False,False,True,False,,,,,,,,1099.HK
2026-02-13,1114.HK,4.110000133514404,4.190000057220459,4.099999904632568,4.150000095367432,4.150000095367432,16945272,0.0,0.0,4.150000095367432,4.094279933475025,4.089500276458447,4.056629045614519,3.940325665868616,3.759269825025268,True,True,True,False,0.0900001525878906,0.1168749332427978,0.1753123998641967,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,40.14742145400064,20.99445854539089,19.33702763640608,57.89473188880907,4.0892800822751365,4.371279932548269,3.807280232002004,13.792151410486772,0.40492455689389,0.660689788036855,1,4.1046000099182125,4.086500024795532,True,8.638747850565972,1.9656000081542664,4.449999809265137,False,-6.74156689339828,-5.9%,-5.92063507828573,False,1,False,False,False,False,False,True,True,57.9,True,False,False,False,True,False,,,,,,,,1114.HK
2026-02-13,1138.HK,17.3799991607666,17.3799991607666,16.1299991607666,16.25,16.25,37010365,0.0,0.0,16.25,15.607301774297484,14.35240668384221,12.684285820697433,11.193756305935292,9.38199089651778,True,True,True,False,1.25,0.6770587808945601,1.01558817134184,17.3799991607666,16.25,16.1299991607666,-0.07,12.520000457763672,10.420000076293944,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,14.420000076293944,18.13999938964844,True,65.39225591891368,43.44000244140626,10.160003662109396,67.01708242352058,14.532387990896671,16.207387895529244,12.857388086264104,23.051956852264304,1.3219527345528788,1.0525627252283285,1,11.821800022125244,14.432000017166136,True,56.25000573121608,68.04550022535119,18.13999938964844,False,-10.418960602209092,-13.0%,-13.033602423263355,False,1,False,False,False,True,False,True,True,67.0,True,True,False,True,True,False,HL,HLLHLL,2026-02-14,2026-02-15,HLHHHLHHHL,2026-02-06,2026-02-12,1138.HK
2026-02-13,1164.HK,5.010000228881836,5.019999980926514,4.769999980926514,4.860000133514404,4.860000133514404,53258237,0.0,0.0,4.860000133514404,4.7431122308352265,4.485724061817228,4.036434249232797,3.598386294821319,2.907274626430745,True,True,True,False,0.25,0.2955555386013455,0.4433333079020182,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,42.2718538533526,34.666660202873565,26.333334154552944,51.85185285815554,4.528973534481527,5.279973533527853,3.777973535435201,33.16424763044237,0.6633938517057457,1.0624075888966746,1,3.801400008201599,4.599000012874603,True,62.00000445048014,50.000003679299056,5.659999847412109,False,-14.134270944609382,-33.3%,-33.31166575967682,False,1,False,False,False,False,False,True,True,51.9,True,True,False,False,True,False,,,,,,,,1164.HK
2026-02-13,1171.HK,13.5,13.8100004196167,13.229999542236328,13.40999984741211,13.40999984741211,37229741,0.0,0.0,13.40999984741211,12.71828244948862,12.021995370568186,11.326438127641278,10.781851830613205,10.15730480680356,True,True,True,False,0.5800008773803711,0.4086666742960612,0.6130000114440918,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,39.23174531530329,37.46770567088913,12.661520931062384,71.95651908001929,12.110203898875,13.090203822581056,11.130203975168945,16.18469733275249,1.6702931883201442,0.1487682768814016,1,10.89279998779297,11.894000053405762,True,31.98818945679236,37.538459973457535,13.859999656677246,False,-3.24675195102435,-31.4%,-31.43635162501573,False,1,False,False,False,False,False,True,True,72.0,True,True,False,False,True,False,,,,,,,,1171.HK
