index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,F10D,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,LLLow,HHClose,HHHigh,VOLATILITY,22DLow,33DLow,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSSTU2,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,BOSS2,WLow,WHigh,HHHL,ADX,DIplus,DIminus,RSI,KC_middle,KC_upper,KC_lower,KC_Width,Price_zscore,Volume_zscore,Anomaly_Score,MA_50,MA_20,Price_Above_MA50,Price_Increase_50D,Price_Increase_30D,Resistance,Above_Resistance,Breakout_Percentage,Volatility_Decrease,Volatility_Decrease_Pct,Contraction_Structure,Contraction_Count,Valid_Contractions,KC_Contraction,Volume_Contraction,Volume_Spike,Breakout_Detected,ADX_Strength,DI_Bullish,RSI_Value,Anomaly_Free,Uptrend_Requirement,Contraction_Pattern,Volume_Signature,Momentum_Confirmation,VCP,DT,XGB,LGBM,LR,MLP,RF,SVM,VOTING,classification,HHHL_PATTERN,WLDate,WHDate,BOSS_PATTERN,LLDate,HHDate,SNO
2026-02-25,0001.HK,62.25,62.45000076293945,61.650001525878906,62.0,62.0,8479178,0.0,0.0,0.0104838955786921,63.37086538502776,62.85358753558675,60.367303360613896,57.25250253545949,52.07030178312067,False,True,True,False,0.7999992370605469,1.4468748569488534,2.893749713897707,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,60.59999847412109,65.9000015258789,False,18.827068971097447,18.936154152703136,26.17024747641585,45.38745231626807,63.015679347540114,66.53567942383407,59.49567927124617,11.171822989896423,1.5665193889821842,0.5853629777231504,1,59.41300025939941,64.13000087738037,True,7.82608695652174,12.522689141488176,66.5,False,-6.7669172932330826,-30.2%,-30.226708020001748,False,1,False,False,False,False,False,False,False,45.4,True,False,False,False,False,False,True,False,False,False,False,False,False,False,HL,LLHHHLLHHL,2026-02-02,2026-02-10,,,,1.HK
2026-02-26,0001.HK,63.5,64.9000015258789,63.04999923706055,64.80000305175781,64.80000305175781,14442042,0.0,0.0,-0.0331790343306254,63.63070859716049,63.02284105873206,60.54113472105091,57.401957991227775,52.17173366573929,True,True,True,False,1.8500022888183596,1.5249996185302743,3.0499992370605487,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,19.658333016364168,29.052617275419998,17.684243022036412,61.301381495371935,63.18561493841799,66.89561516729982,59.47561470953615,11.74317993897085,0.4285860374081442,0.6599420893029665,1,59.58700035095215,64.23000106811523,True,15.508029971961648,13.38582908421236,66.5,False,-2.5563863883341167,-29.3%,-29.25078818359629,False,1,False,False,False,False,False,False,True,61.3,True,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,1.HK
2026-02-27,0001.HK,64.19999694824219,64.5999984741211,63.150001525878906,64.4000015258789,64.4000015258789,8478793,0.0,0.0,-0.0271739123996257,63.770580038745656,63.1425941428318,60.69246283104417,57.54053311072582,52.26917006303124,True,True,True,False,1.4499969482421875,1.47499966621399,2.9499993324279803,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,19.41111250335342,24.78068425275038,18.421083892361985,51.600006103515625,63.30127080389046,66.88627141424203,59.7162701935389,11.326788751075863,0.1517001177478006,0.5211704529170994,1,59.7730004119873,64.20000114440919,True,16.878408909803817,9.803921313561863,66.5,False,-3.157892442287359,-28.9%,-28.86351148626688,False,1,False,False,False,False,False,False,True,51.6,True,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,1.HK
2026-02-25,1099.HK,22.299999237060547,22.34000015258789,21.81999969482422,21.959999084472656,21.959999084472656,5751457,0.0,0.0,-0.0382512878078031,21.439754029691105,21.15279909236077,20.72996660241209,20.2565653837398,19.798500898423956,True,True,True,False,0.5200004577636719,0.3839997609456368,0.5759996414184552,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,21.520000457763672,20.600000381469727,False,25.25768175348771,30.218124160149625,12.149520770949517,71.77421277571032,21.1932402904836,22.12323983271993,20.263240748247277,8.7763789726286,2.3529573952247578,0.1707354681940938,1,20.563999938964844,21.1709997177124,True,7.331378627178768,7.331378627178768,21.89999961853028,False,0.2739701688926598,-7.2%,-7.216741562616713,True,2,False,True,False,False,False,True,True,71.8,True,False,False,False,True,False,True,False,False,True,False,False,False,False,HH,HHHLHHHLHH,2026-02-09,2026-02-20,,,,1099.HK
2026-02-26,1099.HK,21.89999961853028,21.940000534057617,21.280000686645508,21.34000015258789,21.34000015258789,4248653,0.0,0.0,-0.010309246100348,21.42161696112688,21.169077445423994,20.753889486732717,20.278019537578377,19.81078376100693,False,True,True,False,0.6599998474121094,0.4053330739339183,0.6079996109008775,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,26.0898285775074,28.36262397772749,19.298223599380663,58.94042244661317,21.20721742020782,22.157216848003227,20.25721799241241,8.959208640829775,0.4362892712141339,0.8311292311944395,1,20.579599952697755,21.19799976348877,True,3.793777757327173,3.191488576752704,22.34000015258789,False,-4.476275708011394,-8.0%,-8.04278084059501,False,1,False,False,False,False,False,True,True,58.9,True,False,False,False,True,False,True,False,False,True,False,False,False,False,,,,,,,,1099.HK
2026-02-27,1099.HK,21.15999984741211,21.299999237060547,21.020000457763672,21.13999938964844,21.13999938964844,6133729,0.0,0.0,-0.0009460052503518,21.370413766312616,21.166548918834817,20.76903105155294,20.29508844554016,19.8213751205977,False,True,True,False,0.279998779296875,0.3933329264322909,0.5899993896484365,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,25.476316290626876,26.347351211024257,23.65267734211394,52.63157894736849,21.200815703011685,22.136815001107387,20.264816404915983,8.829842315574094,0.2581931763597598,0.0124935789225639,1,20.59519992828369,21.218999767303465,True,3.831035146925832,2.52181633972414,22.34000015258789,False,-5.371534264740998,-9.1%,-9.11095493606149,True,3,False,True,True,False,False,True,True,52.6,True,False,False,True,True,False,True,False,False,True,False,False,False,False,,,,,,,,1099.HK
2026-03-02,1099.HK,21.280000686645508,21.440000534057617,20.81999969482422,21.1200008392334,21.1200008392334,6618120,0.0,0.0,0.0,21.324884143207303,21.162501259739045,20.782794572638448,20.31142334442517,19.83172273588564,False,True,True,False,0.6200008392333984,0.3985710144042964,0.5978565216064445,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,24.24683050525252,21.387315738859577,25.72253960851367,50.0,21.193119049318515,22.159118461855137,20.227119636781893,9.116160866068316,0.3953132536397547,0.1762046907010134,1,20.61679992675781,21.23499984741211,True,5.389220929971375,2.325588487302437,22.34000015258789,False,-5.461053290159294,-10.0%,-10.026481198995496,True,3,False,True,True,False,False,True,False,50.0,True,False,False,True,False,False,True,False,False,True,False,False,False,False,,,,,,,,1099.HK
2026-02-25,1128.HK,5.849999904632568,5.949999809265137,5.809999942779541,5.840000152587891,5.840000152587891,8573877,0.0,0.0,-0.0273973150802686,5.949161457851145,5.966752578810292,6.055321496519252,6.173981453398092,6.1676601365665045,False,False,False,False,0.1399998664855957,0.1305554972754584,0.1958332459131876,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,21.024699110083965,22.943721424591885,21.212099944286404,52.52526274215145,5.964192978943866,6.261192814911884,5.667193142975848,9.959430790269646,0.9821893816165256,0.5571295970478114,1,5.996800003051757,5.969500017166138,False,-9.457359297918256,-0.5110687147540568,6.239999771118164,False,-6.410250532086098,-2.1%,-2.114533472928537,False,1,False,False,False,True,False,True,True,52.5,True,False,False,True,True,False,True,True,True,True,False,False,False,False,,,,,,,,1128.HK
2026-02-26,1128.HK,5.789999961853027,5.849999904632568,5.75,5.78000020980835,5.78000020980835,9315276,0.0,0.0,-0.0173011034324931,5.918404867297909,5.95051324237534,6.044524583314903,6.1661798446141365,6.164571212847316,False,False,False,False,0.0999999046325683,0.1311110390557183,0.1966665585835774,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,21.789443834120508,19.282511594311053,24.663653254136992,47.00000143051216,5.946650810454769,6.244650621627255,5.648650999282284,10.02244189783513,1.3318845899150518,0.6839198726031872,1,5.984200010299682,5.963500022888184,False,-9.828387716079396,-1.70067861711388,6.239999771118164,False,-7.371788111899013,-2.8%,-2.834786222711072,False,1,False,False,False,True,False,True,False,47.0,True,False,False,True,False,False,True,True,True,True,False,False,False,False,,,,,,,,1128.HK
2026-02-27,1128.HK,5.820000171661377,5.820000171661377,5.699999809265137,5.710000038146973,5.710000038146973,10733453,0.0,0.0,-0.0052539771642603,5.880513080179556,5.929599050703308,6.031405973700474,6.157146581119737,6.160949131774006,False,False,False,False,0.1200003623962402,0.1327777173784044,0.1991665760676066,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,23.86138797037919,9.22328299227894,29.126193366313807,28.57141235247136,5.924112641663551,6.225112473816871,5.62311280951023,10.161853778283213,1.6613430774829945,0.976673288888201,1,5.971600008010864,5.9555000305175785,False,-9.936910083255466,-1.8900366025763131,6.239999771118164,False,-8.493585775824783,-3.3%,-3.295667015685177,False,1,False,False,False,True,False,True,False,28.6,True,False,False,True,False,False,True,True,True,True,False,False,False,False,,,,,,,,1128.HK
